category,gene,ARE_effect,enrichment_score
Query-UP,SMYD4,Activates,0.16440886699507617
Query-UP,ITSN1,Activates,0.15387161330049723
Query-UP,CCDC88C,Activates,0.14862222906405373
Query-UP,WEE1,Activates,0.141502463054207
Query-UP,ZNF586,Activates,0.14110991379310614
Query-UP,HMX1,Activates,0.14101754926109206
Query-UP,GOLGA3,Suppresses,-0.14532789408865288
Query-UP,GLIS1,Suppresses,-0.13496767241378801
Query-UP,ZNF891,Suppresses,-0.1312499999999957
Query-UP,INKA2,Suppresses,-0.12666256157635167
Query-UP,SNAPC3,Suppresses,-0.12633158866994298
Query-UP,ZNF398,Suppresses,-0.12466902709358998
Query-DOWN,ACAT2,Activates,0.13124230295567285
Query-DOWN,OTX2,Activates,0.12222136699507861
Query-DOWN,PSMD14,Activates,0.11421644088670442
Query-DOWN,EZR,Activates,0.1109990763546861
Query-DOWN,MCCC2,Activates,0.11040640394088931
Query-DOWN,PSMD11,Activates,0.10591902709359845
Query-DOWN,BCAT1,Suppresses,-0.13653786945812646
Query-DOWN,BEST1,Suppresses,-0.12457666256156219
Query-DOWN,SGK3,Suppresses,-0.12240609605910231
Query-DOWN,DRGX,Suppresses,-0.12145166256157035
Query-DOWN,ARPC4-TTLL3,Suppresses,-0.12095905172412297
