perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
7062_RAD21_P1P2_ENSG00000164754,RAD21,-0.20088855914259907,-0.08362470548031342,0.11726385366228564
9747_VPS28_P1P2_ENSG00000160948,VPS28,-0.201029871195941,-0.09203133149876187,0.10899853969717913
2083_DCUN1D5_P1P2_ENSG00000137692,DCUN1D5,-0.20141777688758614,-0.10562959765463008,0.09578817923295606
10405_ZNF506_P1P2_ENSG00000081665,ZNF506,-0.20150826957169984,-0.05982661558661075,0.14168165398508908
1780_COPS4_P1P2_ENSG00000138663,COPS4,-0.2017042209215568,-0.07736020432022005,0.12434401660133675
10236_ZNF24_P1P2_ENSG00000172466,ZNF24,-0.20189756254832586,-0.10442004352596089,0.09747751902236498
8724_TBCA_P1P2_ENSG00000171530,TBCA,-0.20280638993615374,-0.0972895195956731,0.10551687034048064
1146_CACNB3_P2_ENSG00000167535,CACNB3,-0.20300250111491164,-0.08374341265130408,0.11925908846360754
5493_NCBP1_P1P2_ENSG00000136937,NCBP1,-0.2030400495846098,-0.07636108563103333,0.12667896395357647
6849_PSMB1_P1P2_ENSG00000008018,PSMB1,-0.20317966630703335,-0.054722207233941576,0.14845745907309177
1380_CD8B_P1P2_ENSG00000172116,CD8B,-0.20407044621702453,-0.09865195417183291,0.1054184920451916
7690_SCD_P1P2_ENSG00000099194,SCD,-0.20425318825165362,-0.08948722099318077,0.11476596725847286
1497_CEP152_P1P2_ENSG00000103995,CEP152,-0.20429111157693494,-0.11517113617150906,0.08911997540542588
1136_C9orf78_P1P2_ENSG00000136819,C9orf78,-0.20449379257774314,-0.0986033921473382,0.10589040043040493
3586_GTF3C3_P1P2_ENSG00000119041,GTF3C3,-0.20459268664677377,-0.0974172197341618,0.10717546691261196
1779_COPS3_P1P2_ENSG00000141030,COPS3,-0.20467136161360822,-0.09698555729418645,0.10768580431942178
5428_NAA30_P1P2_ENSG00000139977,NAA30,-0.20475058300120486,-0.09524631737980764,0.1095042656213972
4487_KXD1_P1P2_ENSG00000105700,KXD1,-0.2049589188927714,-0.13092771452723473,0.07403120436553666
7404_RNPC3_P1P2_ENSG00000185946,RNPC3,-0.20498177571092338,-0.08499253583697129,0.11998923987395209
6474_PMF1_P1P2_ENSG00000160783,PMF1,-0.20537296229091595,-0.05780859367974185,0.1475643686111741
3421_GMIP_P1P2_ENSG00000089639,GMIP,-0.20568265852672118,-0.07274591269627086,0.13293674583045031
4121_ING3_P1P2_ENSG00000071243,ING3,-0.20573705919959268,-0.09973290886526097,0.10600415033433172
7719_SDE2_P1P2_ENSG00000143751,SDE2,-0.2058731514335294,-0.08677853918235763,0.11909461225117177
1131_C9orf16_P1P2_ENSG00000171159,C9orf16,-0.20604367497597714,-0.09083346822784129,0.11521020674813585
10708_ZRSR2_P1P2_ENSG00000169249,ZRSR2,-0.20626162320313418,-0.11640227342218049,0.08985934978095368
1979_CXXC1_P1P2_ENSG00000154832,CXXC1,-0.20660692694549343,-0.11585909818521382,0.0907478287602796
1787_COPZ1_P2_ENSG00000111481,COPZ1,-0.20683521179773356,-0.1300248205902942,0.07681039120743938
4154_INTS9_P1P2_ENSG00000104299,INTS9,-0.20689163367996988,-0.08734509613481627,0.11954653754515362
6851_PSMB3_P1P2_ENSG00000277791,PSMB3,-0.20690049576527106,-0.06013237648158823,0.14676811928368283
1386_CDC123_P1P2_ENSG00000151465,CDC123,-0.20702200977060115,-0.10835626540045358,0.09866574437014758
6632_PPIL4_P1P2_ENSG00000131013,PPIL4,-0.20746017178088844,-0.13608518138814413,0.07137499039274432
5729_NOC2L_P1P2_ENSG00000188976,NOC2L,-0.20772138271339338,-0.1322667673878997,0.07545461532549369
4805_MAP2K7_P1P2_ENSG00000076984,MAP2K7,-0.20799279362431566,-0.1064002949693321,0.10159249865498357
5470_NAT10_P1P2_ENSG00000135372,NAT10,-0.20852394395532337,-0.13685228151584952,0.07167166243947383
2606_ELP4_P1P2_ENSG00000109911,ELP4,-0.20868625053400314,-0.07986294717530686,0.12882330335869627
4401_KIN_P1P2_ENSG00000151657,KIN,-0.20885298550118728,-0.1570675731577857,0.05178541234340159
4960_MEF2A_P1P2_ENSG00000068305,MEF2A,-0.20911551769697018,-0.08369395133005045,0.12542156636691973
9712_VCP_P1P2_ENSG00000165280,VCP,-0.20935977511285414,-0.11622780985269045,0.09313196526016371
455_ARGLU1_P1P2_ENSG00000134884,ARGLU1,-0.20946798487603088,-0.1148096188780295,0.09465836599800138
8648_TADA2A_P1P2_ENSG00000276234,TADA2A,-0.20971497194888553,-0.0684652601665488,0.14124971178233672
7751_SEC61A1_P1_ENSG00000058262,SEC61A1,-0.21091639371444648,-0.09124534613931812,0.11967104757512838
2338_DPAGT1_P1P2_ENSG00000172269,DPAGT1,-0.21110838098413554,-0.08230813503839793,0.1288002459457376
9489_UBAP1_P1P2_ENSG00000165006,UBAP1,-0.21164965805593666,-0.13105631396247763,0.08059334409345903
3658_HCFC1_P1P2_ENSG00000172534,HCFC1,-0.2119668404136163,-0.09143959423730406,0.12052724617631222
2109_DDX1_P1P2_ENSG00000079785,DDX1,-0.2120144508465396,-0.1142925232468168,0.09772192759972281
4276_KAT5_P1P2_ENSG00000172977,KAT5,-0.21238235515827908,-0.11429612043381536,0.09808623472446373
2271_DNAAF3_P2_ENSG00000167646,DNAAF3,-0.21256384746694273,-0.10949567438263053,0.10306817308431221
6869_PSMD1_P1P2_ENSG00000173692,PSMD1,-0.21264561537594368,-0.1437669742261476,0.06887864114979607
8228_SNRPD1_P1P2_ENSG00000167088,SNRPD1,-0.21264971203862357,-0.12230615658554592,0.09034355545307765
7486_RPN2_P1P2_ENSG00000118705,RPN2,-0.21270977726499235,-0.03298800338135587,0.17972177388363647
5162_MPG_P1P2_ENSG00000103152,MPG,-0.2129427920407453,-0.11614777244194481,0.09679501959880048
5229_MRPL46_P1P2_ENSG00000259494,MRPL46,-0.2132985060190623,-0.1042707602654701,0.1090277457535922
7010_RAB18_P1P2_ENSG00000099246,RAB18,-0.21338772467524528,-0.11664958002840818,0.0967381446468371
6846_PSMA6_P1P2_ENSG00000100902,PSMA6,-0.2135768299238362,-0.0926068814187256,0.1209699485051106
6843_PSMA3_P1P2_ENSG00000100567,PSMA3,-0.21359713258992585,-0.09183708340077831,0.12176004918914755
5476_NBAS_P1P2_ENSG00000151779,NBAS,-0.21364438135501268,-0.0873450961348151,0.1262992852201976
5016_MFAP1_P1P2_ENSG00000140259,MFAP1,-0.21388128958597638,-0.08688105901184728,0.1270002305741291
9340_TSFM_P1P2_ENSG00000123297,TSFM,-0.21472596031010183,-0.08965179229842057,0.12507416801168125
8041_SLC35B1_P1P2_ENSG00000121073,SLC35B1,-0.21485816099649294,-0.08169391535818712,0.1331642456383058
9431_TULP1_P1P2_ENSG00000112041,TULP1,-0.21500244638989754,-0.048597097070092056,0.1664053493198055
6175_PDHA1_P1P2_ENSG00000131828,PDHA1,-0.21510041358402104,-0.07611647691504983,0.13898393666897121
6486_PNISR_P1_ENSG00000132424,PNISR,-0.21517526265177084,-0.10748484684975734,0.1076904158020135
7802_SERPINB1_P1P2_ENSG00000021355,SERPINB1,-0.21528774541195356,-0.07033040162592727,0.1449573437860263
6853_PSMB5_P1P2_ENSG00000100804,PSMB5,-0.2154031092808761,-0.09023363729563313,0.12516947198524297
4508_LAMTOR4_P1P2_ENSG00000188186,LAMTOR4,-0.2158988684590867,-0.05141189589740824,0.16448697256167846
8157_SMC3_P1P2_ENSG00000108055,SMC3,-0.21630190054184892,-0.11334286587887174,0.10295903466297718
8943_TLCD1_P1P2_ENSG00000160606,TLCD1,-0.21638032498291074,-0.09017788089713746,0.12620244408577327
6850_PSMB2_P1P2_ENSG00000126067,PSMB2,-0.21670581475242442,-0.08292055612510921,0.13378525862731522
9550_UBTF_P1P2_ENSG00000108312,UBTF,-0.21681790561246783,-0.11159463299698957,0.10522327261547826
