perturbation_id,knockdown_gene,direction,ARE_enrichment
4153_INTS8_P1P2_ENSG00000164941,INTS8,UP,0.16695011468861148
8564_STXBP4_P1P2_ENSG00000166263,STXBP4,UP,0.15651799509819542
5290_MSRB1_P1P2_ENSG00000198736,MSRB1,UP,-0.09328520878873058
471_ARHGAP6_P1P2_ENSG00000047648,ARHGAP6,UP,0.1149612800759173
1589_CHMP7_P1P2_ENSG00000147457,CHMP7,UP,0.1423301892169543
4951_MED28_P1P2_ENSG00000118579,MED28,UP,-0.08078653745133872
7425_RPE_P1P2_ENSG00000197713,RPE,UP,-0.10987153950787065
6857_PSMC1_P1P2_ENSG00000100764,PSMC1,DOWN,0.09744758137192144
1083_NEPRO_P1P2_ENSG00000163608,NEPRO,DOWN,0.12167391461744642
2573_EIF4H_P1P2_ENSG00000106682,EIF4H,DOWN,0.07905272903447937
1004_C17orf58_P1P2_ENSG00000186665,C17orf58,DOWN,-0.07445363083051958
5083_MIS18A_P1P2_ENSG00000159055,MIS18A,DOWN,0.06541641441333226
7050_RABGGTA_P1P2_ENSG00000100949,RABGGTA,DOWN,0.11864841507882168
2186_DHDDS_P1P2_ENSG00000117682,DHDDS,DOWN,0.12765251121083349
3626_HAMP_P1P2_ENSG00000105697,HAMP,DOWN,0.05686752964265377
8793_TCP1_P1P2_ENSG00000120438,TCP1,DOWN,0.03816073043322809
9163_TOMM20_P1P2_ENSG00000173726,TOMM20,DOWN,0.12033446866590429
2107_DDX19B_P1_ENSG00000157349,DDX19B,DOWN,-0.033882051732347006
2108_DDX19B_P2_ENSG00000157349,DDX19B,DOWN,0.05767319983547747
8921_TIMM23B_P1P2_ENSG00000204152,TIMM23B,DOWN,0.12888489391495736
