category,gene,ARE_effect,enrichment_score
Query-UP,INTS8,Activates,0.16695011468861148
Query-UP,STXBP4,Activates,0.15651799509819542
Query-UP,CHMP7,Activates,0.1423301892169543
Query-UP,ARHGAP6,Activates,0.1149612800759173
Query-UP,MED28,Suppresses,-0.08078653745133872
Query-UP,MSRB1,Suppresses,-0.09328520878873058
Query-UP,RPE,Suppresses,-0.10987153950787065
Query-DOWN,TIMM23B,Activates,0.12888489391495736
Query-DOWN,DHDDS,Activates,0.12765251121083349
Query-DOWN,NEPRO,Activates,0.12167391461744642
Query-DOWN,TOMM20,Activates,0.12033446866590429
Query-DOWN,RABGGTA,Activates,0.11864841507882168
Query-DOWN,PSMC1,Activates,0.09744758137192144
Query-DOWN,C17orf58,Suppresses,-0.07445363083051958
Query-DOWN,DDX19B,Suppresses,-0.033882051732347006
Query-DOWN,TCP1,Activates,0.03816073043322809
Query-DOWN,HAMP,Activates,0.05686752964265377
Query-DOWN,MIS18A,Activates,0.06541641441333226
