perturbation_id,knockdown_gene,direction,ARE_enrichment
5487_NCAPD2_P1P2_ENSG00000010292,NCAPD2,UP,0.15347632053657365
8670_TAF8_P1P2_ENSG00000137413,TAF8,UP,0.1920583718067768
2364_DPY19L2_P1P2_ENSG00000177990,DPY19L2,UP,-0.08808609425570936
1146_CACNB3_P2_ENSG00000167535,CACNB3,UP,-0.07027739394191669
1147_CACNB3_P1_ENSG00000167535,CACNB3,UP,0.05810222306434892
5011_MEX3A_P1P2_ENSG00000254726,MEX3A,UP,0.08219607516918696
8564_STXBP4_P1P2_ENSG00000166263,STXBP4,UP,0.15651799509819542
1187_CAPZB_P1P2_ENSG00000077549,CAPZB,UP,-0.08108153906113574
8207_SNAPC3_P1P2_ENSG00000164975,SNAPC3,UP,-0.10725734769674752
471_ARHGAP6_P1P2_ENSG00000047648,ARHGAP6,UP,0.1149612800759173
1219_CBFA2T3_P2_ENSG00000129993,CBFA2T3,UP,0.07216293947922889
1589_CHMP7_P1P2_ENSG00000147457,CHMP7,UP,0.1423301892169543
7160_RBM15_P1P2_ENSG00000162775,RBM15,UP,0.038956387516577734
2421_DYNC1H1_P1P2_ENSG00000197102,DYNC1H1,UP,0.11164385988424995
8994_TMEM127_P1P2_ENSG00000135956,TMEM127,UP,-0.08171544591457056
4686_LSM11_P1P2_ENSG00000155858,LSM11,UP,0.12217765104775968
1825_CPAMD8_ENST00000443236.1_ENSG00000160111,CPAMD8,UP,-0.06423486749575186
9857_WEE1_P1P2_ENSG00000166483,WEE1,UP,0.12751540863499977
3944_HS6ST1_P1P2_ENSG00000136720,HS6ST1,UP,-0.10771795073241985
4737_LZTR1_P1P2_ENSG00000099949,LZTR1,UP,0.10292090105661603
4969_MEIS3_P1_ENSG00000105419,MEIS3,UP,0.15270685158568892
1032_C1QBP_P1P2_ENSG00000108561,C1QBP,DOWN,-0.05799593005611963
6865_PSMD11_P1P2_ENSG00000108671,PSMD11,DOWN,-0.08909433735552222
"2546_EIF3CL_ENST00000380876.4,ENST00000398943.3,ENST00000398944.3_ENSG00000205609",EIF3CL,DOWN,-0.10642934056741335
5248_MRPS18A_P1P2_ENSG00000096080,MRPS18A,DOWN,-0.05960033828905332
8096_SLC4A5_P1_ENSG00000188687,SLC4A5,DOWN,0.06828478515718202
8097_SLC4A5_P2_ENSG00000188687,SLC4A5,DOWN,0.09627065588948203
6372_PIP4K2C_P1P2_ENSG00000166908,PIP4K2C,DOWN,0.09231855860518777
8161_SMC6_P1P2_ENSG00000163029,SMC6,DOWN,0.1252924983324419
2456_EBNA1BP2_P1P2_ENSG00000117395,EBNA1BP2,DOWN,0.12680370762336807
4127_INO80C_P1P2_ENSG00000153391,INO80C,DOWN,0.11871619612754737
2186_DHDDS_P1P2_ENSG00000117682,DHDDS,DOWN,0.12765251121083349
8244_SNX15_P1_ENSG00000110025,SNX15,DOWN,0.053237392339816066
8245_SNX15_P2_ENSG00000110025,SNX15,DOWN,-0.05191104045450561
8793_TCP1_P1P2_ENSG00000120438,TCP1,DOWN,0.03816073043322809
6006_OXA1L_P1P2_ENSG00000155463,OXA1L,DOWN,0.08784115819326849
7498_RPS10_P1P2_ENSG00000124614,RPS10,DOWN,0.12057863448915628
6868_PSMD14_P1P2_ENSG00000115233,PSMD14,DOWN,-0.09541877134524869
3583_GTF3A_P1P2_ENSG00000122034,GTF3A,DOWN,-0.058014415796682865
