category,gene,ARE_effect,enrichment_score
Query-UP,TAF8,Activates,0.1920583718067768
Query-UP,STXBP4,Activates,0.15651799509819542
Query-UP,NCAPD2,Activates,0.15347632053657365
Query-UP,MEIS3,Activates,0.15270685158568892
Query-UP,CHMP7,Activates,0.1423301892169543
Query-UP,WEE1,Activates,0.12751540863499977
Query-UP,HS6ST1,Suppresses,-0.10771795073241985
Query-UP,SNAPC3,Suppresses,-0.10725734769674752
Query-UP,DPY19L2,Suppresses,-0.08808609425570936
Query-UP,TMEM127,Suppresses,-0.08171544591457056
Query-UP,CAPZB,Suppresses,-0.08108153906113574
Query-UP,CACNB3,Suppresses,-0.07027739394191669
Query-DOWN,DHDDS,Activates,0.12765251121083349
Query-DOWN,EBNA1BP2,Activates,0.12680370762336807
Query-DOWN,SMC6,Activates,0.1252924983324419
Query-DOWN,RPS10,Activates,0.12057863448915628
Query-DOWN,INO80C,Activates,0.11871619612754737
Query-DOWN,SLC4A5,Activates,0.09627065588948203
Query-DOWN,EIF3CL,Suppresses,-0.10642934056741335
Query-DOWN,PSMD14,Suppresses,-0.09541877134524869
Query-DOWN,PSMD11,Suppresses,-0.08909433735552222
Query-DOWN,MRPS18A,Suppresses,-0.05960033828905332
Query-DOWN,GTF3A,Suppresses,-0.058014415796682865
Query-DOWN,C1QBP,Suppresses,-0.05799593005611963
