perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
9601_UPF2_P1P2_ENSG00000151461,UPF2,0.379352714224687,0.22205266120458275,-0.15730005302010427
3750_HIST1H2AD_P1P2_ENSG00000196866,HIST1H2AD,0.36797623078335456,0.19047470135718872,-0.17750152942616584
762_BARHL1_P1P2_ENSG00000125492,BARHL1,0.35112504135513567,0.14710530156149706,-0.20401973979363858
4304_KCTD20_P1P2_ENSG00000112078,KCTD20,0.33669528357663603,0.14670711113891705,-0.18998817243771896
1220_CBFB_P1P2_ENSG00000067955,CBFB,0.3290015032894408,0.08117247274167944,-0.24782903054776134
3055_FEM1A_P1P2_ENSG00000141965,FEM1A,0.3203854759735874,0.1255863406091723,-0.19479913536441512
9330_TRUB2_P1P2_ENSG00000167112,TRUB2,0.31806209130823554,0.1657785560906515,-0.15228353521758403
9637_USP16_P1P2_ENSG00000156256,USP16,0.31722462528158657,0.12874059249067768,-0.18848403279090886
1692_CMC4_P1P2_ENSG00000182712,CMC4,0.317144688396665,0.1480497008359996,-0.16909498756066535
4135_INPP5B_P1_ENSG00000204084,INPP5B,0.3160832932851916,0.13142160235162384,-0.18466169093356777
10554_ZNF688_P1P2_ENSG00000229809,ZNF688,0.3149451990157686,0.16982508808139518,-0.14512011093437344
249_ALAD_P1P2_ENSG00000148218,ALAD,0.3105867924701622,0.15781057810578575,-0.15277621436437644
9730_VIPAS39_P1P2_ENSG00000151445,VIPAS39,0.3100337704897402,0.14307753247024182,-0.16695623801949835
2575_EIF5AL1_P1P2_ENSG00000253626,EIF5AL1,0.3100208273872851,0.13447370066921702,-0.17554712671806805
8648_TADA2A_P1P2_ENSG00000276234,TADA2A,0.30979915392147517,0.0942585527550222,-0.21554060116645293
25_ABCB9_P2_ENSG00000150967,ABCB9,0.3096060996868332,0.157351929451504,-0.15225417023532922
9912_XRRA1_P1P2_ENSG00000166435,XRRA1,0.30521875358093503,0.13103383576209096,-0.17418491781884407
4923_ME1_P1P2_ENSG00000065833,ME1,0.3051835325803346,0.11646131715555097,-0.18872221542478365
1485_CENPL_P1P2_ENSG00000120334,CENPL,0.30512409691222453,0.1754206016636502,-0.1297034952485743
2737_ESR2_P1P2_ENSG00000140009,ESR2,0.3038339161509857,0.09272416452978184,-0.21110975162120388
5046_MGST3_P1P2_ENSG00000143198,MGST3,0.3022349274033533,0.09314320261847193,-0.20909172478488133
8130_SMAD2_P1P2_ENSG00000175387,SMAD2,0.30220207553223416,0.10413200742177393,-0.19807006811046024
3049_FDFT1_P2_ENSG00000079459,FDFT1,0.3014451068516368,0.1567181604019448,-0.14472694644969197
5445_NADK_P1_ENSG00000008130,NADK,0.3009422230363139,0.12724998436425838,-0.17369223867205555
2809_F12_P2_ENSG00000131187,F12,0.30046193214257716,0.12346613296641999,-0.17699579917615715
9278_TRIM44_P1P2_ENSG00000166326,TRIM44,0.3001686798872423,0.1632789209248094,-0.13688975896243286
3283_GAPVD1_P1P2_ENSG00000165219,GAPVD1,0.2995458258522611,0.14635687034837036,-0.15318895550389072
2302_DNAJC6_P1P2_ENSG00000116675,DNAJC6,0.2986649204623018,0.104678216273696,-0.1939867041886058
10261_ZNF280C_P1P2_ENSG00000056277,ZNF280C,0.2983982685841146,0.18176871599224984,-0.11662955259186476
7853_SGK3_ENST00000521198.2_ENSG00000104205,SGK3,0.2981889131224084,0.12919507161173852,-0.1689938415106699
9939_YLPM1_P1P2_ENSG00000119596,YLPM1,0.29730154345095966,0.14161819584298288,-0.15568334760797678
6783_PRODH_P1_ENSG00000100033,PRODH,0.2969400961407308,0.14245418725374512,-0.15448590888698568
6344_PIGS_P1_ENSG00000087111,PIGS,0.2964675594156123,0.20933350011466714,-0.08713405930094514
778_BBS2_P1P2_ENSG00000125124,BBS2,0.2964240862797395,0.15699751912773807,-0.13942656715200138
2268_DMXL2_P1P2_ENSG00000104093,DMXL2,0.2942706196076307,0.09438155398503421,-0.19988906562259648
411_APOBEC3C_P1P2_ENSG00000244509,APOBEC3C,0.2939510974564393,0.11590468447057653,-0.17804641298586277
5646_NFKBIB_P1P2_ENSG00000104825,NFKBIB,0.29366954535109036,0.11369483186358148,-0.17997471348750885
367_AP1B1_P1P2_ENSG00000100280,AP1B1,0.29333462704670055,0.12392478162070016,-0.16940984542600038
3714_HEY2_P1P2_ENSG00000135547,HEY2,0.29289854111256763,0.16289323910188572,-0.1300053020106819
856_BMP1_P1P2_ENSG00000168487,BMP1,0.29233677107090317,0.11173723601643112,-0.18059953505447207
10430_ZNF540_P2_ENSG00000171817,ZNF540,0.29232679362735364,0.12481914649655534,-0.1675076471307983
1740_COG1_P1P2_ENSG00000166685,COG1,0.2922076332858384,0.13730898325933213,-0.15489865002650624
6167_PDE4A_P1_ENSG00000065989,PDE4A,0.29099362142279944,0.07690495549023589,-0.21408866593256354
5632_NFE2L3_P1P2_ENSG00000050344,NFE2L3,0.290571225311524,0.10451143494486342,-0.18605979036666057
3407_GLT8D1_P1P2_ENSG00000016864,GLT8D1,0.2905032808469436,0.11006525319491334,-0.18043802765203026
