perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
4958_MED8_P1P2_ENSG00000159479,MED8,-0.293701039738871,-0.0816728167281615,0.2120282230107095
10114_ZGPAT_P1P2_ENSG00000197114,ZGPAT,-0.2937581255104964,-0.12804011090957892,0.1657180146009175
6405_PKP4_P1P2_ENSG00000144283,PKP4,-0.29377539629562655,-0.19081034878144557,0.10296504751418098
3925_HOXD3_P1P2_ENSG00000128652,HOXD3,-0.2939534368946218,-0.09731899013904592,0.19663444675557584
6875_PSMD7_P1P2_ENSG00000103035,PSMD7,-0.29450328440783363,-0.09799445452080958,0.19650882988702403
514_ARL6IP1_P2_ENSG00000170540,ARL6IP1,-0.29466479461612155,-0.07960055871744769,0.21506423589867388
6224_PEX11B_P1P2_ENSG00000131779,PEX11B,-0.29470450736667547,-0.17098004878353207,0.1237244585831434
876_BORA_P1P2_ENSG00000136122,BORA,-0.29525896917011063,-0.08999937457000973,0.20525959460010088
7774_SENP5_P1P2_ENSG00000119231,SENP5,-0.2953105083350866,-0.11163091291929476,0.18367959541579182
7337_RNF111_P1P2_ENSG00000157450,RNF111,-0.29534524427607983,-0.1144912127087289,0.18085403156735091
3248_GABARAPL1_P1P2_ENSG00000139112,GABARAPL1,-0.29534576759763653,-0.11780182208600742,0.1775439455116291
3046_FCHO1_P1P2_ENSG00000130475,FCHO1,-0.29567486926797804,-0.10390685262784366,0.19176801664013435
821_BET1_P1P2_ENSG00000105829,BET1,-0.2959072540417038,-0.0898972210061063,0.2060100330355975
1799_CORO1B_P2_ENSG00000172725,CORO1B,-0.2959113916899617,-0.14134717618362114,0.15456421550634056
3472_GON4L_P2_ENSG00000116580,GON4L,-0.29620054476303415,-0.11186023724643351,0.1843403075166006
3608_GYPC_P1P2_ENSG00000136732,GYPC,-0.29633304796798765,-0.11886088352408584,0.1774721644439018
7637_SAGE1_P1P2_ENSG00000181433,SAGE1,-0.296373479227086,-0.10491379490065149,0.19145968432643454
2539_EIF2B5_P1P2_ENSG00000145191,EIF2B5,-0.2965647186714647,-0.08653657723017077,0.21002814144129398
5382_MYH9_P1P2_ENSG00000100345,MYH9,-0.29703098987328,-0.15989325994954476,0.1371377299237353
5559_NDUFB7_P1P2_ENSG00000099795,NDUFB7,-0.29710625905424226,-0.10330227031083156,0.1938039887434107
8921_TIMM23B_P1P2_ENSG00000204152,TIMM23B,-0.29714629647026425,-0.11361352596576309,0.18353277050450117
10544_ZNF676_ENST00000397121.2_ENSG00000196109,ZNF676,-0.2972528700046785,-0.15561740363165777,0.14163546637302074
2376_DROSHA_P1P2_ENSG00000113360,DROSHA,-0.2974146252425134,-0.08608626764233221,0.2113283576001812
5717_NMNAT1_P1P2_ENSG00000173614,NMNAT1,-0.2974218896070906,-0.1300790126545227,0.16734287695256786
8080_SLC39A9_P1P2_ENSG00000029364,SLC39A9,-0.29752324523059825,-0.13561615277169162,0.1619070924589066
2548_EIF3D_P1P2_ENSG00000100353,EIF3D,-0.2978431391349807,-0.10979631830215628,0.1880468208328244
10738_ZWINT_P1P2_ENSG00000122952,ZWINT,-0.29803716578456063,-0.17628994934016692,0.12174721644439368
10192_ZNF184_P1P2_ENSG00000096654,ZNF184,-0.29806132520175377,-0.08555673692329296,0.21250458827846078
117_ACTR6_P1P2_ENSG00000075089,ACTR6,-0.2983672347171901,-0.07000229324326974,0.22836494147392036
6904_PTDSS2_P1P2_ENSG00000174915,PTDSS2,-0.298931458931989,-0.14315675360142965,0.15577470533055934
5182_MPZ_P1_ENSG00000158887,MPZ,-0.29915690390460137,-0.1356641024037318,0.1634928015008696
8594_SUPT16H_P1P2_ENSG00000092201,SUPT16H,-0.2991710096604565,-0.14674880647110952,0.152422203189347
6291_PHF5A_P1P2_ENSG00000100410,PHF5A,-0.2993195670222597,-0.1521129109596133,0.14720665606264643
8857_TFRC_P1P2_ENSG00000072274,TFRC,-0.2997436023268657,-0.1254591698459294,0.1742844324809363
2791_EXOSC4_P1P2_ENSG00000178896,EXOSC4,-0.2998758351472835,-0.14738674505388646,0.15248909009339703
6238_PFDN2_P1P2_ENSG00000143256,PFDN2,-0.2999995676908709,-0.1291492067462985,0.1708503609445724
6287_PHF21A_P1P2_ENSG00000135365,PHF21A,-0.3001027947323007,-0.13086913919986054,0.1692336555324402
2070_DCP2_P1P2_ENSG00000172795,DCP2,-0.3001708031198652,-0.15839014322345663,0.14178065989640862
887_BRD1_P1P2_ENSG00000100425,BRD1,-0.3004843697206013,-0.1432609919319446,0.15722337778865667
1203_CASP3_P1P2_ENSG00000164305,CASP3,-0.3006225391135391,-0.09896178622802726,0.20166075288551186
4692_LSM3_P1P2_ENSG00000170860,LSM3,-0.30087720964184317,-0.15941793316237607,0.14145927647946707
10739_ZXDA_P1P2_ENSG00000198205,ZXDA,-0.30092371669597834,-0.07445118518981314,0.2264725315061652
