perturbation_id,knockdown_gene,direction,ARE_enrichment
6066_PAQR4_P1P2_ENSG00000162073,PAQR4,UP,-0.11939655172412209
6379_PITPNA_P1P2_ENSG00000174238,PITPNA,UP,0.07309113300492497
3523_GPX4_P1P2_ENSG00000167468,GPX4,UP,0.07523860837438297
9392_TTC7A_P1P2_ENSG00000068724,TTC7A,UP,0.06150708128078566
8301_SOX9_P1P2_ENSG00000125398,SOX9,UP,-0.09608220443349057
591_ASRGL1_P1P2_ENSG00000162174,ASRGL1,UP,-0.045520320197044876
172_AEN_P1P2_ENSG00000181026,AEN,UP,-0.09437346059113338
4138_INPP5K_P1P2_ENSG00000132376,INPP5K,UP,-0.08119612068965491
9533_UBL4A_P1P2_ENSG00000102178,UBL4A,UP,0.06175338669950342
7213_RDH10_P1P2_ENSG00000121039,RDH10,UP,-0.06333128078818157
6300_PHKG2_P1P2_ENSG00000156873,PHKG2,UP,0.0569427339901452
462_ARHGAP1_P1P2_ENSG00000175220,ARHGAP1,UP,-0.10315578817733251
2146_DENND1A_P1P2_ENSG00000119522,DENND1A,UP,0.06348522167487569
4568_LHX2_P1P2_ENSG00000106689,LHX2,UP,0.07644704433497526
7622_S100A1_P1_ENSG00000160678,S100A1,UP,0.04386545566502193
7623_S100A1_P2_ENSG00000160678,S100A1,UP,0.10171644088670466
5220_MRPL38_P1P2_ENSG00000204316,MRPL38,UP,0.10861299261084038
4526_LBH_P1P2_ENSG00000213626,LBH,UP,-0.07551570197044606
8986_TMEM115_P1P2_ENSG00000126062,TMEM115,UP,-0.09996921182266122
6922_PTPMT1_P1P2_ENSG00000110536,PTPMT1,UP,0.06464747536945553
3267_GALNT10_P1P2_ENSG00000164574,GALNT10,UP,0.07243688423644742
7214_RDH11_P1P2_ENSG00000072042,RDH11,UP,0.07613146551723785
121_ACY1_P1P2_ENSG00000243989,ACY1,UP,-0.05034636699507915
9011_TMEM161A_P1P2_ENSG00000064545,TMEM161A,UP,-0.06152247536946527
6909_PTGES2_P1P2_ENSG00000148334,PTGES2,UP,0.09503540640394403
407_APLP2_P1P2_ENSG00000084234,APLP2,UP,-0.14843749999999775
452_ARFRP1_P1P2_ENSG00000101246,ARFRP1,UP,-0.08780018472906573
2016_DAAM1_P1P2_ENSG00000100592,DAAM1,UP,-0.06791871921182455
1336_CCNO_P1P2_ENSG00000152669,CCNO,UP,-0.08716133004926047
8310_SP5_P1P2_ENSG00000204335,SP5,UP,-0.1579202586206809
5824_NSFL1C_P1P2_ENSG00000088833,NSFL1C,UP,-0.09883004926108509
6140_PCOLCE2_P1P2_ENSG00000163710,PCOLCE2,UP,0.06262315270935609
8026_SLC2A1_P1P2_ENSG00000117394,SLC2A1,UP,-0.06019088669950836
8511_STK11_P1_ENSG00000118046,STK11,UP,-0.07347598522167602
8512_STK11_P2_ENSG00000118046,STK11,UP,-0.07397629310344915
2136_DEAF1_P1P2_ENSG00000177030,DEAF1,UP,-0.11426262315269115
7255_RFT1_P1P2_ENSG00000163933,RFT1,UP,-0.061060652709360945
9718_VEGFA_P1P2_ENSG00000112715,VEGFA,UP,-0.051431650246308025
734_B4GALT1_P1P2_ENSG00000086062,B4GALT1,UP,0.0740301724137933
4658_LRRC20_P1P2_ENSG00000172731,LRRC20,UP,0.055349445812805945
1131_C9orf16_P1P2_ENSG00000171159,C9orf16,UP,-0.08653786945812637
3040_FBXW9_P1P2_ENSG00000132004,FBXW9,UP,0.0575354064039399
6244_PFKL_P1_ENSG00000141959,PFKL,UP,-0.05562653940886982
6245_PFKL_P2_ENSG00000141959,PFKL,UP,-0.0978679187192076
3572_GTF2F2_P1P2_ENSG00000188342,GTF2F2,UP,-0.122275246305417
6611_PPAT_P1P2_ENSG00000128059,PPAT,UP,0.05865917487684403
345_ANKRD9_P1P2_ENSG00000156381,ANKRD9,UP,-0.07779402709359672
10432_ZNF541_P1P2_ENSG00000118156,ZNF541,UP,0.10217056650246198
6227_PEX16_P1P2_ENSG00000121680,PEX16,UP,-0.05950584975369751
5565_NDUFS1_P1P2_ENSG00000023228,NDUFS1,UP,-0.07996459359606273
8880_THAP7_P1P2_ENSG00000184436,THAP7,UP,0.04998460591132873
787_BCAT1_P1P2_ENSG00000060982,BCAT1,UP,-0.13653786945812646
3481_GOT2_P1P2_ENSG00000125166,GOT2,UP,-0.06736453201970685
7004_RAB11B_P1P2_ENSG00000185236,RAB11B,UP,-0.08960899014778313
7966_SLC16A1_P2_ENSG00000155380,SLC16A1,UP,-0.08636083743842442
7967_SLC16A1_P1_ENSG00000155380,SLC16A1,UP,0.052509236453200624
4698_LSR_P1P2_ENSG00000105699,LSR,UP,-0.05942887931034731
5248_MRPS18A_P1P2_ENSG00000096080,MRPS18A,UP,0.09084051724138163
2788_EXOSC1_P1P2_ENSG00000171311,EXOSC1,UP,-0.07043565270936196
3080_FHL3_P1P2_ENSG00000183386,FHL3,UP,0.11568657635468414
4791_MANBAL_P1P2_ENSG00000101363,MANBAL,UP,0.0854141009852192
8395_SRA1_P1P2_ENSG00000213523,SRA1,UP,-0.12530788177338964
2816_FADS2_P2_ENSG00000134824,FADS2,UP,0.05778940886699486
2817_FADS2_P1_ENSG00000134824,FADS2,UP,-0.057858682266013574
7964_SLC13A3_P1P2_ENSG00000158296,SLC13A3,UP,0.10647321428571214
3313_GCAT_P1P2_ENSG00000100116,GCAT,UP,-0.09060190886699691
4632_LPCAT3_P1P2_ENSG00000111684,LPCAT3,UP,-0.0830049261083779
5607_NETO2_P1P2_ENSG00000171208,NETO2,UP,0.07920258620689109
8385_SPTBN2_P1P2_ENSG00000173898,SPTBN2,UP,0.05604217980295385
1988_CYB561_P1P2_ENSG00000008283,CYB561,UP,-0.08788485221674858
