category,gene,ARE_effect,enrichment_score
Query-UP,CIB1,Activates,0.15163947044334986
Query-UP,MARCKSL1,Activates,0.11716440886699465
Query-UP,FHL3,Activates,0.11568657635468414
Query-UP,SLC19A1,Activates,0.11528633004926313
Query-UP,HBZ,Activates,0.11367764778325898
Query-UP,CHCHD5,Activates,0.11328509852216974
Query-UP,SP5,Suppresses,-0.1579202586206809
Query-UP,SLC25A39,Suppresses,-0.15528017241379163
Query-UP,APLP2,Suppresses,-0.14843749999999775
Query-UP,BCAT1,Suppresses,-0.13653786945812646
Query-UP,SRA1,Suppresses,-0.12530788177338964
Query-UP,BEST1,Suppresses,-0.12457666256156219
Query-DOWN,PPIC,Activates,0.163115763546804
Query-DOWN,MEST,Activates,0.1542641625615805
Query-DOWN,IFRD1,Activates,0.1423106527093713
Query-DOWN,NR3C1,Activates,0.13283559113301624
Query-DOWN,PDCD4,Activates,0.1263931650246326
Query-DOWN,DDAH2,Activates,0.12370689655172637
Query-DOWN,WDR26,Suppresses,-0.14429649014778004
Query-DOWN,ANGPT1,Suppresses,-0.1423183497536926
Query-DOWN,TPM1,Suppresses,-0.13097290640391548
Query-DOWN,TSEN54,Suppresses,-0.1308805418719157
Query-DOWN,ZBTB46,Suppresses,-0.12576200738915624
