perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
7495_RPRD1B_P1P2_ENSG00000101413,RPRD1B,-0.1874536312391773,-0.055528091961295364,0.13192553927788192
2582_ELAC2_P1P2_ENSG00000006744,ELAC2,-0.18747980502976475,-0.10308569959661293,0.08439410543315183
7649_SAP30BP_P1P2_ENSG00000161526,SAP30BP,-0.18755403586514907,-0.057629880829968325,0.12992415503518076
3229_FXN_P1P2_ENSG00000165060,FXN,-0.1879600001620673,-0.06567946030741555,0.12228053985465175
4401_KIN_P1P2_ENSG00000151657,KIN,-0.18864774912858814,-0.08121753803157868,0.10743021109700947
6213_PELO_P2_ENSG00000152684,PELO,-0.18877996585368315,-0.06333297081388828,0.12544699503979487
8220_SNRNP40_P1P2_ENSG00000060688,SNRNP40,-0.188790787643967,-0.11283335310711658,0.07595743453685043
3658_HCFC1_P1P2_ENSG00000172534,HCFC1,-0.1889323809134434,-0.09671442036436129,0.0922179605490821
1927_CTCF_P1P2_ENSG00000102974,CTCF,-0.18912407673167597,-0.05769167391705465,0.13143240281462132
5933_OGT_P1P2_ENSG00000147162,OGT,-0.1892622602259555,-0.08037138469244601,0.10889087553350948
6846_PSMA6_P1P2_ENSG00000100902,PSMA6,-0.18938240007226836,-0.07582835693004217,0.1135540431422262
4531_LCE1E_P1P2_ENSG00000186226,LCE1E,-0.18977139025225068,-0.09638980068021355,0.09338158957203713
1315_CCNA2_P1P2_ENSG00000145386,CCNA2,-0.1899082550377964,-0.10216457064513748,0.08774368439265891
4116_INCENP_P1P2_ENSG00000149503,INCENP,-0.19010151186152904,-0.07204579609269865,0.1180557157688304
3337_GEMIN6_P1P2_ENSG00000152147,GEMIN6,-0.1902467641218979,-0.10091552637821574,0.08933123774368214
4932_MED12_P1P2_ENSG00000184634,MED12,-0.1905270011677711,-0.06617298109625774,0.12435402007151336
2275_DNAJA1_P2_ENSG00000086061,DNAJA1,-0.1908148070648979,-0.06178320018982871,0.12903160687506918
3770_HIST1H2BN_P1P2_ENSG00000233822,HIST1H2BN,-0.19092590070928744,-0.09737272271875347,0.09355317799053398
916_BTAF1_P1P2_ENSG00000095564,BTAF1,-0.19101522182189823,-0.07670417095098035,0.11431105087091789
34_ABCF1_P2_ENSG00000204574,ABCF1,-0.191194272570053,-0.053811068048193716,0.1373832045218593
2421_DYNC1H1_P1P2_ENSG00000197102,DYNC1H1,-0.1914246882165504,-0.05901322207282109,0.1324114661437293
6793_PRPF31_P1P2_ENSG00000105618,PRPF31,-0.19162723429925466,-0.1131002992433127,0.07852693505594194
6557_POLR3C_P1P2_ENSG00000186141,POLR3C,-0.1918805530817279,-0.08820510031901421,0.1036754527627137
9843_WDR77_P1P2_ENSG00000116455,WDR77,-0.19197358889810417,-0.07844261646760878,0.11353097243049538
9916_YAE1_P1P2_ENSG00000241127,YAE1,-0.19218546520236957,-0.0652691542091773,0.12691631099319228
1636_CLASRP_P1P2_ENSG00000104859,CLASRP,-0.19273206867416948,-0.1036401895647005,0.08909187910946897
14_AASDHPPT_P1P2_ENSG00000149313,AASDHPPT,-0.19273218762710592,-0.08313477154682615,0.10959741608027979
1999_CYC1_P1P2_ENSG00000179091,CYC1,-0.19282008417466662,-0.07686236125391649,0.11595772292075014
7375_RNF20_P1P2_ENSG00000155827,RNF20,-0.1928976230726814,-0.08265855282236785,0.11023907025031356
6844_PSMA4_P1P2_ENSG00000041357,PSMA4,-0.1929103075276421,-0.08420832344643488,0.10870198408120722
2550_EIF3F_P1P2_ENSG00000175390,EIF3F,-0.19321242328476845,-0.07441700282105301,0.11879542046371544
8869_TGS1_P1P2_ENSG00000137574,TGS1,-0.19338621613428958,-0.07551362413982889,0.11787259199446071
9841_WDR75_P1P2_ENSG00000115368,WDR75,-0.1936196802872767,-0.04836503730654529,0.1452546429807314
7701_SCNM1_P1P2_ENSG00000163156,SCNM1,-0.19372464675279172,-0.07934149990771504,0.1143831468450767
3286_GART_P1P2_ENSG00000159131,GART,-0.1938840312991482,-0.09494960979725002,0.09893442150189817
6854_PSMB6_P2_ENSG00000142507,PSMB6,-0.19405692704049576,-0.08632247093252889,0.10773445610796686
9253_TRAPPC8_P1P2_ENSG00000153339,TRAPPC8,-0.19418316665596516,-0.09055818107516217,0.10362498558080299
9479_UBA2_P1P2_ENSG00000126261,UBA2,-0.19434023106874443,-0.08507589838908512,0.10926433267965932
