category,gene,ARE_effect,enrichment_score
Query-UP,PES1,Activates,0.12267753628212037
Query-UP,NOC4L,Activates,0.12124181043181236
Query-UP,ABCB10,Activates,0.10490888840621027
Query-UP,ATP6V0B,Activates,0.10446754135029218
Query-UP,TMEM214,Activates,0.10364415565610269
Query-UP,C9orf16,Activates,0.102692140017164
Query-UP,S100A1,Suppresses,-0.1418333849393576
Query-UP,PTPMT1,Suppresses,-0.1100995303081378
Query-UP,MRPL38,Suppresses,-0.10651945855265464
Query-UP,GTF2F2,Suppresses,-0.09580543141866678
Query-UP,RFT1,Suppresses,-0.08322203377036676
Query-DOWN,WDR26,Activates,0.15465478649738557
Query-DOWN,ARL6IP6,Activates,0.12152833941052382
Query-DOWN,EXOC2,Activates,0.08584546845178023
Query-DOWN,SMG1,Activates,0.07864450226373328
Query-DOWN,MEF2A,Activates,0.06882395259023821
Query-DOWN,PRPF38B,Activates,0.06458917752318828
Query-DOWN,PTEN,Suppresses,-0.16213688998983034
Query-DOWN,FAM102B,Suppresses,-0.10273527341179949
Query-DOWN,TSEN54,Suppresses,-0.09345543164974192
Query-DOWN,MED28,Suppresses,-0.08078653745133872
Query-DOWN,DNAJA1,Suppresses,-0.0804114309657691
Query-DOWN,LRP5,Suppresses,-0.06609730585736122
