perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
8995_TMEM128_P1P2_ENSG00000132406,TMEM128,-0.3039284780333299,-0.09791213689831882,0.20601634113501105
9835_WDR66_P1P2_ENSG00000158023,WDR66,-0.30420822505940326,-0.09049347561733193,0.21371474944207133
4516_LARP1B_P1P2_ENSG00000138709,LARP1B,-0.3046301643146552,-0.07344183550003877,0.23118832881461646
4419_KLF4_P2_ENSG00000136826,KLF4,-0.30490662683822534,-0.17986190081966863,0.1250447260185567
7698_SCMH1_ENST00000402904.2_ENSG00000010803,SCMH1,-0.305506664319409,-0.09651719568297167,0.2089894686364373
9449_TXNDC12_P1P2_ENSG00000117862,TXNDC12,-0.3055530796167454,-0.07932242246704337,0.22623065714970203
9984_ZBTB26_P1P2_ENSG00000171448,ZBTB26,-0.3058210832418111,-0.059051500623172895,0.24676958261863824
907_BRPF3_P1P2_ENSG00000096070,BRPF3,-0.3061518419558907,-0.09002465406975163,0.21612718788613905
1489_CENPP_P1P2_ENSG00000188312,CENPP,-0.3064529700780904,-0.08095268420047351,0.2255002858776169
1284_CCDC59_P1P2_ENSG00000133773,CCDC59,-0.30657047503007795,-0.08081197708657281,0.2257584979435051
9709_VBP1_P1P2_ENSG00000155959,VBP1,-0.306733019462958,-0.0923026537240344,0.2144303657389236
1315_CCNA2_P1P2_ENSG00000145386,CCNA2,-0.3067457566881595,-0.06777048971533729,0.2389752669728222
10505_ZNF616_P1P2_ENSG00000204611,ZNF616,-0.3069757992498287,-0.15020787656590046,0.15676792268392825
5686_NKRF_P1P2_ENSG00000186416,NKRF,-0.30700505372212367,-0.1860548333196799,0.12095022040244377
3755_HIST1H2AK_ENST00000330180.2_ENSG00000275221,HIST1H2AK,-0.30722870637855987,-0.12133077391945966,0.18589793245910022
6100_PBDC1_P1P2_ENSG00000102390,PBDC1,-0.3075677146555019,-0.0919569509011086,0.21561076375439334
4478_KRT8_P1_ENSG00000170421,KRT8,-0.30769481011986405,-0.0818994247383703,0.22579538538149374
3810_HLA-E_P1P2_ENSG00000204592,HLA-E,-0.30797581648208666,-0.07879416429374891,0.22918165218833775
8197_SMYD5_P1P2_ENSG00000135632,SMYD5,-0.3080192854422509,-0.08631471693307351,0.22170456850917739
6597_POU5F1B_P1P2_ENSG00000212993,POU5F1B,-0.3087051559421804,-0.14054639240910569,0.16815876353307474
1828_CPEB1_ENST00000568128.1_ENSG00000214575,CPEB1,-0.30890633146016333,-0.06335034555119574,0.2455559859089676
10610_ZNF761_P1P2_ENSG00000160336,ZNF761,-0.308945226010261,-0.12874640271953341,0.18019882329072756
8412_SRM_P1P2_ENSG00000116649,SRM,-0.3090170778372695,-0.11814302999427184,0.19087404784299766
3372_GINS4_P1P2_ENSG00000147536,GINS4,-0.30944932974236067,-0.06693655746702305,0.2425127722753376
3669_HDDC2_P1P2_ENSG00000111906,HDDC2,-0.30961635425350303,-0.11203985892899358,0.19757649532450944
9098_TMEM87A_P1P2_ENSG00000103978,TMEM87A,-0.31017879917316366,-0.18442214560153622,0.12575665357162744
816_BECN1_P1P2_ENSG00000126581,BECN1,-0.3101942074581282,-0.07441708135842393,0.23577712609970428
5479_NBEAL2_P2_ENSG00000160796,NBEAL2,-0.3102937380016148,-0.055091687060098274,0.25520205094151655
10606_ZNF74_P1P2_ENSG00000185252,ZNF74,-0.3106234107744814,-0.11410558492007608,0.19651782585440536
1712_CNN2_P1P2_ENSG00000064666,CNN2,-0.3107886981486787,-0.08282433141377134,0.2279643667349074
4801_MAP2K2_P1P2_ENSG00000126934,MAP2K2,-0.31092212888563386,-0.08489066390104416,0.2260314649845897
4127_INO80C_P1P2_ENSG00000153391,INO80C,-0.31093146680592737,-0.056201575070576895,0.2547298917353505
8993_TMEM126B_P1P2_ENSG00000171204,TMEM126B,-0.31115672344057466,-0.12595227481555818,0.18520444862501648
6485_PNISR_P2_ENSG00000132424,PNISR,-0.3112125667618057,-0.08410767733190269,0.227104889429903
2217_DHX8_P1P2_ENSG00000067596,DHX8,-0.311218629173194,-0.16183926031725826,0.14937936885593572
9642_USP22_P1P2_ENSG00000124422,USP22,-0.31123011233084497,-0.05576247183582759,0.25546764049501736
9895_XPNPEP3_P1P2_ENSG00000196236,XPNPEP3,-0.3116211586042805,-0.1040850550243679,0.2075361035799126
2098_DDR1_P1_ENSG00000204580,DDR1,-0.3119186476823059,-0.1303881878804019,0.181530459801904
10667_ZNF837_P1P2_ENSG00000152475,ZNF837,-0.31197840951987355,-0.0694213723189053,0.24255703720096822
2583_ELAVL1_P1P2_ENSG00000066044,ELAVL1,-0.31199993387571057,-0.1185105666797132,0.19348936719599735
5563_NDUFC1_P1_ENSG00000109390,NDUFC1,-0.31265286602539566,-0.07193651197981575,0.24071635404557992
2128_DDX52_P1P2_ENSG00000278053,DDX52,-0.3128959759907768,-0.11745526332548785,0.19544071266528895
1399_CDC40_P1P2_ENSG00000168438,CDC40,-0.3130448994449748,-0.10305946998299409,0.2099854294619807
"8865_TGIF2LY_ENST00000321217.4,ENST00000559055.2_ENSG00000176679",TGIF2LY,-0.3136828959760814,-0.11170204055640186,0.20198085541967956
4780_MAK16_P1P2_ENSG00000198042,MAK16,-0.31379971590585687,-0.10468851872406773,0.20911119718178917
7776_SENP7_P1P2_ENSG00000138468,SENP7,-0.31489942274719307,-0.09966491086022618,0.21523451188696688
6756_PRKAR1B_P2_ENSG00000188191,PRKAR1B,-0.3150769918284399,-0.09270476069176685,0.22237223113667304
7587_RTKN2_P1P2_ENSG00000182010,RTKN2,-0.31561223844985353,-0.0661092966767016,0.24950294177315194
10203_ZNF208_P1P2_ENSG00000160321,ZNF208,-0.31609554050069605,-0.11460897674998376,0.2014865637507123
3770_HIST1H2BN_P1P2_ENSG00000233822,HIST1H2BN,-0.3162078334379865,0.06294338661402915,0.3791512200520156
5970_ORC6_P1P2_ENSG00000091651,ORC6,-0.31663498349981145,-0.0675673134948418,0.24906767000496965
8590_SUN1_P2_ENSG00000164828,SUN1,-0.3167705793741056,-0.06911569824388623,0.24765488113021933
8643_TACC1_P1P2_ENSG00000147526,TACC1,-0.3169372970631398,-0.08147002544250934,0.23546727162063047
6258_PGK1_P1P2_ENSG00000102144,PGK1,-0.3170198255451756,-0.060106197481216685,0.2569136280639589
6370_PIP4K2A_P1P2_ENSG00000150867,PIP4K2A,-0.3171716703693106,-0.11522032490001402,0.2019513454692966
2921_FAM3C_P1P2_ENSG00000196937,FAM3C,-0.3173692917116422,-0.10364716478198682,0.21372212692965534
1381_CD99L2_P1P2_ENSG00000102181,CD99L2,-0.31758013596608003,-0.08261084475820443,0.23496929120787563
5512_NCOR1_P1P2_ENSG00000141027,NCOR1,-0.317635365710367,-0.07322289037884551,0.24441247533152147
1481_CENPH_P1P2_ENSG00000153044,CENPH,-0.31764386501287517,-0.10191137271313515,0.21573249229974004
2721_ERP44_P1P2_ENSG00000023318,ERP44,-0.3179949196536654,-0.052416432407514625,0.26557848724615074
7876_SH3BGR_P2_ENSG00000185437,SH3BGR,-0.3180369008474658,-0.10050430157416404,0.21753259927330174
3307_GBE1_P1P2_ENSG00000114480,GBE1,-0.3182944380257015,-0.08477482313055439,0.23351961489514714
3515_GPRC5C_P1P2_ENSG00000170412,GPRC5C,-0.31853444275608966,-0.08084654736886596,0.23768789538722368
2551_EIF3G_P1P2_ENSG00000130811,EIF3G,-0.3191134768044046,-0.12297559156122398,0.1961378852431806
8573_SUCLG2_P1P2_ENSG00000172340,SUCLG2,-0.3191442942803836,-0.05868578342627494,0.26045851085410865
2619_EMD_P1P2_ENSG00000102119,EMD,-0.31914996600798473,-0.14273948259811556,0.17641048340986917
1927_CTCF_P1P2_ENSG00000102974,CTCF,-0.3193933707143989,-0.05584738130110976,0.2635459894132891
8067_SLC38A7_P1P2_ENSG00000103042,SLC38A7,-0.3196975096725195,-0.08975597626173978,0.2299415334107797
8001_SLC25A36_P1P2_ENSG00000114120,SLC25A36,-0.31977426347058274,-0.05532822057052471,0.264446042900058
4266_JUN_P1P2_ENSG00000177606,JUN,-0.3199115493661736,-0.10247116868781944,0.21744038067835417
5570_NDUFS5_P2_ENSG00000168653,NDUFS5,-0.3200899823009565,-0.1357265672619545,0.18436341503900197
6578_POPDC3_P1_ENSG00000132429,POPDC3,-0.320360432481846,-0.10520707295846216,0.21515335952338382
3494_GPBP1L1_P1P2_ENSG00000159592,GPBP1L1,-0.320427878830434,-0.10418633988652871,0.21624153894390527
1627_CKAP2_P1P2_ENSG00000136108,CKAP2,-0.32051713565148976,-0.1326789239544843,0.18783821169700549
5738_NOL9_P1P2_ENSG00000162408,NOL9,-0.32104757131151374,-0.15633409448604502,0.16471347682546875
8_AAMP_P1P2_ENSG00000127837,AAMP,-0.3213065830006374,-0.12067211906733857,0.20063446393329887
7487_RPP14_P1P2_ENSG00000163684,RPP14,-0.32140778588026964,-0.10257306004615782,0.2188347258341118
4227_ITGB1_P1P2_ENSG00000150093,ITGB1,-0.3214389716232699,-0.11512753098438318,0.2063114406388867
10690_ZNF891_P1P2_ENSG00000214029,ZNF891,-0.3215737234769138,-0.12204219393929923,0.1995315295376146
1961_CUL2_P1P2_ENSG00000108094,CUL2,-0.3222206372099535,-0.10697137034779376,0.2152492668621597
6151_PDCD10_P1P2_ENSG00000114209,PDCD10,-0.32228189912972494,-0.08010480254000099,0.24217709658972394
9662_USP45_P1P2_ENSG00000123552,USP45,-0.3225205387823207,-0.04440401136573603,0.27811652741658466
