perturbation_id,knockdown_gene,direction,ARE_enrichment
53_ABI1_P1P2_ENSG00000136754,ABI1,UP,-0.09458128078817526
119_ACVR1B_P1P2_ENSG00000135503,ACVR1B,UP,-0.04455049261083862
131_ADAM9_P1P2_ENSG00000168615,ADAM9,UP,0.12441502463054752
160_ADORA2B_P1P2_ENSG00000170425,ADORA2B,UP,-0.07179033251231655
166_ADRM1_P1P2_ENSG00000130706,ADRM1,UP,0.11929649014778647
210_AHR_P1P2_ENSG00000106546,AHR,UP,-0.11943503694581194
363_ANXA5_P1P2_ENSG00000164111,ANXA5,UP,-0.08215055418719255
412_APOBEC3G_P1P2_ENSG00000239713,APOBEC3G,UP,-0.06494766009852422
415_APOC1_P1P2_ENSG00000130208,APOC1,UP,0.055357142857142785
436_AREG_P1P2_ENSG00000109321,AREG,UP,-0.05311730295566762
606_ATF3_P1P2_ENSG00000162772,ATF3,UP,0.05889778325123041
638_ATOX1_P1P2_ENSG00000177556,ATOX1,UP,0.061614839901475045
647_ATP2A2_P1P2_ENSG00000174437,ATP2A2,UP,-0.05584205665024739
649_ATP2B1_P1P2_ENSG00000070961,ATP2B1,UP,0.08119612068965514
651_ATP2C1_P1P2_ENSG00000017260,ATP2C1,UP,-0.05571890394088909
720_AXL_P1P2_ENSG00000167601,AXL,UP,-0.09688269704433321
734_B4GALT1_P1P2_ENSG00000086062,B4GALT1,UP,0.0740301724137933
738_B4GALT5_P1P2_ENSG00000158470,B4GALT5,UP,0.053963977832509245
756_BAK1_P1P2_ENSG00000030110,BAK1,UP,-0.10598060344827337
805_BCL6_P1P2_ENSG00000113916,BCL6,UP,-0.08194273399014718
818_BEST1_P1_ENSG00000167995,BEST1,UP,-0.12457666256156219
819_BEST1_P2_ENSG00000167995,BEST1,UP,0.09653633004926152
830_BHLHE40_P1P2_ENSG00000134107,BHLHE40,UP,0.08447506157635744
8535_BHLHE40_P1P2_ENSG00000134107,BHLHE40,UP,0.04909944581280672
836_BIRC2_P1P2_ENSG00000110330,BIRC2,UP,0.05666564039408448
907_BRPF3_P1P2_ENSG00000096070,BRPF3,UP,0.07741687192117966
914_BST2_P1P2_ENSG00000130303,BST2,UP,0.15301724137931638
925_BTG1_P1P2_ENSG00000133639,BTG1,UP,-0.08203509852216995
926_BTG2_P1P2_ENSG00000159388,BTG2,UP,-0.07331434729064545
927_BTG3_P1P2_ENSG00000154640,BTG3,UP,-0.09255695812807736
1157_CALM1_P1P2_ENSG00000198668,CALM1,UP,0.0558112684729044
1159_CALM3_ENST00000291295.9_ENSG00000160014,CALM3,UP,-0.05607296798029646
1201_CASP10_P1P2_ENSG00000003400,CASP10,UP,0.06049107142856872
1203_CASP3_P1P2_ENSG00000164305,CASP3,UP,0.07349907635467774
1205_CASP7_P1P2_ENSG00000165806,CASP7,UP,0.09242610837438228
1209_CASP9_P1P2_ENSG00000132906,CASP9,UP,0.06834205665024343
1223_CBL_P1P2_ENSG00000110395,CBL,UP,-0.10738916256156981
1320_CCND1_P1_ENSG00000110092,CCND1,UP,-0.0829895320197044
1321_CCND1_P2_ENSG00000110092,CCND1,UP,0.11448583743842705
1334_CCNL1_P1P2_ENSG00000163660,CCNL1,UP,-0.13084205665023807
1366_CD46_P1P2_ENSG00000117335,CD46,UP,-0.14435036945811858
1370_CD55_P1P2_ENSG00000196352,CD55,UP,0.04878386699507123
1372_CD59_P2_ENSG00000085063,CD59,UP,0.049468903940885614
1373_CD59_P1_ENSG00000085063,CD59,UP,0.09846828817734055
1376_CD69_P1P2_ENSG00000110848,CD69,UP,0.06677955665024606
1383_CD9_P1P2_ENSG00000010278,CD9,UP,-0.08831588669950323
1466_CEBPB_P1P2_ENSG00000172216,CEBPB,UP,-0.11510929802954908
1467_CEBPD_P1P2_ENSG00000221869,CEBPD,UP,0.045558805418718415
1535_CFH_P1P2_ENSG00000000971,CFH,UP,-0.10803571428570913
1538_CFLAR_P1_ENSG00000003402,CFLAR,UP,-0.13919334975368838
1539_CFLAR_P2_ENSG00000003402,CFLAR,UP,0.1490763546798097
1602_CHST2_P1P2_ENSG00000175040,CHST2,UP,0.07211360837438192
1686_CLU_P2_ENSG00000120885,CLU,UP,0.07837130541872002
1687_CLU_P1_ENSG00000120885,CLU,UP,-0.13842364532018883
1838_CPQ_P1P2_ENSG00000104324,CPQ,UP,0.06017549261083473
1912_CSRP1_P1P2_ENSG00000159176,CSRP1,UP,0.07471520935960196
1945_CTSB_P1P2_ENSG00000164733,CTSB,UP,0.08894704433497372
1946_CTSC_P1P2_ENSG00000109861,CTSC,UP,0.06249230295566263
1947_CTSD_P1P2_ENSG00000117984,CTSD,UP,0.05152401477832465
1949_CTSH_P1P2_ENSG00000103811,CTSH,UP,-0.04724445812807978
1950_CTSL_P1_ENSG00000135047,CTSL,UP,-0.10086206896551157
1951_CTSL_P2_ENSG00000135047,CTSL,UP,-0.12134390394087781
1952_CTSS_P1P2_ENSG00000163131,CTSS,UP,0.07719365763546547
1953_CTSV_P1P2_ENSG00000136943,CTSV,UP,-0.07473830049261206
1977_CXCL2_P1P2_ENSG00000081041,CXCL2,UP,-0.06751077586207152
1978_CXCL3_P1P2_ENSG00000163734,CXCL3,UP,0.06390086206896334
2064_DCBLD2_P1P2_ENSG00000057019,DCBLD2,UP,-0.041433189655172654
2154_DENND5A_P1P2_ENSG00000184014,DENND5A,UP,0.06437038177339865
2178_DGKH_P2_ENSG00000102780,DGKH,UP,0.056565578817730486
2179_DGKH_P1_ENSG00000102780,DGKH,UP,-0.0651400862068988
2282_DNAJB4_P1P2_ENSG00000162616,DNAJB4,UP,0.04531249999999923
2327_DOCK9_P1P2_ENSG00000088387,DOCK9,UP,0.07337592364531628
2370_DRAM1_P1P2_ENSG00000136048,DRAM1,UP,-0.09435036945812725
2405_DUSP1_P1P2_ENSG00000120129,DUSP1,UP,0.08479064039408844
2433_DYRK2_P1P2_ENSG00000127334,DYRK2,UP,-0.11806496305418701
2497_EFNA1_P1P2_ENSG00000169242,EFNA1,UP,0.08863916256157583
2510_EGR1_P1_ENSG00000120738,EGR1,UP,0.08390548029556628
2511_EGR1_P2_ENSG00000120738,EGR1,UP,0.05738916256157377
2512_EGR2_P1P2_ENSG00000122877,EGR2,UP,-0.07484605911330362
2513_EGR3_P1P2_ENSG00000179388,EGR3,UP,-0.05650400246305732
2517_EHD1_P1P2_ENSG00000110047,EHD1,UP,0.04622844827586194
2529_EIF1_P1P2_ENSG00000173812,EIF1,UP,-0.11008312807880798
2531_EIF2AK2_P1P2_ENSG00000055332,EIF2AK2,UP,-0.11475523399014315
2629_EMP3_P1P2_ENSG00000142227,EMP3,UP,-0.10357142857142819
2759_ETS2_P1P2_ENSG00000157557,ETS2,UP,-0.08569119458128138
3041_FCER1G_P1P2_ENSG00000158869,FCER1G,UP,-0.0780018472906418
3052_FDX1_P1P2_ENSG00000137714,FDX1,UP,-0.05942118226601171
3090_FJX1_P1P2_ENSG00000179431,FJX1,UP,-0.11348522167487476
3121_FN1_P1P2_ENSG00000115414,FN1,UP,0.054418103448275135
3140_FOS_P1_ENSG00000170345,FOS,UP,0.047413793103448
3141_FOS_P2_ENSG00000170345,FOS,UP,0.08064963054186694
3136_FOSB_P1_ENSG00000125740,FOSB,UP,-0.06487068965517627
3137_FOSB_P2_ENSG00000125740,FOSB,UP,-0.048568349753699135
3138_FOSL1_P1P2_ENSG00000175592,FOSL1,UP,0.06248460591132512
3139_FOSL2_P1P2_ENSG00000075426,FOSL2,UP,-0.13695350985220833
3233_FYN_P1P2_ENSG00000010810,FYN,UP,-0.06743380541872124
3237_FZD5_P1P2_ENSG00000163251,FZD5,UP,0.06698737684728888
3239_G0S2_P1P2_ENSG00000123689,G0S2,UP,0.06187653940886569
