category,gene,ARE_effect,enrichment_score
Query-UP,BST2,Activates,0.15301724137931638
Query-UP,CFLAR,Activates,0.1490763546798097
Query-UP,TGIF1,Activates,0.1411483990147891
Query-UP,GNAI2,Activates,0.13278940886700424
Query-UP,PIM1,Activates,0.12869458128078892
Query-UP,GNB2,Activates,0.12541564039410064
Query-UP,CD46,Suppresses,-0.14435036945811858
Query-UP,CLU,Suppresses,-0.13842364532018883
Query-UP,FOSL2,Suppresses,-0.13695350985220833
Query-UP,NINJ1,Suppresses,-0.13693041871920297
Query-UP,CCNL1,Suppresses,-0.13084205665023807
Query-DOWN,GPS2,Activates,0.15134698275863037
Query-DOWN,PLCG1,Activates,0.150246305418738
Query-DOWN,NR1D1,Activates,0.12473830049262792
Query-DOWN,ISL1,Activates,0.12021243842364762
Query-DOWN,ENPP3,Activates,0.1008697660098563
Query-DOWN,FNDC4,Activates,0.09201816502463311
Query-DOWN,RPS19,Suppresses,-0.15482604679802345
Query-DOWN,IGF1,Suppresses,-0.12322967980294461
Query-DOWN,AHR,Suppresses,-0.11943503694581194
Query-DOWN,ARNT,Suppresses,-0.10385621921181433
Query-DOWN,PPARA,Suppresses,-0.10328663793102859
