category,gene,ARE_effect,enrichment_score
Query-UP,TUBB2A,Activates,0.16955583386864728
Query-UP,TYK2,Activates,0.16246963331992822
Query-UP,USP8,Activates,0.15061334146705777
Query-UP,PFN1,Activates,0.13927619082830084
Query-UP,USP14,Activates,0.1157630990727872
Query-UP,ADRM1,Activates,0.10822938955463456
Query-UP,CCNL1,Suppresses,-0.11790898545633982
Query-UP,PRDM4,Suppresses,-0.11285390565185467
Query-UP,HSPA5,Suppresses,-0.10725272626160968
Query-UP,YRDC,Suppresses,-0.10505446361312441
Query-UP,RNF4,Suppresses,-0.09941785322013123
Query-UP,MSRB1,Suppresses,-0.09328520878873058
Query-DOWN,GPS2,Activates,0.13252427408808323
Query-DOWN,VPS35,Activates,0.12437360297867324
Query-DOWN,RPS19,Activates,0.11101534470514554
Query-DOWN,FYN,Activates,0.0763222311056538
Query-DOWN,MVK,Suppresses,-0.06854820696018755
