perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
5199_MRPL16_P1P2_ENSG00000166902,MRPL16,-0.4842149058891957,-0.15666706432265834,0.3275478415665374
707_ATXN7L3_P1P2_ENSG00000087152,ATXN7L3,-0.48437180978651456,-0.08711486112769061,0.39725694865882394
8794_TCTA_P1P2_ENSG00000145022,TCTA,-0.48484571570532176,-0.1267116379450742,0.3581340777602476
873_BOLA3_P1P2_ENSG00000163170,BOLA3,-0.48566908787961727,0.04170073855564024,0.5273698264352575
2244_DLST_P1P2_ENSG00000119689,DLST,-0.48586295270757884,-0.08724391857452192,0.39861903413305694
1100_C5orf30_P1P2_ENSG00000181751,C5orf30,-0.4859854652778529,-0.09161451950503599,0.3943709457728169
5154_MORN1_P1P2_ENSG00000116151,MORN1,-0.48610424509993255,0.07816326309282075,0.5642675081927533
7126_RASSF1_P2_ENSG00000068028,RASSF1,-0.48620583016529517,-0.06727688787185818,0.418928942293437
4129_INO80E_P1P2_ENSG00000169592,INO80E,-0.4868654189717279,-0.09080872384960643,0.3960566951221215
3127_FNDC3B_P1P2_ENSG00000075420,FNDC3B,-0.4870768017276678,-0.039314802563797546,0.4477619991638703
5246_MRPS16_P1P2_ENSG00000182180,MRPS16,-0.48723193745569826,-0.13838971010878767,0.3488422273469106
4495_LACTB2_P1P2_ENSG00000147592,LACTB2,-0.4876243037185122,-0.07003047490971955,0.41759382880879264
9613_UQCRFS1_P1P2_ENSG00000169021,UQCRFS1,-0.4878526296530721,-0.16637348574401176,0.32147914390906035
4982_MEST_P1_ENSG00000106484,MEST,-0.4882412825468753,-0.04789658051991852,0.4403447020269568
1728_CNP_P1P2_ENSG00000173786,CNP,-0.48881345200133486,0.04668842929495223,0.5355018812962871
6874_PSMD6_P1P2_ENSG00000163636,PSMD6,-0.48939515070852757,-0.1604043076989802,0.32899084300954734
9183_TOR1A_P1P2_ENSG00000136827,TOR1A,-0.4896507766012363,-0.08939993709805528,0.400250839503181
