perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
8927_TIMM9_P1P2_ENSG00000100575,TIMM9,0.6835004915345857,0.12487012916589578,-0.5586303623686899
5909_NVL_P1P2_ENSG00000143748,NVL,0.6484333080920466,0.17742145390263714,-0.4710118541894094
1978_CXCL3_P1P2_ENSG00000163734,CXCL3,0.6261084724657316,0.09945340375459041,-0.5266550687111412
3294_GATA3_P1P2_ENSG00000107485,GATA3,0.6185641883369352,0.07595518778400193,-0.5426090005529333
4946_MED23_P1P2_ENSG00000112282,MED23,0.6173035569980565,0.07700066155497026,-0.5403028954430862
7232_RENBP_P1P2_ENSG00000102032,RENBP,0.6172201557286542,0.09281724814818137,-0.5244029075804728
10061_ZEB2_P2_ENSG00000169554,ZEB2,0.6111168995275783,0.09727352587112996,-0.5138433736564484
7472_RPL3_P1P2_ENSG00000100316,RPL3,0.6108641016468301,0.15418785992387055,-0.4566762417229596
4839_MAPRE1_P1P2_ENSG00000101367,MAPRE1,0.6058928569997074,0.06954135803138255,-0.5363514989683249
2617_EMC8_P1P2_ENSG00000131148,EMC8,0.6046365474039055,0.061973602871795874,-0.5426629445321096
10668_ZNF83_ENST00000597597.1_ENSG00000167766,ZNF83,0.6044063757541431,0.04851367032871558,-0.5558927054254276
6119_PCF11_P1P2_ENSG00000165494,PCF11,0.6040168486919701,0.13288362054941447,-0.4711332281425557
8191_SMUG1_P1P2_ENSG00000123415,SMUG1,0.6038984572136589,0.11342631253591846,-0.49047214467774036
1483_CENPJ_P1P2_ENSG00000151849,CENPJ,0.6030470266174459,0.16165041699655192,-0.44139660962089405
3210_FTL_P1P2_ENSG00000087086,FTL,0.6006027186324165,0.07413645384839873,-0.5264662647840178
4327_KDM5A_P1P2_ENSG00000073614,KDM5A,0.5975343968910118,0.08939559903259947,-0.5081387978584123
9877_WRN_P1P2_ENSG00000165392,WRN,0.5952020255294452,0.08475712256118857,-0.5104449029682566
8755_TBX3_P1P2_ENSG00000135111,TBX3,0.5947803442560162,0.0863448545121237,-0.5084354897438925
9100_TMEM97_P1P2_ENSG00000109084,TMEM97,0.5946236738739452,0.1017645081175983,-0.492859165756347
9891_XPA_P1P2_ENSG00000136936,XPA,0.5908483674996667,0.12682225861376237,-0.4640261088859044
531_ARNTL_P1P2_ENSG00000133794,ARNTL,0.5885597597101097,0.0582634724044796,-0.53029628730563
10290_ZNF329_P1_ENSG00000181894,ZNF329,0.5884192285566897,0.07305193748847187,-0.5153672910682179
2145_DEK_P1P2_ENSG00000124795,DEK,0.5875788713593857,0.1405316299196342,-0.4470472414397515
7917_SIN3A_P2_ENSG00000169375,SIN3A,0.5810407942432382,0.05613890485537874,-0.5249018893878594
995_C16orf72_P1_ENSG00000182831,C16orf72,0.5793416285324989,0.1493541705076665,-0.42998745802483246
10166_ZNF134_P1P2_ENSG00000213762,ZNF134,0.5792215163748147,0.04850716323055715,-0.5307143531442575
7187_RBMXL1_P1P2_ENSG00000213516,RBMXL1,0.5787948247911241,0.17097834220829566,-0.4078164825828284
1293_CCDC74A_P1P2_ENSG00000163040,CCDC74A,0.5763471590483236,0.05801294912533604,-0.5183342099229875
7481_RPL9_P1P2_ENSG00000163682,RPL9,0.5737328538441989,0.11475050701139496,-0.4589823468328039
4296_KCNH2_P1_ENSG00000055118,KCNH2,0.5690086779834984,0.1276660123417829,-0.4413426656417155
4995_METTL17_P1P2_ENSG00000165792,METTL17,0.5686907496088498,0.1002277484355827,-0.46846300117326706
7175_RBM41_P1P2_ENSG00000089682,RBM41,0.5664963226702637,0.08518116845792373,-0.48131515421234
2004_CYP20A1_P1P2_ENSG00000119004,CYP20A1,0.5653416059207292,0.06228702809981383,-0.5030545778209154
6123_PCGF3_P1P2_ENSG00000185619,PCGF3,0.5630363722003551,0.08238203173294537,-0.48065434046740974
6493_PNO1_P1P2_ENSG00000115946,PNO1,0.5624337850537547,-0.04455735464769907,-0.6069911397014538
6765_PRKD2_P2_ENSG00000105287,PRKD2,0.5621585036457277,0.04965024347392183,-0.512508260171806
1417_CDCA7_P1P2_ENSG00000144354,CDCA7,0.5613676729587875,0.09043673473814096,-0.47093093822064663
8355_SPIB_P1P2_ENSG00000269404,SPIB,0.5594215467362529,0.06888197208454376,-0.4905395746517091
4228_ITGB3BP_P1P2_ENSG00000142856,ITGB3BP,0.5589502578378723,0.07763510362553669,-0.48131515421233567
8657_TAF1B_P1P2_ENSG00000115750,TAF1B,0.5553368170404299,0.1670480549199073,-0.38828876212052266
3484_GPAA1_P1P2_ENSG00000197858,GPAA1,0.5548188378486888,0.07714490223084261,-0.47767393561784616
170_AEBP1_P1P2_ENSG00000106624,AEBP1,0.5536104948212763,-0.07013025041483693,-0.6237407452361132
"9279_TRIM49C_ENST00000432771.1,ENST00000448984.1_ENSG00000204449",TRIM49C,0.5533953797997331,0.03596473152797454,-0.5174306482717586
7891_SHC1_P2_ENSG00000160691,SHC1,0.5529842997611244,0.18655633520232684,-0.36642796455879756
5469_NASP_P1P2_ENSG00000132780,NASP,0.5507695916894217,0.1717591939874442,-0.3790103977019776
367_AP1B1_P1P2_ENSG00000100280,AP1B1,0.5506109458761018,0.09494615376272537,-0.45566479211337646
10702_ZNHIT6_P1P2_ENSG00000117174,ZNHIT6,0.5496994476905362,0.07681304022470285,-0.47288640746583344
2132_DDX56_P1P2_ENSG00000136271,DDX56,0.548874482710093,0.19281724814819204,-0.3560572345619009
10077_ZFHX4_P1P2_ENSG00000091656,ZFHX4,0.548063592368262,0.050605702387019044,-0.49745788998124296
1820_COX7A2L_P1P2_ENSG00000115944,COX7A2L,0.5477499595711345,0.09841009901633775,-0.4493398605547967
7650_SAP30L_P1P2_ENSG00000164576,SAP30L,0.5477272034047063,0.07150975522465361,-0.4762174481800526
8850_TFEB_P2_ENSG00000112561,TFEB,0.5476757011705796,0.10975847820663796,-0.4379172229639417
7788_SEPTIN6_P1P2_ENSG00000125354,SEPTIN6,0.5460945857332592,0.08619519125444292,-0.4598993944788163
6784_PROP1_P1P2_ENSG00000175325,PROP1,0.5445114909303935,0.16635071090047293,-0.3781607800299206
4285_KATNBL1_P1P2_ENSG00000134152,KATNBL1,0.5439380789573013,-0.0778606830284166,-0.6217987619857179
10170_ZNF140_P1P2_ENSG00000196387,ZNF140,0.5428498329644168,0.04156192046156916,-0.5012879125028477
3533_GRHL2_P1P2_ENSG00000083307,GRHL2,0.5409516849084801,0.16509700998839963,-0.3758546749200805
580_ASH1L_P1P2_ENSG00000116539,ASH1L,0.5403037891368515,0.10624356068410959,-0.4340602284527419
10130_ZKSCAN4_P1P2_ENSG00000187626,ZKSCAN4,0.5400935283977566,0.05208932076739814,-0.4880042076303584
2022_DAGLB_ENST00000297056.6_ENSG00000164535,DAGLB,0.5397624915928547,0.06001171277667669,-0.47975077881617806
6739_PRDX6_P1P2_ENSG00000117592,PRDX6,0.5393348003954802,0.05795221620917575,-0.4813825841863044
8503_STC2_P1P2_ENSG00000113739,STC2,0.5380515243678905,0.07840836379016135,-0.45964316057772914
903_BRMS1L_P1P2_ENSG00000100916,BRMS1L,0.5372357510186151,0.08844881625038345,-0.4487869347682316
9369_TSSC4_P1P2_ENSG00000184281,TSSC4,0.5371628996767887,0.05772229874087334,-0.4794406009359153
3649_HBE1_P1P2_ENSG00000213931,HBE1,0.5355509046358466,0.10460594098061474,-0.4309449636552319
8428_SRSF10_P1P2_ENSG00000188529,SRSF10,0.5348019987968499,0.0838168468771331,-0.4509851519197168
8274_SORD_P1P2_ENSG00000140263,SORD,0.5342259098375818,0.0678397518626531,-0.46638615797492866
10068_ZFAND3_P1P2_ENSG00000156639,ZFAND3,0.5340723389658699,0.13813701779691367,-0.39593532116895624
8201_SNAP23_P1P2_ENSG00000092531,SNAP23,0.5328430511896876,0.05024672747188283,-0.48259632371780475
3098_FKBP4_P1P2_ENSG00000004478,FKBP4,0.532630375924128,0.10035029878425113,-0.4322800771398769
3572_GTF2F2_P1P2_ENSG00000188342,GTF2F2,0.5304737526830731,-0.14042751634909492,-0.670901269032168
8339_SPDYC_P1P2_ENSG00000204710,SPDYC,0.5289849568342975,0.0887481427657246,-0.4402368140685729
4195_IRF8_P1P2_ENSG00000140968,IRF8,0.5281245712666491,0.07308013491381819,-0.455044436352831
1559_CHD3_P1P2_ENSG00000170004,CHD3,0.5267249144840168,0.04426345071415341,-0.48246146376986343
9071_TMEM39B_P1P2_ENSG00000121775,TMEM39B,0.5266301408647003,0.11238083876494048,-0.41424930209975985
6999_R3HDM2_P1P2_ENSG00000179912,R3HDM2,0.5265904975363788,0.062200266791021835,-0.46439023074535696
8605_SURF6_P1P2_ENSG00000148296,SURF6,0.5259189821067908,0.15406964764064127,-0.3718493344661495
9958_YY1_P1P2_ENSG00000100811,YY1,0.5257991137901232,0.13536607849729265,-0.3904330352928305
6001_OTX2_P1P2_ENSG00000165588,OTX2,0.5249021061419369,0.09293220688232808,-0.4319698992596088
3755_HIST1H2AK_ENST00000330180.2_ENSG00000275221,HIST1H2AK,0.5245072062548994,0.1229212532670963,-0.40158595298780314
10285_ZNF322_P1P2_ENSG00000181315,ZNF322,0.5243591787885602,0.12350146951965134,-0.40085770926890885
5116_MLXIPL_P1P2_ENSG00000009950,MLXIPL,0.5223620589142344,0.08881429826368015,-0.4335477606505543
9167_TOMM40_P1P2_ENSG00000130204,TOMM40,0.5222226670361716,-0.12555012092358336,-0.647772787959755
4662_LRRC37B_P1P2_ENSG00000185158,LRRC37B,0.5219240366202343,0.08933378160008938,-0.4325902550201449
1301_CCDC86_P1P2_ENSG00000110104,CCDC86,0.5215008146376867,0.15383213855781327,-0.36766867607987347
896_BRF1_P1P2_ENSG00000185024,BRF1,0.5210601251422107,0.11087010747556694,-0.4101900176666437
6456_PLOD1_P1P2_ENSG00000083444,PLOD1,0.5209349712434517,0.08295031830554121,-0.43798465293791045
3094_FKBP1A_P1P2_ENSG00000088832,FKBP1A,0.5197210906462908,0.13481731321916102,-0.3849037774271298
3686_HELLS_P1P2_ENSG00000119969,HELLS,0.5190246048384942,0.029874087650612145,-0.48915051718788205
10721_ZSCAN29_P1P2_ENSG00000140265,ZSCAN29,0.5188723838533216,0.1435032047458374,-0.37536917910748424
8598_SUPT5H_P1P2_ENSG00000196235,SUPT5H,0.5183523160414567,-0.07778259785049232,-0.5961349138919491
1885_CRYAB_P2_ENSG00000109846,CRYAB,0.5183282618660829,0.04514516251477391,-0.4731830993513091
9117_TMX2_P1P2_ENSG00000213593,TMX2,0.51741097400622,0.07602785038011643,-0.4413831236261036
7134_RB1CC1_P2_ENSG00000023287,RB1CC1,0.5164235697233676,0.09269361328314714,-0.42372995644022043
5311_MTFR1L_P1P2_ENSG00000117640,MTFR1L,0.5161173084373906,0.03594846378257592,-0.4801688446548147
820_BET1L_P1P2_ENSG00000177951,BET1L,0.5142898005682934,0.13571095469974293,-0.37857884586855045
7503_RPS15A_P1P2_ENSG00000134419,RPS15A,0.5135359914212573,0.07007602459682469,-0.44345996682443256
990_MOSMO_P1P2_ENSG00000185716,MOSMO,0.5133946610127371,0.07059550793323377,-0.4427991530795034
1313_CCHCR1_P1P2_ENSG00000204536,CCHCR1,0.5133166400566395,0.08381467784440964,-0.42950196221222986
4009_ICAM1_P1P2_ENSG00000090339,ICAM1,0.5132234590387321,0.07699198542409766,-0.43623147361463444
376_AP2M1_P2_ENSG00000161203,AP2M1,0.513099509690143,0.05957899074907305,-0.45352051894106993
3626_HAMP_P1P2_ENSG00000105697,HAMP,0.5129792551797052,0.06726712722460565,-0.44571212795509957
4284_KATNB1_P1P2_ENSG00000140854,KATNB1,0.5114573563306206,0.055927424165191766,-0.45552993216542886
