perturbation_id,knockdown_gene,direction,ARE_enrichment
22_ABCB7_P1P2_ENSG00000131269,ABCB7,UP,0.06541717980295197
27_ABCC1_P1P2_ENSG00000103222,ABCC1,UP,0.09770628078817883
63_ACAA1_P1P2_ENSG00000060971,ACAA1,UP,-0.06748768472906842
64_ACAA2_P1P2_ENSG00000167315,ACAA2,UP,-0.0571197660098544
69_ACADM_P1P2_ENSG00000117054,ACADM,UP,-0.05892087438423916
70_ACADSB_P1P2_ENSG00000196177,ACADSB,UP,-0.046428571428572485
72_ACADVL_P1P2_ENSG00000072778,ACADVL,UP,-0.05006927339901704
75_ACAT1_P1P2_ENSG00000075239,ACAT1,UP,-0.07435344827586217
87_ACO2_P1P2_ENSG00000100412,ACO2,UP,0.07759390394088546
176_AFG3L2_P1P2_ENSG00000141385,AFG3L2,UP,0.07044334975369348
216_AIFM1_P1P2_ENSG00000156709,AIFM1,UP,0.09681342364532765
250_ALAS1_P1P2_ENSG00000023330,ALAS1,UP,0.08900862068965547
638_ATOX1_P1P2_ENSG00000177556,ATOX1,UP,0.061614839901475045
652_ATP5F1A_P2_ENSG00000152234,ATP5F1A,UP,0.06145320197044304
653_ATP5F1A_P1_ENSG00000152234,ATP5F1A,UP,-0.07841748768473007
654_ATP5F1B_P1P2_ENSG00000110955,ATP5F1B,UP,-0.07287561576354942
655_ATP5F1C_P1P2_ENSG00000165629,ATP5F1C,UP,0.06590209359605585
656_ATP5F1D_P1P2_ENSG00000099624,ATP5F1D,UP,-0.07526939655172568
657_ATP5F1E_P1P2_ENSG00000124172,ATP5F1E,UP,-0.05587284482758959
659_ATP5MC1_P1P2_ENSG00000159199,ATP5MC1,UP,0.0402401477832508
660_ATP5MC2_P1P2_ENSG00000135390,ATP5MC2,UP,0.04929956896551507
661_ATP5MC3_P1P2_ENSG00000154518,ATP5MC3,UP,0.07697044334975377
663_ATP5ME_P1P2_ENSG00000169020,ATP5ME,UP,-0.0993919334975383
664_ATP5MF_P1P2_ENSG00000241468,ATP5MF,UP,-0.04885314039408934
666_ATP5MG_P1P2_ENSG00000167283,ATP5MG,UP,-0.09124076354679783
658_ATP5PB_P1P2_ENSG00000116459,ATP5PB,UP,-0.08659174876847356
662_ATP5PD_P1P2_ENSG00000167863,ATP5PD,UP,0.08970135467980267
665_ATP5PF_P1P2_ENSG00000154723,ATP5PF,UP,0.0828663793103457
667_ATP5PO_P1P2_ENSG00000241837,ATP5PO,UP,0.07458435960591014
670_ATP6AP1_P1P2_ENSG00000071553,ATP6AP1,UP,-0.09191040640394062
674_ATP6V0B_P1P2_ENSG00000117410,ATP6V0B,UP,-0.0997767857142828
675_ATP6V0C_P1P2_ENSG00000185883,ATP6V0C,UP,-0.06478602216748948
677_ATP6V0E1_P1P2_ENSG00000113732,ATP6V0E1,UP,0.0707666256157616
681_ATP6V1C1_P1P2_ENSG00000155097,ATP6V1C1,UP,0.07922567733989815
682_ATP6V1D_P1P2_ENSG00000100554,ATP6V1D,UP,-0.08865455665024558
683_ATP6V1E1_P1P2_ENSG00000131100,ATP6V1E1,UP,0.15782789408867737
685_ATP6V1F_P1P2_ENSG00000128524,ATP6V1F,UP,0.06331588669950614
686_ATP6V1G1_P1P2_ENSG00000136888,ATP6V1G1,UP,0.08128848522167484
687_ATP6V1H_P1P2_ENSG00000047249,ATP6V1H,UP,0.09631311576354736
769_BAX_P1P2_ENSG00000087088,BAX,UP,-0.04558959359606201
790_BCKDHA_P2_ENSG00000248098,BCKDHA,UP,0.08010314039408595
791_BCKDHA_P1_ENSG00000248098,BCKDHA,UP,0.04088669950738887
814_BDH2_P1P2_ENSG00000164039,BDH2,UP,-0.07020474137931505
1205_CASP7_P1P2_ENSG00000165806,CASP7,UP,0.09242610837438228
1214_CAT_P1_ENSG00000121691,CAT,UP,0.07407635467980091
1215_CAT_P2_ENSG00000121691,CAT,UP,0.06778786945812273
1452_CDKN2D_P1P2_ENSG00000129355,CDKN2D,UP,0.04834513546797817
1805_COX10_P1P2_ENSG00000006695,COX10,UP,-0.05200892857143096
1806_COX11_P1P2_ENSG00000166260,COX11,UP,0.15133158866995663
1808_COX15_P1P2_ENSG00000014919,COX15,UP,0.04451200738916171
1810_COX17_P1P2_ENSG00000138495,COX17,UP,0.06113762315270524
1814_COX4I1_P1P2_ENSG00000131143,COX4I1,UP,0.04766779556650171
1815_COX5A_P1P2_ENSG00000178741,COX5A,UP,0.14231065270936294
1816_COX5B_P1P2_ENSG00000135940,COX5B,UP,-0.09467364532019348
1817_COX6A1_P1P2_ENSG00000111775,COX6A1,UP,0.19716748768472694
1818_COX6B1_P1P2_ENSG00000126267,COX6B1,UP,0.10728140394089286
1819_COX6C_P1P2_ENSG00000164919,COX6C,UP,0.11721828817735504
1821_COX7A2_P1P2_ENSG00000112695,COX7A2,UP,-0.04475061576354901
1820_COX7A2L_P1P2_ENSG00000115944,COX7A2L,UP,-0.07065116995074504
1822_COX7B_P1P2_ENSG00000131174,COX7B,UP,0.13010314039410903
1823_COX7C_P1P2_ENSG00000127184,COX7C,UP,0.059321120689651924
1824_COX8A_P1P2_ENSG00000176340,COX8A,UP,-0.06455511083744285
1846_CPT1A_P1P2_ENSG00000110090,CPT1A,UP,0.058759236453201476
1919_CS_P1P2_ENSG00000062485,CS,UP,0.05377924876847256
1989_CYB5A_P1P2_ENSG00000166347,CYB5A,UP,0.059698275862067864
1994_CYB5R3_P1P2_ENSG00000100243,CYB5R3,UP,0.03318195812807839
1999_CYC1_P1P2_ENSG00000179091,CYC1,UP,0.12077432266010456
2000_CYCS_P1P2_ENSG00000172115,CYCS,UP,0.12167487684730459
2137_DECR1_P1P2_ENSG00000104325,DECR1,UP,0.08352062807881795
2236_DLAT_P1P2_ENSG00000150768,DLAT,UP,0.10903633004926123
2238_DLD_P1P2_ENSG00000091140,DLD,UP,0.13786945812808396
2244_DLST_P1P2_ENSG00000119689,DLST,UP,0.07984144088669444
2463_ECH1_P1P2_ENSG00000104823,ECH1,UP,-0.05627309113300582
2466_ECHS1_P1P2_ENSG00000127884,ECHS1,UP,-0.08115763546798156
2467_ECI1_P1P2_ENSG00000167969,ECI1,UP,-0.11596366995072961
2508_EGLN2_P1_ENSG00000269858,EGLN2,UP,0.061830357142856014
2694_ERCC2_P1P2_ENSG00000104884,ERCC2,UP,-0.16595597290640143
2751_ETFA_P1P2_ENSG00000140374,ETFA,UP,-0.0730988300492623
2752_ETFB_P2_ENSG00000105379,ETFB,UP,0.13482142857143914
2753_ETFB_P1_ENSG00000105379,ETFB,UP,-0.07031250000000104
2754_ETFDH_P1P2_ENSG00000171503,ETFDH,UP,0.06891933497536568
3052_FDX1_P1P2_ENSG00000137714,FDX1,UP,-0.05942118226601171
3062_FES_P1P2_ENSG00000182511,FES,UP,-0.11240763546797954
3082_FH_P1P2_ENSG00000091483,FH,UP,-0.10659636699506425
3210_FTL_P1P2_ENSG00000087086,FTL,UP,0.046151477832510265
3229_FXN_P1P2_ENSG00000165060,FXN,UP,0.07187499999999958
3244_G6PD_P1P2_ENSG00000160211,G6PD,UP,0.06455511083743637
3319_GCLC_P1P2_ENSG00000001084,GCLC,UP,0.14599753694581363
3320_GCLM_P1P2_ENSG00000023909,GCLM,UP,-0.06911176108374582
3405_GLRX_P1P2_ENSG00000173221,GLRX,UP,0.046028325123148355
3402_GLRX2_P1P2_ENSG00000023572,GLRX2,UP,-0.07740917487684686
3410_GLUD1_P1P2_ENSG00000148672,GLUD1,UP,-0.08576816502463099
3481_GOT2_P1P2_ENSG00000125166,GOT2,UP,-0.06736453201970685
3500_GPI_P1P2_ENSG00000105220,GPI,UP,0.12926416256158635
3523_GPX4_P1P2_ENSG00000167468,GPX4,UP,0.07523860837438297
3541_GRPEL1_P1P2_ENSG00000109519,GRPEL1,UP,-0.07323737684729512
3555_GSR_P1P2_ENSG00000104687,GSR,UP,0.09481219211822278
3621_HADHA_P1P2_ENSG00000084754,HADHA,UP,0.07025092364531879
3622_HADHB_P1P2_ENSG00000138029,HADHB,UP,-0.060167795566504444
3656_HCCS_P1P2_ENSG00000004961,HCCS,UP,0.07580049261083707
3717_HHEX_P1P2_ENSG00000152804,HHEX,UP,-0.0824507389162586
3843_HMOX2_P1_ENSG00000103415,HMOX2,UP,0.10341748768472994
3844_HMOX2_P2_ENSG00000103415,HMOX2,UP,0.04500461822660035
3948_HSD17B10_P1P2_ENSG00000072506,HSD17B10,UP,0.04619766009852096
3980_HSPA9_P1P2_ENSG00000113013,HSPA9,UP,-0.08867764778325368
3991_HTRA2_P1P2_ENSG00000115317,HTRA2,UP,-0.0645089285714319
4023_IDH1_P1P2_ENSG00000138413,IDH1,UP,-0.09960745073891603
4024_IDH2_P1P2_ENSG00000182054,IDH2,UP,0.08638392857142922
4025_IDH3A_P2_ENSG00000166411,IDH3A,UP,0.07482296798029174
4026_IDH3A_P1_ENSG00000166411,IDH3A,UP,0.14111761083743984
4027_IDH3B_P1P2_ENSG00000101365,IDH3B,UP,-0.05394088669950921
4028_IDH3G_P1P2_ENSG00000067829,IDH3G,UP,0.09234913793103215
4106_IMMT_P1P2_ENSG00000132305,IMMT,UP,0.06145320197043965
4204_ISCA1_P1P2_ENSG00000135070,ISCA1,UP,-0.05908251231527399
4206_ISCU_P1P2_ENSG00000136003,ISCU,UP,0.08760006157635451
4264_JUNB_P1P2_ENSG00000171223,JUNB,UP,0.04896089901477821
4509_LAMTOR5_P1P2_ENSG00000134248,LAMTOR5,UP,0.07984913793103429
4542_LDHA_P1P2_ENSG00000134333,LDHA,UP,0.11119919950739653
4543_LDHB_P1P2_ENSG00000111716,LDHB,UP,-0.06193811576354865
4653_LRPPRC_P1P2_ENSG00000138095,LRPPRC,UP,-0.07904094827586529
4915_MDH1_P1P2_ENSG00000014641,MDH1,UP,0.06734144088669727
4916_MDH2_P1P2_ENSG00000146701,MDH2,UP,-0.046721059113301724
5022_MFN2_P1_ENSG00000116688,MFN2,UP,-0.13937807881772407
5023_MFN2_P2_ENSG00000116688,MFN2,UP,0.11384698275863135
5044_MGST1_P1P2_ENSG00000008394,MGST1,UP,0.08208128078817378
5046_MGST3_P1P2_ENSG00000143198,MGST3,UP,-0.07996459359606205
5159_MPC1_P1P2_ENSG00000060762,MPC1,UP,0.058643780788175545
5194_MRPL11_P1P2_ENSG00000174547,MRPL11,UP,-0.05267087438424073
5198_MRPL15_P1P2_ENSG00000137547,MRPL15,UP,0.10038485221674828
5216_MRPL34_P1P2_ENSG00000130312,MRPL34,UP,-0.08461360837438563
5217_MRPL35_P1P2_ENSG00000132313,MRPL35,UP,0.0938038793103435
5242_MRPS11_P1P2_ENSG00000181991,MRPS11,UP,0.08816194581280885
5243_MRPS12_P1P2_ENSG00000128626,MRPS12,UP,-0.08723060344827853
5245_MRPS15_P1P2_ENSG00000116898,MRPS15,UP,0.048883928571426434
5252_MRPS22_P1P2_ENSG00000175110,MRPS22,UP,0.08022629310344581
