category,gene,ARE_effect,enrichment_score
Query-UP,COX6A1,Activates,0.19716748768472694
Query-UP,ATP6V1E1,Activates,0.15782789408867737
Query-UP,COX11,Activates,0.15133158866995663
Query-UP,UQCRC2,Activates,0.14991533251232958
Query-UP,NDUFA4,Activates,0.14876847290640602
Query-UP,GCLC,Activates,0.14599753694581363
Query-UP,ERCC2,Suppresses,-0.16595597290640143
Query-UP,MFN2,Suppresses,-0.13937807881772407
Query-UP,POLR2F,Suppresses,-0.1371459359605828
Query-UP,PRDX6,Suppresses,-0.12386853448275545
Query-UP,NDUFC1,Suppresses,-0.11750307881772835
Query-UP,PHB2,Suppresses,-0.11624076354678978
Query-DOWN,GCLC,Activates,0.14599753694581363
Query-DOWN,BRCA1,Activates,0.12032019704434402
Query-DOWN,SDHB,Activates,0.11295412561577096
Query-DOWN,SOD1,Activates,0.10222444581280912
Query-DOWN,SOD2,Activates,0.09505849753694524
Query-DOWN,GSS,Activates,0.08964747536945612
Query-DOWN,MTHFR,Suppresses,-0.10949815270935702
Query-DOWN,CAT,Activates,0.06778786945812273
Query-DOWN,NQO1,Activates,0.0700892857142849
