perturbation_id,knockdown_gene,direction,ARE_enrichment
22_ABCB7_P1P2_ENSG00000131269,ABCB7,UP,0.13651257261430041
176_AFG3L2_P1P2_ENSG00000141385,AFG3L2,UP,0.08654253491879532
216_AIFM1_P1P2_ENSG00000156709,AIFM1,UP,0.06886246454974061
653_ATP5F1A_P1_ENSG00000152234,ATP5F1A,UP,-0.06824473271929805
654_ATP5F1B_P1P2_ENSG00000110955,ATP5F1B,UP,-0.08549423938109565
655_ATP5F1C_P1P2_ENSG00000165629,ATP5F1C,UP,-0.09756927916394344
663_ATP5ME_P1P2_ENSG00000169020,ATP5ME,UP,0.07166151376648874
664_ATP5MF_P1P2_ENSG00000241468,ATP5MF,UP,-0.08037831068059403
662_ATP5PD_P1P2_ENSG00000167863,ATP5PD,UP,0.07766706873152529
667_ATP5PO_P1P2_ENSG00000241837,ATP5PO,UP,0.07983760276916914
670_ATP6AP1_P1P2_ENSG00000071553,ATP6AP1,UP,0.1313049854501844
674_ATP6V0B_P1P2_ENSG00000117410,ATP6V0B,UP,0.10446754135029218
675_ATP6V0C_P1P2_ENSG00000185883,ATP6V0C,UP,0.09438896154812057
681_ATP6V1C1_P1P2_ENSG00000155097,ATP6V1C1,UP,0.10482339185610799
682_ATP6V1D_P1P2_ENSG00000100554,ATP6V1D,UP,0.15583710365415915
683_ATP6V1E1_P1P2_ENSG00000131100,ATP6V1E1,UP,0.1060072494912574
685_ATP6V1F_P1P2_ENSG00000128524,ATP6V1F,UP,-0.09846352686363037
686_ATP6V1G1_P1P2_ENSG00000136888,ATP6V1G1,UP,-0.07901729803172745
687_ATP6V1H_P1P2_ENSG00000047249,ATP6V1H,UP,0.09969282861100372
1805_COX10_P1P2_ENSG00000006695,COX10,UP,0.0845707225921952
1806_COX11_P1P2_ENSG00000166260,COX11,UP,0.10465856066943183
1808_COX15_P1P2_ENSG00000014919,COX15,UP,0.09114163312275655
1810_COX17_P1P2_ENSG00000138495,COX17,UP,0.08395145028337685
1815_COX5A_P1P2_ENSG00000178741,COX5A,UP,0.08149284678864287
1816_COX5B_P1P2_ENSG00000135940,COX5B,UP,-0.040492244461597854
1819_COX6C_P1P2_ENSG00000164919,COX6C,UP,0.04973896593847968
1822_COX7B_P1P2_ENSG00000131174,COX7B,UP,0.04065476493069895
1823_COX7C_P1P2_ENSG00000127184,COX7C,UP,0.06242018396392781
1919_CS_P1P2_ENSG00000062485,CS,UP,0.08920063036375254
1999_CYC1_P1P2_ENSG00000179091,CYC1,UP,-0.09388907631375386
2000_CYCS_P1P2_ENSG00000172115,CYCS,UP,-0.04966656345461955
2238_DLD_P1P2_ENSG00000091140,DLD,UP,0.11813620601741862
2508_EGLN2_P1_ENSG00000269858,EGLN2,UP,0.07482642659851317
2694_ERCC2_P1P2_ENSG00000104884,ERCC2,UP,-0.10907126098938516
3229_FXN_P1P2_ENSG00000165060,FXN,UP,0.10382362138738752
3319_GCLC_P1P2_ENSG00000001084,GCLC,UP,0.04510905816692072
3541_GRPEL1_P1P2_ENSG00000109519,GRPEL1,UP,0.06370648341135945
3717_HHEX_P1P2_ENSG00000152804,HHEX,UP,0.04923137831221941
3948_HSD17B10_P1P2_ENSG00000072506,HSD17B10,UP,-0.05871225250289506
3980_HSPA9_P1P2_ENSG00000113013,HSPA9,UP,0.12112011263977993
4206_ISCU_P1P2_ENSG00000136003,ISCU,UP,0.066037997439727
4653_LRPPRC_P1P2_ENSG00000138095,LRPPRC,UP,0.06672582103646606
5022_MFN2_P1_ENSG00000116688,MFN2,UP,0.10998784562558248
5023_MFN2_P2_ENSG00000116688,MFN2,UP,-0.09012029595670716
5194_MRPL11_P1P2_ENSG00000174547,MRPL11,UP,-0.059426264232094995
5198_MRPL15_P1P2_ENSG00000137547,MRPL15,UP,-0.06146893856418207
5216_MRPL34_P1P2_ENSG00000130312,MRPL34,UP,0.1679206160681033
5217_MRPL35_P1P2_ENSG00000132313,MRPL35,UP,0.12211834263012183
5242_MRPS11_P1P2_ENSG00000181991,MRPS11,UP,-0.0670015666665121
5243_MRPS12_P1P2_ENSG00000128626,MRPS12,UP,0.05455835255080199
5252_MRPS22_P1P2_ENSG00000175110,MRPS22,UP,0.07021885576347262
5260_MRPS30_P1P2_ENSG00000112996,MRPS30,UP,-0.06770171409029388
5535_NDUFA2_P1P2_ENSG00000131495,NDUFA2,UP,0.10933853398834617
5536_NDUFA3_P1P2_ENSG00000170906,NDUFA3,UP,0.18152149968650383
5537_NDUFA4_P1P2_ENSG00000189043,NDUFA4,UP,0.07153134334336186
5539_NDUFA6_P1P2_ENSG00000184983,NDUFA6,UP,-0.06188332724844321
5541_NDUFA8_P1P2_ENSG00000119421,NDUFA8,UP,-0.08099835322860978
5543_NDUFAB1_P1P2_ENSG00000004779,NDUFAB1,UP,0.1552555730656591
5555_NDUFB3_P1P2_ENSG00000119013,NDUFB3,UP,0.10370115335616793
5556_NDUFB4_P1P2_ENSG00000065518,NDUFB4,UP,0.04289924193058633
5558_NDUFB6_P1P2_ENSG00000165264,NDUFB6,UP,-0.06731967545201323
5559_NDUFB7_P1P2_ENSG00000099795,NDUFB7,UP,0.060428345418385175
5560_NDUFB8_P1P2_ENSG00000166136,NDUFB8,UP,0.09704474627550905
5567_NDUFS3_P1P2_ENSG00000213619,NDUFS3,UP,-0.09863066876787735
5576_NDUFV2_P1P2_ENSG00000178127,NDUFV2,UP,0.04864907748452188
5944_OPA1_P1P2_ENSG00000198836,OPA1,UP,0.09388214416105085
6006_OXA1L_P1P2_ENSG00000155463,OXA1L,UP,0.08784115819326849
6175_PDHA1_P1P2_ENSG00000131828,PDHA1,UP,0.10030824972387022
6275_PHB2_P1P2_ENSG00000215021,PHB2,UP,0.10617054019955549
6479_PMPCA_P1P2_ENSG00000165688,PMPCA,UP,0.10618440450497671
6547_POLR2F_P1P2_ENSG00000100142,POLR2F,UP,-0.0813873240196012
7725_SDHA_P1P2_ENSG00000073578,SDHA,UP,-0.07733278492302735
7727_SDHC_P1P2_ENSG00000143252,SDHC,UP,0.1004160832104829
7728_SDHD_P1P2_ENSG00000204370,SDHD,UP,-0.04738357449522839
8006_SLC25A3_P1P2_ENSG00000075415,SLC25A3,UP,0.09712870234723057
8266_SOD1_P1P2_ENSG00000142168,SOD1,UP,-0.11903045371709361
8267_SOD2_P1P2_ENSG00000112096,SOD2,UP,0.07012103538632797
8601_SUPV3L1_P1P2_ENSG00000156502,SUPV3L1,UP,-0.04920981161489993
8915_TIMM10_P1P2_ENSG00000134809,TIMM10,UP,0.10745529916860705
8916_TIMM13_P1P2_ENSG00000099800,TIMM13,UP,0.0681469123421591
8927_TIMM9_P1P2_ENSG00000100575,TIMM9,UP,0.0783163803687624
9164_TOMM22_P1P2_ENSG00000100216,TOMM22,UP,0.10957653789808179
9461_TXN_P1P2_ENSG00000136810,TXN,UP,0.09598258643239364
9609_UQCRB_P1P2_ENSG00000156467,UQCRB,UP,0.10299561425805367
9610_UQCRC1_P1_ENSG00000010256,UQCRC1,UP,-0.04503511520467876
9611_UQCRC1_P2_ENSG00000010256,UQCRC1,UP,-0.056015645098429316
9612_UQCRC2_P1P2_ENSG00000140740,UQCRC2,UP,0.05766087600843653
9613_UQCRFS1_P1P2_ENSG00000169021,UQCRFS1,UP,0.15115173866091855
9615_UQCRH_P1P2_ENSG00000173660,UQCRH,UP,-0.05235623870636764
9616_UQCRQ_P1P2_ENSG00000164405,UQCRQ,UP,0.1372781903692391
884_BRCA1_P1P2_ENSG00000012048,BRCA1,DOWN,-0.09426572327770195
3319_GCLC_P1P2_ENSG00000001084,GCLC,DOWN,0.04510905816692072
8266_SOD1_P1P2_ENSG00000142168,SOD1,DOWN,-0.11903045371709361
8267_SOD2_P1P2_ENSG00000112096,SOD2,DOWN,0.07012103538632797
