perturbation_id,knockdown_gene,direction,ARE_enrichment
119_ACVR1B_P1P2_ENSG00000135503,ACVR1B,UP,-0.04455049261083862
293_AMH_P1P2_ENSG00000104899,AMH,UP,-0.06385467980295957
306_ANAPC1_P1P2_ENSG00000153107,ANAPC1,UP,-0.06704125615763692
301_ANAPC10_P1P2_ENSG00000164162,ANAPC10,UP,-0.09001693349753832
302_ANAPC11_P1P2_ENSG00000141552,ANAPC11,UP,-0.06146089901478042
304_ANAPC15_P1P2_ENSG00000110200,ANAPC15,UP,0.12192887931034357
305_ANAPC16_P1P2_ENSG00000166295,ANAPC16,UP,-0.04608220443349811
307_ANAPC2_P1P2_ENSG00000176248,ANAPC2,UP,-0.0449276477832535
308_ANAPC4_P1P2_ENSG00000053900,ANAPC4,UP,-0.06186884236453437
309_ANAPC5_P1P2_ENSG00000089053,ANAPC5,UP,0.15672721674877366
310_ANAPC7_P1P2_ENSG00000196510,ANAPC7,UP,0.0643626847290623
312_ANGPT1_P1P2_ENSG00000154188,ANGPT1,UP,-0.1423183497536926
436_AREG_P1P2_ENSG00000109321,AREG,UP,-0.05311730295566762
720_AXL_P1P2_ENSG00000167601,AXL,UP,-0.09688269704433321
1315_CCNA2_P1P2_ENSG00000145386,CCNA2,UP,-0.10193965517241442
1370_CD55_P1P2_ENSG00000196352,CD55,UP,0.04878386699507123
1383_CD9_P1P2_ENSG00000010278,CD9,UP,-0.08831588669950323
1389_CDC16_P1P2_ENSG00000130177,CDC16,UP,0.13280480295567393
1391_CDC23_P1P2_ENSG00000094880,CDC23,UP,0.0816656403940876
1395_CDC26_P1P2_ENSG00000176386,CDC26,UP,0.10004618226601177
1396_CDC27_P1P2_ENSG00000004897,CDC27,UP,0.06593288177339826
1432_CDK2_P1P2_ENSG00000123374,CDK2,UP,-0.0810575738916265
1433_CDK4_P1P2_ENSG00000135446,CDK4,UP,0.10148552955665181
1439_CDK6_P2_ENSG00000105810,CDK6,UP,0.06941194581280412
1440_CDK6_P1_ENSG00000105810,CDK6,UP,0.11178417487686632
1446_CDKN1B_P1P2_ENSG00000111276,CDKN1B,UP,-0.06427801724138422
1450_CDKN2C_P2_ENSG00000123080,CDKN2C,UP,-0.08920874384236435
1451_CDKN2C_P1_ENSG00000123080,CDKN2C,UP,0.07130541871920877
1452_CDKN2D_P1P2_ENSG00000129355,CDKN2D,UP,0.04834513546797817
1466_CEBPB_P1P2_ENSG00000172216,CEBPB,UP,-0.11510929802954908
1937_CTNNB1_P1P2_ENSG00000168036,CTNNB1,UP,0.05987530788177134
1945_CTSB_P1P2_ENSG00000164733,CTSB,UP,0.08894704433497372
1977_CXCL2_P1P2_ENSG00000081041,CXCL2,UP,-0.06751077586207152
1978_CXCL3_P1P2_ENSG00000163734,CXCL3,UP,0.06390086206896334
2520_EHMT1_P1P2_ENSG00000181090,EHMT1,UP,-0.12792487684728535
2521_EHMT2_P1P2_ENSG00000204371,EHMT2,UP,0.07856373152709258
2759_ETS2_P1P2_ENSG00000157557,ETS2,UP,-0.08569119458128138
3027_FBXO5_P1P2_ENSG00000112029,FBXO5,UP,-0.0584205665024682
3070_FGF2_P1P2_ENSG00000138685,FGF2,UP,-0.08045720443349737
3140_FOS_P1_ENSG00000170345,FOS,UP,0.047413793103448
3141_FOS_P2_ENSG00000170345,FOS,UP,0.08064963054186694
3238_FZR1_P1P2_ENSG00000105325,FZR1,UP,-0.07434575123152885
3329_GDF15_P1P2_ENSG00000130513,GDF15,UP,-0.049284174876850106
3385_GLB1_P1P2_ENSG00000170266,GLB1,UP,-0.12070504926107696
3420_GMFG_P1P2_ENSG00000130755,GMFG,UP,-0.089955357142853
3826_HMGA2_P1P2_ENSG00000149948,HMGA2,UP,0.09863762315271002
3827_HMGB1_P1_ENSG00000189403,HMGB1,UP,-0.06166871921182475
3828_HMGB1_P2_ENSG00000189403,HMGB1,UP,-0.10046951970443072
4009_ICAM1_P1P2_ENSG00000090339,ICAM1,UP,-0.0614993842364564
4011_ICAM3_P1P2_ENSG00000076662,ICAM3,UP,-0.11336206896551333
4064_IGF1_P1P2_ENSG00000017427,IGF1,UP,-0.12322967980294461
4069_IGFBP2_P1P2_ENSG00000115457,IGFBP2,UP,0.08474445812807732
4070_IGFBP4_P1P2_ENSG00000141753,IGFBP4,UP,0.1016086822660205
4098_IL6ST_P1P2_ENSG00000134352,IL6ST,UP,-0.06771089901478013
4173_IQGAP2_P1P2_ENSG00000145703,IQGAP2,UP,-0.12098214285713772
4235_ITPKA_P1P2_ENSG00000137825,ITPKA,UP,0.09721366995074288
4266_JUN_P1P2_ENSG00000177606,JUN,UP,-0.04378078817734061
4538_LCP1_P1P2_ENSG00000136167,LCP1,UP,0.06043719211822193
4617_LMNB1_P1P2_ENSG00000113368,LMNB1,UP,0.07745535714285451
4810_MAP3K3_P1P2_ENSG00000198909,MAP3K3,UP,0.06129926108374201
4828_MAPK1_P1P2_ENSG00000100030,MAPK1,UP,0.0765009236453199
4829_MAPK3_P1P2_ENSG00000102882,MAPK3,UP,-0.08235837438423657
5073_MIF_P1P2_ENSG00000240972,MIF,UP,0.05393318965517136
5461_NAP1L4_P1P2_ENSG00000205531,NAP1L4,UP,0.0858528325123158
5642_NFKB1_P1P2_ENSG00000109320,NFKB1,UP,0.0652016625615745
6333_PIGF_P1P2_ENSG00000151665,PIGF,UP,0.08083435960591062
6415_PLAUR_P1P2_ENSG00000011422,PLAUR,UP,-0.11613300492610179
6896_PTBP1_P1P2_ENSG00000011304,PTBP1,UP,-0.05187038177340009
6905_PTEN_P1P2_ENSG00000171862,PTEN,UP,0.09767549261084747
7136_RB1_P1P2_ENSG00000139687,RB1,UP,-0.07014316502463386
7149_RBL1_P1P2_ENSG00000080839,RBL1,UP,0.04468134236453029
7226_RELA_P1P2_ENSG00000173039,RELA,UP,-0.09166410098521785
7516_RPS27A_P1P2_ENSG00000143947,RPS27A,UP,-0.17466133004927237
7528_RPS6KA1_P1_ENSG00000117676,RPS6KA1,UP,-0.0557958743842391
7529_RPS6KA1_P2_ENSG00000117676,RPS6KA1,UP,-0.11420104679802022
7530_RPS6KA3_P1P2_ENSG00000177189,RPS6KA3,UP,0.12266009852218948
7683_SCAMP4_P1P2_ENSG00000227500,SCAMP4,UP,0.11153017241379372
7765_SELPLG_P1P2_ENSG00000110876,SELPLG,UP,0.05684267241379117
7922_SIRT1_P1P2_ENSG00000096717,SIRT1,UP,-0.041725677339901804
7926_SIRT6_P1P2_ENSG00000077463,SIRT6,UP,-0.052093596059114344
8496_STAT3_P1P2_ENSG00000168610,STAT3,UP,0.051785714285711604
8754_TBX2_P1P2_ENSG00000121068,TBX2,UP,-0.11423183497536286
8820_TERF2_P1P2_ENSG00000132604,TERF2,UP,0.050338669950737006
9128_TNFRSF1A_P1P2_ENSG00000067182,TNFRSF1A,UP,0.04494304187191825
9129_TNFRSF1B_P1_ENSG00000028137,TNFRSF1B,UP,0.053956280788175284
9130_TNFRSF1B_P2_ENSG00000028137,TNFRSF1B,UP,0.07951816502462612
9195_TP53_P1P2_ENSG00000141510,TP53,UP,-0.06803417487684917
9425_TUBGCP2_P1P2_ENSG00000130640,TUBGCP2,UP,-0.05905942118226703
9441_TWIST1_P1P2_ENSG00000122691,TWIST1,UP,-0.06358528325123432
9481_UBA52_P2_ENSG00000221983,UBA52,UP,-0.10184729064039293
9482_UBA52_P1_ENSG00000221983,UBA52,UP,-0.07480757389162856
9492_UBB_P1P2_ENSG00000170315,UBB,UP,0.09117149014778482
9493_UBC_P1P2_ENSG00000150991,UBC,UP,-0.10787407635467437
9496_UBE2D1_P1P2_ENSG00000072401,UBE2D1,UP,-0.08393626847290996
9500_UBE2E1_P1P2_ENSG00000170142,UBE2E1,UP,-0.05172413793103697
9518_UBE2S_P1P2_ENSG00000108106,UBE2S,UP,-0.07854833743842629
9718_VEGFA_P1P2_ENSG00000112715,VEGFA,UP,-0.051431650246308025
9720_VENTX_P1P2_ENSG00000151650,VENTX,UP,-0.07033559113300737
9723_VGF_P1P2_ENSG00000128564,VGF,UP,0.049237992610833926
9921_YBX1_P1P2_ENSG00000065978,YBX1,UP,0.10110067733990336
10129_ZKSCAN3_P1P2_ENSG00000189298,ZKSCAN3,UP,-0.07529248768473006
55_ABL1_ENST00000372348.2_ENSG00000097007,ABL1,DOWN,-0.08338208128078996
225_AK2_P1P2_ENSG00000004455,AK2,DOWN,-0.06597906403940935
