category,gene,ARE_effect,enrichment_score
Query-UP,ANAPC5,Activates,0.15672721674877366
Query-UP,CDC16,Activates,0.13280480295567393
Query-UP,RPS6KA3,Activates,0.12266009852218948
Query-UP,ANAPC15,Activates,0.12192887931034357
Query-UP,CDK6,Activates,0.11178417487686632
Query-UP,SCAMP4,Activates,0.11153017241379372
Query-UP,RPS27A,Suppresses,-0.17466133004927237
Query-UP,ANGPT1,Suppresses,-0.1423183497536926
Query-UP,EHMT1,Suppresses,-0.12792487684728535
Query-UP,IGF1,Suppresses,-0.12322967980294461
Query-UP,IQGAP2,Suppresses,-0.12098214285713772
Query-UP,GLB1,Suppresses,-0.12070504926107696
Query-DOWN,DR1,Activates,0.1694119458128084
Query-DOWN,POLD2,Activates,0.16808035714286126
Query-DOWN,CUL3,Activates,0.16607912561576382
Query-DOWN,DUT,Activates,0.14612068965517502
Query-DOWN,MCM7,Activates,0.14485837438424765
Query-DOWN,POLD1,Activates,0.14353448275862948
Query-DOWN,POP7,Suppresses,-0.2024091748768515
Query-DOWN,TK1,Suppresses,-0.15509544334975134
Query-DOWN,TPX2,Suppresses,-0.15196274630541615
Query-DOWN,ATF5,Suppresses,-0.15110837438423605
Query-DOWN,YTHDC1,Suppresses,-0.1379926108374314
Query-DOWN,MNAT1,Suppresses,-0.13700738916255736
