perturbation_id,knockdown_gene,direction,ARE_enrichment
306_ANAPC1_P1P2_ENSG00000153107,ANAPC1,UP,0.10522083527818783
301_ANAPC10_P1P2_ENSG00000164162,ANAPC10,UP,0.10235169429514974
302_ANAPC11_P1P2_ENSG00000141552,ANAPC11,UP,0.07205818694937746
304_ANAPC15_P1P2_ENSG00000110200,ANAPC15,UP,-0.06008635921799314
307_ANAPC2_P1P2_ENSG00000176248,ANAPC2,UP,0.09222073822805056
308_ANAPC4_P1P2_ENSG00000053900,ANAPC4,UP,0.08845195787099806
309_ANAPC5_P1P2_ENSG00000089053,ANAPC5,UP,0.15934015149063094
1315_CCNA2_P1P2_ENSG00000145386,CCNA2,UP,0.07201505355473149
1389_CDC16_P1P2_ENSG00000130177,CDC16,UP,0.11008720648110651
1391_CDC23_P1P2_ENSG00000094880,CDC23,UP,-0.05079496386808232
1395_CDC26_P1P2_ENSG00000176386,CDC26,UP,0.05969122651348167
1396_CDC27_P1P2_ENSG00000004897,CDC27,UP,0.1077749484324918
1432_CDK2_P1P2_ENSG00000123374,CDK2,UP,0.08126408574918816
1440_CDK6_P1_ENSG00000105810,CDK6,UP,0.1159649017405908
2521_EHMT2_P1P2_ENSG00000204371,EHMT2,UP,-0.06679129136761844
3027_FBXO5_P1P2_ENSG00000112029,FBXO5,UP,0.07116239877131589
3385_GLB1_P1P2_ENSG00000170266,GLB1,UP,0.10610275915082767
3827_HMGB1_P1_ENSG00000189403,HMGB1,UP,0.0631719374134454
3828_HMGB1_P2_ENSG00000189403,HMGB1,UP,-0.12942714230476823
6896_PTBP1_P1P2_ENSG00000011304,PTBP1,UP,0.12591331111963855
6905_PTEN_P1P2_ENSG00000171862,PTEN,UP,-0.16213688998983034
7516_RPS27A_P1P2_ENSG00000143947,RPS27A,UP,0.16391922347565535
8820_TERF2_P1P2_ENSG00000132604,TERF2,UP,0.09546344521828022
9425_TUBGCP2_P1P2_ENSG00000130640,TUBGCP2,UP,0.18579016527791364
9481_UBA52_P2_ENSG00000221983,UBA52,UP,0.05756151515291534
9482_UBA52_P1_ENSG00000221983,UBA52,UP,0.11966744152729544
9493_UBC_P1P2_ENSG00000150991,UBC,UP,-0.06295164900508089
9921_YBX1_P1P2_ENSG00000065978,YBX1,UP,0.10968745234145161
579_ASF1B_P1P2_ENSG00000105011,ASF1B,DOWN,-0.04417706874692909
608_ATF5_P1P2_ENSG00000169136,ATF5,DOWN,0.1444753053613252
714_AURKA_P1P2_ENSG00000087586,AURKA,DOWN,0.0814928467886443
715_AURKB_P1P2_ENSG00000178999,AURKB,DOWN,0.12042766760790108
761_BARD1_P1P2_ENSG00000138376,BARD1,DOWN,0.10829871108174059
837_BIRC5_P1P2_ENSG00000089685,BIRC5,DOWN,-0.108958806067628
884_BRCA1_P1P2_ENSG00000012048,BRCA1,DOWN,-0.09426572327770195
885_BRCA2_P1P2_ENSG00000139618,BRCA2,DOWN,0.12417025983249047
935_BUB1_P1P2_ENSG00000169679,BUB1,DOWN,0.19937564411251127
934_BUB1B_P1P2_ENSG00000156970,BUB1B,DOWN,0.09696541163893595
936_BUB3_P1P2_ENSG00000154473,BUB3,DOWN,0.10037603077259795
1206_CASP8AP2_P1P2_ENSG00000118412,CASP8AP2,DOWN,0.13320593577129802
1228_CBX1_P1P2_ENSG00000108468,CBX1,DOWN,-0.1283418752859472
1315_CCNA2_P1P2_ENSG00000145386,CCNA2,DOWN,0.07201505355473149
1320_CCND1_P1_ENSG00000110092,CCND1,DOWN,0.0423454399529195
1321_CCND1_P2_ENSG00000110092,CCND1,DOWN,0.07618820948657497
1340_CCP110_P1P2_ENSG00000103540,CCP110,DOWN,0.07414476491529878
1390_CDC20_P1P2_ENSG00000117399,CDC20,DOWN,0.07998009701932661
1396_CDC27_P1P2_ENSG00000004897,CDC27,DOWN,0.1077749484324918
1407_CDC45_P1P2_ENSG00000093009,CDC45,DOWN,0.06569138980419223
1409_CDC6_P1P2_ENSG00000094804,CDC6,DOWN,0.11750075868560313
1411_CDC7_P1P2_ENSG00000097046,CDC7,DOWN,0.10348702686132386
1418_CDCA8_P1P2_ENSG00000134690,CDCA8,DOWN,0.15201825774976296
1429_CDK1_P1P2_ENSG00000170312,CDK1,DOWN,0.12591485159801674
1474_CENPA_P1_ENSG00000115163,CENPA,DOWN,-0.08798750363937634
1475_CENPA_P2_ENSG00000115163,CENPA,DOWN,0.10499053376035916
1479_CENPE_P1P2_ENSG00000138778,CENPE,DOWN,0.07006942936059589
1544_CHAF1A_P1P2_ENSG00000167670,CHAF1A,DOWN,0.07554968119800198
1568_CHEK1_P1P2_ENSG00000149554,CHEK1,DOWN,0.12495667404556068
1579_CHMP1A_P1P2_ENSG00000131165,CHMP1A,DOWN,0.09119477962686719
7547_CNOT9_P1P2_ENSG00000144580,CNOT9,DOWN,0.052363941098268627
1893_CSE1L_P1P2_ENSG00000124207,CSE1L,DOWN,0.18354029660370597
1927_CTCF_P1P2_ENSG00000102974,CTCF,DOWN,0.06472396938145104
1941_CTPS1_P1P2_ENSG00000171793,CTPS1,DOWN,-0.08003863519777306
1960_CUL1_P1P2_ENSG00000055130,CUL1,DOWN,0.05690681184134915
1962_CUL3_P1P2_ENSG00000036257,CUL3,DOWN,-0.1256267821409171
2036_DBF4_P1P2_ENSG00000006634,DBF4,DOWN,-0.0813696085182264
2067_DCLRE1B_P1P2_ENSG00000118655,DCLRE1B,DOWN,0.10717570234260762
