perturbation_id,target_gene
0_A1BG_P1_ENSG00000121410,A1BG
10000_ZBTB46_P1P2_ENSG00000130584,ZBTB46
10001_ZBTB47_P1P2_ENSG00000114853,ZBTB47
10002_ZBTB48_P1P2_ENSG00000204859,ZBTB48
10003_ZBTB49_P1P2_ENSG00000168826,ZBTB49
10004_ZBTB4_P2_ENSG00000174282,ZBTB4
10005_ZBTB4_P1_ENSG00000174282,ZBTB4
10006_ZBTB5_P1P2_ENSG00000168795,ZBTB5
10007_ZBTB6_P1P2_ENSG00000186130,ZBTB6
10008_ZBTB7A_P1_ENSG00000178951,ZBTB7A
10009_ZBTB7A_P2_ENSG00000178951,ZBTB7A
1000_C16orf95_P1P2_ENSG00000260456,C16orf95
10010_ZBTB7B_P1P2_ENSG00000160685,ZBTB7B
10011_ZBTB7C_P1_ENSG00000184828,ZBTB7C
10012_ZBTB7C_P2_ENSG00000184828,ZBTB7C
10013_ZBTB8A_P1P2_ENSG00000160062,ZBTB8A
10014_ZBTB8B_P1P2_ENSG00000273274,ZBTB8B
10015_ZBTB8OS_P1P2_ENSG00000176261,ZBTB8OS
10016_ZBTB9_P1P2_ENSG00000213588,ZBTB9
10017_ZC2HC1C_P1P2_ENSG00000119703,ZC2HC1C
10018_ZC3H11A_P1P2_ENSG00000058673,ZC3H11A
10019_ZC3H12A_P1P2_ENSG00000163874,ZC3H12A
1001_C17orf49_P1_ENSG00000258315,C17orf49
10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
10021_ZC3H14_P1P2_ENSG00000100722,ZC3H14
10022_ZC3H15_P1P2_ENSG00000065548,ZC3H15
10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
10025_ZC3H4_P1_ENSG00000130749,ZC3H4
10026_ZC3H4_P2_ENSG00000130749,ZC3H4
10027_ZC3H7A_P1P2_ENSG00000122299,ZC3H7A
10028_ZC3H7B_P1P2_ENSG00000100403,ZC3H7B
10029_ZC3H8_P1P2_ENSG00000144161,ZC3H8
1002_C17orf49_P2_ENSG00000258315,C17orf49
10030_ZC3HAV1_P1P2_ENSG00000105939,ZC3HAV1
10031_ZC3HC1_P1P2_ENSG00000091732,ZC3HC1
10032_ZCCHC10_P1P2_ENSG00000155329,ZCCHC10
10033_TUT4_P1P2_ENSG00000134744,TUT4
10034_ZCCHC17_P1P2_ENSG00000121766,ZCCHC17
10035_ZCCHC3_P1P2_ENSG00000247315,ZCCHC3
10036_ZCCHC4_P1P2_ENSG00000168228,ZCCHC4
10037_TUT7_P1P2_ENSG00000083223,TUT7
10038_ZCCHC7_P1P2_ENSG00000147905,ZCCHC7
10039_ZCCHC8_P1P2_ENSG00000033030,ZCCHC8
1003_C17orf53_P1P2_ENSG00000125319,C17orf53
10040_ZCCHC9_P1P2_ENSG00000131732,ZCCHC9
10041_ZCRB1_P1P2_ENSG00000139168,ZCRB1
10042_ZDHHC12_P1P2_ENSG00000160446,ZDHHC12
10043_ZDHHC14_P1P2_ENSG00000175048,ZDHHC14
10044_ZDHHC16_P1P2_ENSG00000171307,ZDHHC16
10045_ZDHHC17_P1P2_ENSG00000186908,ZDHHC17
10046_ZDHHC18_P1P2_ENSG00000204160,ZDHHC18
10047_ZDHHC19_P1P2_ENSG00000163958,ZDHHC19
10048_ZDHHC20_P1P2_ENSG00000180776,ZDHHC20
10049_ZDHHC24_P1P2_ENSG00000174165,ZDHHC24
1004_C17orf58_P1P2_ENSG00000186665,C17orf58
10050_ZDHHC3_P1P2_ENSG00000163812,ZDHHC3
10051_ZDHHC4_P1P2_ENSG00000136247,ZDHHC4
10052_ZDHHC5_P1P2_ENSG00000156599,ZDHHC5
10053_ZDHHC6_P1P2_ENSG00000023041,ZDHHC6
10056_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7
10057_ZDHHC8_P1P2_ENSG00000099904,ZDHHC8
10058_ZDHHC9_P1P2_ENSG00000188706,ZDHHC9
10059_ZEB1_P2_ENSG00000148516,ZEB1
1005_CYBC1_P1P2_ENSG00000178927,CYBC1
10060_ZEB1_P1_ENSG00000148516,ZEB1
10061_ZEB2_P2_ENSG00000169554,ZEB2
10062_ZEB2_P1_ENSG00000169554,ZEB2
10063_ZER1_P1P2_ENSG00000160445,ZER1
10064_ZFAND1_P1_ENSG00000104231,ZFAND1
