perturbation_id,target_gene
10005_ZBTB4_P1_ENSG00000174282,ZBTB4
10020_ZC3H13_P1P2_ENSG00000123200,ZC3H13
10023_ZC3H18_P1P2_ENSG00000158545,ZC3H18
10024_ZC3H3_P1P2_ENSG00000014164,ZC3H3
10025_ZC3H4_P1_ENSG00000130749,ZC3H4
10029_ZC3H8_P1P2_ENSG00000144161,ZC3H8
10040_ZCCHC9_P1P2_ENSG00000131732,ZCCHC9
10041_ZCRB1_P1P2_ENSG00000139168,ZCRB1
1004_C17orf58_P1P2_ENSG00000186665,C17orf58
10054_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7
10055_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7
10056_ZDHHC7_P1P2_ENSG00000153786,ZDHHC7
10073_ZFC3H1_P1P2_ENSG00000133858,ZFC3H1
10094_ZFP69B_P1P2_ENSG00000187801,ZFP69B
10104_ZFR_P1P2_ENSG00000056097,ZFR
1011_C18orf21_P1P2_ENSG00000141428,C18orf21
10135_ZMAT2_P2_ENSG00000146007,ZMAT2
10136_ZMAT2_P1_ENSG00000146007,ZMAT2
10139_ZMAT5_P1P2_ENSG00000100319,ZMAT5
10146_ZMYM4_P1P2_ENSG00000146463,ZMYM4
10152_ZNF100_P1P2_ENSG00000197020,ZNF100
10163_ZNF131_P1P2_ENSG00000172262,ZNF131
10165_ZNF133_P1P2_ENSG00000125846,ZNF133
1016_C19orf25_P1P2_ENSG00000119559,C19orf25
10173_ZNF143_P1P2_ENSG00000166478,ZNF143
10201_ZNF207_P2_ENSG00000010244,ZNF207
10202_ZNF207_P1_ENSG00000010244,ZNF207
1022_C19orf53_P1P2_ENSG00000104979,C19orf53
10231_ZNF236_P1P2_ENSG00000130856,ZNF236
10236_ZNF24_P1P2_ENSG00000172466,ZNF24
10239_ZNF253_P1P2_ENSG00000256771,ZNF253
10266_ZNF284_ENST00000421176.3_ENSG00000186026,ZNF284
10272_ZNF292_P1P2_ENSG00000188994,ZNF292
10280_ZNF317_P1P2_ENSG00000130803,ZNF317
10297_ZNF335_P1P2_ENSG00000198026,ZNF335
1029_C1D_P1P2_ENSG00000197223,C1D
1032_C1QBP_P1P2_ENSG00000108561,C1QBP
10336_ZNF407_ENST00000299687.5_ENSG00000215421,ZNF407
1033_C1QTNF4_P1P2_ENSG00000172247,C1QTNF4
1035_C1orf109_P1_ENSG00000116922,C1orf109
1036_C1orf109_P2_ENSG00000116922,C1orf109
10380_ZNF468_P1P2_ENSG00000204604,ZNF468
10397_ZNF492_P1P2_ENSG00000229676,ZNF492
103_ACSS2_P1P2_ENSG00000131069,ACSS2
10405_ZNF506_P1P2_ENSG00000081665,ZNF506
1040_C1orf131_P1P2_ENSG00000143633,C1orf131
10447_ZNF559_P1P2_ENSG00000188321,ZNF559
10463_ZNF574_P1_ENSG00000105732,ZNF574
10464_ZNF574_P2_ENSG00000105732,ZNF574
104_ACTB_P1P2_ENSG00000075624,ACTB
"10531_ZNF658_ENST00000377626.3,ENST00000602553.1_ENSG00000274349",ZNF658
10542_ZNF674_P1P2_ENSG00000251192,ZNF674
10544_ZNF676_ENST00000397121.2_ENSG00000196109,ZNF676
10553_ZNF687_P1P2_ENSG00000143373,ZNF687
10574_ZNF706_P1P2_ENSG00000120963,ZNF706
"10585_ZNF718_ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_ENSG00000250312",ZNF718
10586_ZNF718_ENST00000502662.1_ENSG00000250312,ZNF718
10587_ZNF718_ENST00000400172.3_ENSG00000250312,ZNF718
10589_ZNF720_P1P2_ENSG00000197302,ZNF720
10611_ZNF763_P1P2_ENSG00000197054,ZNF763
10637_ZNF787_P1P2_ENSG00000142409,ZNF787
10663_ZNF830_P1P2_ENSG00000198783,ZNF830
10676_ZNF84_P1P2_ENSG00000198040,ZNF84
10699_ZNHIT1_P1P2_ENSG00000106400,ZNHIT1
