gene,n_appearances,appears_in
MCL1,6,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1; AMD-Macula_K562_GWPS; Senescence_K562_GWPS; Inflammation_K562_GWPS
EPS8L1,5,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1; Redox_RPE1; Inflammation_RPE1
TFRC,5,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1; Age_K562_GWPS
PKM,5,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1; AMD-nonMacula_K562_GWPS
KRT8,5,AMD-Macula_RPE1; Senescence_RPE1; Redox_RPE1; Inflammation_RPE1; Inflammation_K562_GWPS
PRKRIP1,4,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1; Redox_RPE1
SEPSECS,4,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1; Redox_RPE1
ERVW-1,4,Age_RPE1; AMD-Macula_RPE1; Redox_RPE1; AMD-nonMacula_K562_GWPS
HNRNPU,4,Age_RPE1; Senescence_RPE1; Inflammation_RPE1; Age_K562_GWPS
PSMD1,4,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1; Redox_K562_GWPS
CCDC6,4,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1; Redox_K562_GWPS
PC,4,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1; AMD-nonMacula_K562_GWPS
NXF1,4,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1; Redox_RPE1
PPIL4,4,Age_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1; AMD-nonMacula_K562_GWPS
PSMA6,4,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1; Redox_K562_GWPS
PCBP2,4,AMD-nonMacula_RPE1; Senescence_RPE1; Redox_RPE1; Senescence_K562_GWPS
TM7SF2,4,AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1; AMD-Macula_K562_GWPS
NAA35,4,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1
PNISR,4,AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1; Inflammation_K562_GWPS
MON1A,4,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1
PDCD6IP,4,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
MRPL46,4,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1
CCNK,4,Age_RPE1; AMD-Macula_RPE1; Senescence_RPE1; AMD-Macula_K562_GWPS
CCDC144NL,4,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1; Redox_K562_GWPS
KRT10,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
USP39,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
CPAMD8,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
ZNF207,3,Senescence_RPE1; Redox_RPE1; Age_K562_GWPS
MRPL1,3,Age_RPE1; Redox_RPE1; Inflammation_RPE1
POU5F1B,3,AMD-Macula_RPE1; Inflammation_RPE1; Inflammation_K562_GWPS
OTOP1,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
PSMB6,3,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
CT45A5,3,Redox_RPE1; AMD-nonMacula_K562_GWPS; Senescence_K562_GWPS
PPP1CA,3,AMD-nonMacula_RPE1; Redox_RPE1; Inflammation_RPE1
EIF3D,3,Age_RPE1; Redox_RPE1; Age_K562_GWPS
UBE2N,3,AMD-nonMacula_RPE1; AMD-Macula_K562_GWPS; Senescence_K562_GWPS
MRPL23,3,AMD-Macula_RPE1; Redox_RPE1; Redox_K562_GWPS
NUS1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
MST1,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
MRPL33,3,AMD-Macula_RPE1; Senescence_RPE1; Redox_K562_GWPS
DDX19B,3,AMD-Macula_RPE1; Senescence_RPE1; Redox_RPE1
MFAP1,3,AMD-nonMacula_RPE1; Redox_RPE1; Age_K562_GWPS
ADAM10,3,Age_RPE1; Senescence_RPE1; Inflammation_RPE1
RNF14,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
KIN,3,Age_RPE1; AMD-nonMacula_RPE1; Age_K562_GWPS
USP9X,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
S100A1,3,Age_RPE1; Senescence_RPE1; Redox_RPE1
ARL4D,3,Age_RPE1; Senescence_RPE1; Inflammation_RPE1
SEH1L,3,Age_RPE1; Redox_K562_GWPS; Inflammation_K562_GWPS
OTX1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
TFB2M,3,Senescence_RPE1; Redox_RPE1; Inflammation_RPE1
THRAP3,3,Senescence_RPE1; Redox_RPE1; Inflammation_RPE1
BUD13,3,Age_RPE1; AMD-nonMacula_RPE1; Age_K562_GWPS
PGAM5,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
NAA30,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
PDHA1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; AMD-nonMacula_K562_GWPS
CDC40,3,Age_RPE1; AMD-nonMacula_K562_GWPS; Inflammation_K562_GWPS
HIST2H3A,3,Age_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
ZMAT2,3,Age_RPE1; AMD-Macula_RPE1; Redox_RPE1
CLOCK,3,AMD-Macula_RPE1; Senescence_RPE1; Redox_RPE1
SNX15,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
PSME1,3,Age_RPE1; AMD-Macula_RPE1; AMD-nonMacula_RPE1
NEDD8,3,AMD-nonMacula_RPE1; Age_K562_GWPS; Redox_K562_GWPS
HCFC1,3,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
RARS,3,Age_RPE1; Redox_RPE1; Age_K562_GWPS
GYG1,3,AMD-Macula_RPE1; Inflammation_RPE1; AMD-Macula_K562_GWPS
SAE1,3,Age_RPE1; AMD-nonMacula_RPE1; Age_K562_GWPS
PHAX,3,Age_RPE1; AMD-nonMacula_RPE1; Age_K562_GWPS
SF3A1,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Inflammation_RPE1
ALDOA,3,Age_RPE1; Redox_RPE1; Inflammation_K562_GWPS
PTEN,3,AMD-Macula_RPE1; AMD-nonMacula_RPE1; Senescence_RPE1
CACNB3,3,AMD-nonMacula_RPE1; Senescence_RPE1; Inflammation_RPE1
DOLK,3,AMD-Macula_RPE1; Senescence_RPE1; Inflammation_RPE1
SF3A2,3,Age_RPE1; AMD-nonMacula_RPE1; Redox_RPE1
SOS1,3,AMD-nonMacula_K562_GWPS; Senescence_K562_GWPS; Inflammation_K562_GWPS
