set1,set2,set1_size,set2_size,overlap,jaccard,hypergeom_pval,genes
Age,AMD-Macula,200,200,1,0.002506265664160401,0.8673691214365634,['PEX11B']
Age,AMD-nonMacula,200,200,0,0.0,1.0,[]
Age,Senescence,200,199,1,0.002512562814070352,0.866015814170981,['NMNAT1']
Age,Redox,200,200,4,0.010101010101010102,0.14104644777376493,"['MEX3A', 'NEDD8', 'CNOT3', 'IARS']"
Age,Inflammation,200,200,0,0.0,1.0,[]
AMD-Macula,AMD-nonMacula,200,200,7,0.017811704834605598,0.004067476115604107,"['DDX28', 'GRB10', 'UBAP2L', 'NONO', 'DNAJB9', 'PHKG1', 'PITX2']"
AMD-Macula,Senescence,200,199,9,0.023076923076923078,0.0001830303533242246,"['MCL1', 'ZNF497', 'ZSCAN1', 'NFE4', 'RNF187', 'ZNF771', 'TTC9C', 'UBE2N', 'LACTB2']"
AMD-Macula,Redox,200,200,8,0.02040816326530612,0.0009340816555838241,"['RDH14', 'NOSIP', 'UPF1', 'PPP2R2A', 'FXYD5', 'HES5', 'LACTB2', 'PEG3']"
AMD-Macula,Inflammation,200,200,6,0.015228426395939087,0.015494175452497594,"['MCL1', 'SH3BGR', 'ALAD', 'ZNF629', 'MEAF6', 'SCMH1']"
AMD-nonMacula,Senescence,200,199,5,0.012690355329949238,0.049960616560056674,"['TAOK3', 'FBXO4', 'CT45A5', 'HIST1H2BC', 'SOS1']"
AMD-nonMacula,Redox,200,200,4,0.010101010101010102,0.14104644777376493,"['SLC52A2', 'ZFHX3', 'DCUN1D5', 'ATXN7L3']"
AMD-nonMacula,Inflammation,200,200,5,0.012658227848101266,0.05084437146025048,"['MOB3A', 'MTBP', 'RPL5', 'CDC40', 'SOS1']"
Senescence,Redox,199,200,6,0.015267175572519083,0.015151374472390797,"['SHLD2', 'SATB2', 'PLD3', 'CRTAP', 'LACTB2', 'RAD54L']"
Senescence,Inflammation,199,200,7,0.017857142857142856,0.0039578073095033976,"['MCL1', 'PRKAR1B', 'TBX18', 'PHF20L1', 'TIMM50', 'SOS1', 'RASGRP2']"
Redox,Inflammation,200,200,3,0.007556675062972292,0.3233053572071578,"['SEH1L', 'UQCRC1', 'ZNF230']"
