set1,set2,set1_size,set2_size,overlap,jaccard,hypergeom_pval,genes
Age,AMD-Macula,199,197,15,0.03937007874015748,1.2940430997431017e-09,"['PSME1', 'ZMAT2', 'HSPA8', 'TNNT2', 'CCNK', 'PDCD6IP', 'PKM', 'GPKOW', 'C16ORF86', 'ERVW-1', 'GAPDH', 'EPS8L1', 'NXF1', 'POGLUT3', 'PPP1R37']"
Age,AMD-nonMacula,199,200,22,0.058355437665782495,6.688622896051816e-17,"['U2AF1', 'PHAX', 'SAE1', 'HIST2H3A', 'INTS14', 'SOD1', 'PSMA3', 'PSMB2', 'SF3A2', 'PSMA4', 'PSMB6', 'PSME1', 'HCFC1', 'PPIL4', 'FTSJ3', 'PSMA6', 'PSMD1', 'SNRPC', 'SDE2', 'KIN', 'C9ORF78', 'BUD13']"
Age,Senescence,199,195,18,0.047872340425531915,1.0448250502446056e-12,"['BTAF1', 'HIST1H2BN', 'SNW1', 'TNNT2', 'ADAM10', 'CCNK', 'CYC1', 'PDCD6IP', 'PKM', 'S100A1', 'HIST2H3A', 'C16ORF86', 'HNRNPU', 'GAPDH', 'NXF1', 'EPS8L1', 'POGZ', 'ARL4D']"
Age,Redox,199,198,40,0.11204481792717087,4.81349756792485e-41,"['GOLGA6L1', 'NARS', 'EIF3D', 'DNAJA1', 'RARS', 'CDC5L', 'SNRNP40', 'KEAP1', 'GPKOW', 'ERVW-1', 'PSMA3', 'PSMB2', 'VPS25', 'FYN', 'EIF2S1', 'TPR', 'MEPCE', 'SIRT7', 'SF3A2', 'PSMA4', 'PRPF31', 'ALDOA', 'MRPL1', 'WDR70', 'EIF2B3', 'SRRM1', 'EPS8L1', 'NXF1', 'PSMB6', 'HCFC1', 'EIF2B4', 'NUP93', 'IST1', 'ZMAT2', 'PSMA6', 'PSMD1', 'RBM39', 'S100A1', 'TRNT1', 'SLC1A5']"
Age,Inflammation,199,197,11,0.02857142857142857,4.692561943990254e-06,"['H3F3A', 'SIRT7', 'ADAM10', 'DHX29', 'PDCD6IP', 'PKM', 'PPIL4', 'MRPL1', 'HNRNPU', 'EPS8L1', 'ARL4D']"
AMD-Macula,AMD-nonMacula,197,200,43,0.12146892655367232,1.3008889838678573e-45,"['DNAAF3', 'ZNF24', 'CD8B', 'POLR2L', 'RNMT', 'NCOA4', 'PSMC6', 'NUS1', 'PIAS1', 'TULP1', 'FBXO42', 'DPH1', 'MON1A', 'NAA35', 'ACOT12', 'ZRSR2', 'TFRC', 'MRPL46', 'ZMYM4', 'MRPL28', 'SF3A1', 'ELOF1', 'PSME1', 'CDC73', 'NAA30', 'OTX1', 'ZFP69B', 'SEPSECS', 'PDHA1', 'PSMC2', 'HSD17B10', 'COPZ1', 'MEF2A', 'CCAR1', 'PGAM5', 'PTEN', 'UBTF', 'POTEI', 'CPAMD8', 'PLRG1', 'TSFM', 'USP9X', 'PRKRIP1']"
AMD-Macula,Senescence,197,195,73,0.22884012539184953,2.2180347812959673e-99,"['CCDC144NL', 'MCL1', 'HNRNPA1', 'HAUS7', 'SNAPC4', 'RNF14', 'C16ORF86', 'MST1', 'DDX19B', 'MRPS11', 'PRKRIP1', 'FBXO42', 'KRT8', 'MON1A', 'HIST1H2BJ', 'DEPDC5', 'MRPS26', 'NAA35', 'ZNF407', 'INTS10', 'PDCD6IP', 'PPA2', 'CSH2', 'UBE2M', 'TMEM214', 'ZRSR2', 'ACTR1B', 'MRPL9', 'PC', 'CCDC6', 'MRPL46', 'GAPDH', 'TFRC', 'NXF1', 'EPS8L1', 'TREML2', 'TWF1', 'SDHD', 'MRPL33', 'MFN2', 'CBFA2T3', 'OTX1', 'KRT10', 'TIMM8A', 'USP14', 'BCL2L1', 'COPZ1', 'E2F6', 'PGAM5', 'HIST1H2AE', 'PTEN', 'UBTF', 'SLC35G2', 'OTOP1', 'CDK6', 'MRPL41', 'CPAMD8', 'MRPS5', 'USP39', 'TNNT2', 'SNX15', 'FDPS', 'CCNK', 'CLOCK', 'COMTD1', 'PKM', 'DAP3', 'IRF2BP2', 'RHOQ', 'DOLK', 'PGD', 'SEPSECS', 'GJA3']"
AMD-Macula,Redox,197,198,22,0.058981233243967826,4.3314914563012737e-17,"['SS18L2', 'MRPL23', 'GPKOW', 'ERVW-1', 'PDCD6', 'DDX19B', 'PRKRIP1', 'UBE2M', 'MRPL16', 'NXF1', 'EPS8L1', 'PRODH', 'CDC73', 'DDX23', 'KRT8', 'ZMAT2', 'CLOCK', 'PRKRA', 'ARFRP1', 'SPDYE2', 'C1ORF109', 'SEPSECS']"
AMD-Macula,Inflammation,197,197,48,0.13872832369942195,6.974052700657267e-54,"['CCDC144NL', 'MCL1', 'MRPL38', 'POLR2L', 'GYG1', 'RNF14', 'POU5F1B', 'MST1', 'NUS1', 'MRPS11', 'MON1A', 'HIST1H2BJ', 'DEPDC5', 'NAA35', 'PDCD6IP', 'ATP5ME', 'TMEM214', 'PC', 'ACTR1B', 'CCDC6', 'CLK2', 'TFRC', 'MRPL46', 'GJA3', 'EPS8L1', 'SF3A1', 'HLA-C', 'NAA30', 'GET1', 'MFN2', 'CABIN1', 'KRT10', 'TIMM8A', 'CCAR1', 'HIST1H2AE', 'SLC35G2', 'OTOP1', 'POTEI', 'USP39', 'KRT8', 'WNK1', 'SNX15', 'DAP3', 'CEP85', 'PKM', 'USP9X', 'DOLK', 'PGD']"
AMD-nonMacula,Senescence,200,195,25,0.06756756756756757,1.154676898523577e-20,"['ACTB', 'CACNB3', 'PNISR', 'HIST2H3A', 'PRKRIP1', 'FBXO42', 'MON1A', 'NAA35', 'WBP1', 'METTL21A', 'FDXR', 'ZRSR2', 'PCBP2', 'TFRC', 'MRPL46', 'OTX1', 'COPZ1', 'TM7SF2', 'PGAM5', 'PTEN', 'UBTF', 'CPAMD8', 'H2AFZ', 'CYP2A13', 'SEPSECS']"
