pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge,perturbation_id,target_gene
Age-UP,0.349878934624697,0.568553268765133,0.257279821692399,1.05080300978837,288,141,ATP6V0B|SLC16A3|ULK1|ABHD8|C6orf47|CST3|VEGFA|SCAND1|B4GALT1|COPE|CTDSP1|SLC9A3R1|RBP1|TCF7|DEAF1|APLP2|FADS3|NOC4L|HLCS|RDH10|COL8A1|NAPA|STK11|VASN|SCARB1|NSFL1C|AEN|LBH|WWC1|RAB7A|SDC4|RAB11B|DAAM1,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Age-DOWN,0.144343302990897,0.375292587776333,0.322273229777777,1.23804916973031,110,80,RBPJ|DNAJB4|RIT1|NFAT5|SRGAP2|HHIP|GNA13|SPOPL|ARMCX1|ANGPT1|DNAJA1|MLLT3|MAPK1|ZDHHC20|WDR26|WASF1|PDCD4|FAM133B|KIF1B|AGPAT4|RAB22A|MED28|CLK1|SMG1|CETN3|ME1|FGD6|SNX6|LSM14A,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
ARE,0.933774834437086,0.933774834437086,-0.16505094591147,-0.826196491426937,140,151,VIM|NT5C|RPL22L1|NQO1|METTL26|PRDX4|TCF25|TXN|PGD|SGSM3|PLAT|SGSM2|KLF6|GSTP1,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
AMD-Macula-UP,0.728010825439784,0.933774834437086,0.233540280398778,0.845164433259341,537,57,TAGLN|RBPJ|MYL9|FLNA|EIF4G3|PANK2|PRKCI|EHD2|DTWD1|TMOD3|DSTN|INTS8|MED28|STXBP4,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
AMD-Macula-DOWN,0.301538461538462,0.56,-0.294569817670887,-1.10384838517048,97,32,SFRP1|THOP1|TRAP1|TCP1|SCARA3,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
AMD-nonMacula-UP,0.872093023255814,0.933774834437086,-0.173906291372286,-0.855993653941757,149,129,HMGN1|FAM216A|BAG2|KCNMA1|ZDHHC16|MYH10|CERK|DNALI1|RBFOX2|MEIS2|PTMS|PNMA2|SCAPER|MAF1|NDRG3|TNIK|CPS1|STAC|CDC25B|GATD1|CEP126|AP2A2|DPY19L1|SMYD4|PRXL2B|ERGIC1|FAM229B|MAP1A|PLA2R1|NRK|DNMBP|WEE1|AKAP1|PTPRF|LINC02693|CDH2|FAM20B|CHMP7|PCDH9|DFFA,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
AMD-nonMacula-DOWN,0.833333333333333,0.933774834437086,0.205905947598552,0.7846439797583,629,75,NPC2|BMP2|CST3|ITGA6|CCDC51|SGK3|CD63|NEDD4L|F2RL2|SLC4A2|TAX1BP1|PLAAT3|SLC3A2|VASN|NSFL1C|DAAM1|ABI1|INO80C|CTSK|TEX2|LYPLAL1|MSRA|FBXO7|SNX15|FDFT1|DHCR7,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Senescence-PRO,0.543990086741016,0.785763458625912,0.241655316849926,0.961500398788366,438,108,CDKN1A|CEBPB|CSF1|FAS|BMP2|VEGFA|UBA52|MAPK3|UBB|RB1|TWIST1|PLAUR|CCL2|ANGPT1|RPS6KA2|CTSB|SERPINE2|MAPK1|GEM|CD55|NFKB1|CDKN2B|MMP2,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Senescence-ANTI,0.0113636363636364,0.0738636363636364,-0.350177765495556,-1.92531582478844,0,300,MT2A|SRSF2|HMGN2|NCL|HSPA8|KPNB1|NASP|PRKDC|PRDX4|RAN|RBBP7|KIF20B|JPT1|NME1|RANBP1|TRA2B|NBN|PAICS|DTYMK|DUT|CASP8AP2|SMARCC1|TIMELESS|PA2G4|HNRNPD|RRM2|PMS2|CENPM|LYAR|MCM3|ODC1|TUBB|SMC6|SFPQ|HNRNPU|CDKN3|MEIS2|SNRPB|DDX39A|PDS5B|MCM7|TGFB1|DKC1|GINS2|RBM14|SYNCRIP|TMPO|EWSR1|NSD2|NEK2|MARCKS|PSIP1|PLK4|ASF1B|NUP107|STMN1|RPA3|LBR|NOP56|TRIP13|MCM4|CTPS1|PRMT5|HMGB3|ILF3|UBE2S|UBR7|DCK|TPX2|RPA2|CDC25B|HUS1|ANP32E|CDCA3|GSPT1|CCNB2|PRC1|INCENP|DEPDC1|BRCA1|MXD3|CDC25A|SMC1A|TTK|TROAP|SNRPD1|EIF2S1|SLBP|KMT5A|CDC20|SMC2|MRE11|PHF5A|NOLC1|CCNF|CENPE|SSRP1|RFC3|PRIM2|BARD1|CSE1L|MCM6|CBX5|KIF23|UNG|POLD2|WEE1|CHAF1A|EZH2|MKI67,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Redox-PRO,0.0275229357798165,0.119266055045872,-0.254008307716054,-1.36747049566013,2,232,LDHB|LDHA|ATP5MC2|SLC25A5|NQO1|PRDX4|CYC1|IDH2|ATP5MC3|NDUFS6|NDUFB8|TXN|ATP5MC1|ATP5F1B|COX17|GOT2|MGST1|FXN|TIMM10|ATP5F1A|COX7C|TOMM22|NDUFA9|HTRA2|NDUFB5|MRPS22|NDUFS7|COX15|IMMT|CYCS|ACADVL|PHB2|MRPL11|HSD17B10|NQO2|ACAT1|MBP|IDH3A|MRPL35|STK25|IDH3B|IDH1|POR|DECR1|COX7B|MDH2|VDAC3|NDUFC2|UQCR11|MTX2|SLC25A6|MDH1|HSPA9|ATP5PB|COX11|VDAC2|BCKDHA|MPC1|MFN2|NDUFB2|GRPEL1|FH|ETFDH|PDP1|COX10|CAT|SUPV3L1,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
Redox-ANTI,0.0881612090680101,0.286523929471033,-0.547676716661691,-1.44237338942783,34,10,NQO1|BRCA1|CAT|GSS|SOD1|CXCL8,10005_ZBTB4_P1_ENSG00000174282,ZBTB4
