gene_set_name,gene_set_size,genes_in_expression,gene_coverage_pct,perturbations_available,pert_coverage_pct,dataset
Age-UP,323,141,43.653250773993804,19,5.88235294117647,RPE1
Age-UP,323,118,36.53250773993808,141,43.653250773993804,K562_GWPS
Age-DOWN,161,80,49.68944099378882,14,8.695652173913043,RPE1
Age-DOWN,161,75,46.58385093167702,83,51.5527950310559,K562_GWPS
ARE,242,151,62.396694214876035,31,12.8099173553719,RPE1
ARE,242,128,52.892561983471076,155,64.0495867768595,K562_GWPS
AMD-Macula-UP,126,57,45.23809523809524,7,5.555555555555555,RPE1
AMD-Macula-UP,126,43,34.12698412698413,54,42.857142857142854,K562_GWPS
AMD-Macula-DOWN,431,32,7.424593967517401,12,2.784222737819025,RPE1
AMD-Macula-DOWN,431,33,7.65661252900232,39,9.048723897911833,K562_GWPS
AMD-nonMacula-UP,395,129,32.65822784810127,20,5.063291139240507,RPE1
AMD-nonMacula-UP,395,97,24.556962025316455,155,39.24050632911392,K562_GWPS
AMD-nonMacula-DOWN,508,75,14.763779527559054,16,3.149606299212598,RPE1
AMD-nonMacula-DOWN,508,63,12.401574803149607,81,15.94488188976378,K562_GWPS
Senescence-PRO,250,108,43.2,26,10.4,RPE1
Senescence-PRO,250,79,31.6,94,37.6,K562_GWPS
Senescence-ANTI,327,300,91.74311926605505,162,49.54128440366973,RPE1
Senescence-ANTI,327,303,92.66055045871559,306,93.57798165137615,K562_GWPS
Redox-PRO,245,232,94.6938775510204,88,35.91836734693877,RPE1
Redox-PRO,245,230,93.87755102040816,234,95.51020408163265,K562_GWPS
Redox-ANTI,16,10,62.5,4,25.0,RPE1
Redox-ANTI,16,9,56.25,9,56.25,K562_GWPS
Inflammation-PRO,571,268,46.93520140105078,27,4.728546409807356,RPE1
Inflammation-PRO,571,205,35.90192644483363,265,46.409807355516634,K562_GWPS
Inflammation-ANTI,111,39,35.13513513513514,5,4.504504504504505,RPE1
Inflammation-ANTI,111,33,29.72972972972973,51,45.94594594594595,K562_GWPS
