perturbation,spearman_rho,target_gene
7464_RPL36AL_P1P2_ENSG00000165502,0.3707223311421212,RPL36AL
6829_PRSS50_P1_nan,0.33570906854265176,PRSS50
182_AGBL5_P1_ENSG00000084693,0.29868142851651097,AGBL5
6851_PSMB3_P1P2_ENSG00000277791,0.29718986660515895,PSMB3
8432_SRSF2_P1P2_ENSG00000161547,0.28817129896590166,SRSF2
2235_DKC1_P1P2_ENSG00000130826,0.2861722984661516,DKC1
5944_OPA1_P1P2_ENSG00000198836,0.2794448929381463,OPA1
6783_PRODH_P1_ENSG00000100033,0.27656940760389037,PRODH
9678_USPL1_P1P2_ENSG00000132952,0.2764310152616,USPL1
3214_FTSJ3_P1P2_ENSG00000108592,0.27540076115788265,FTSJ3
952_NKAPD1_P1P2_ENSG00000150776,0.26570560873409454,NKAPD1
2008_CYP4F11_P1P2_ENSG00000171903,0.2654672663668166,CYP4F11
9164_TOMM22_P1P2_ENSG00000100216,0.25883981086379887,TOMM22
3802_HJURP_P1P2_ENSG00000123485,0.25475723676623224,HJURP
6843_PSMA3_P1P2_ENSG00000100567,0.25245838619151967,PSMA3
935_BUB1_P1P2_ENSG00000169679,0.2518279321877523,BUB1
6372_PIP4K2C_P1P2_ENSG00000166908,0.2494291315880521,PIP4K2C
9749_VPS33A_P1P2_ENSG00000139719,0.24809902740937229,VPS33A
4484_KTI12_P1P2_ENSG00000198841,0.24741475416138087,KTI12
6874_PSMD6_P1P2_ENSG00000163636,0.24729173874601162,PSMD6
5267_MRPS6_P1P2_ENSG00000243927,0.24626917310575483,MRPS6
7427_RPF2_P1P2_ENSG00000197498,0.24041825241225545,RPF2
4557_LETM1_P1P2_ENSG00000168924,0.24006458309306888,LETM1
8491_STARD7_P1P2_ENSG00000084090,0.2397032253104217,STARD7
6844_PSMA4_P1P2_ENSG00000041357,0.2394341290893015,PSMA4
8222_SNRNP70_P1P2_ENSG00000104852,0.23767347095682928,SNRNP70
6853_PSMB5_P1P2_ENSG00000100804,0.23745050551647257,PSMB5
303_ANAPC13_P1P2_ENSG00000129055,0.23738899780878794,ANAPC13
6862_PSMC5_P1P2_ENSG00000087191,0.23690462461077152,PSMC5
5829_NSMCE2_P1P2_ENSG00000156831,0.23622035136278016,NSMCE2
1587_CHMP5_P1P2_ENSG00000086065,0.23615115519163496,CHMP5
9622_URM1_P1P2_ENSG00000167118,0.23581286279936955,URM1
1298_CCDC84_P1P2_ENSG00000186166,0.23570522431092147,CCDC84
1579_CHMP1A_P1P2_ENSG00000131165,0.23543612808980124,CHMP1A
2607_ELP5_P1P2_ENSG00000170291,0.23360627378618384,ELP5
6869_PSMD1_P1P2_ENSG00000173692,0.23106908084419328,PSMD1
2608_ELP6_P1P2_ENSG00000163832,0.22897781878291623,ELP6
6679_PPP2CB_P1P2_ENSG00000104695,0.22883942644062585,PPP2CB
6486_PNISR_P1_ENSG00000132424,0.22761696075039403,PNISR
2858_FAM136A_P1P2_ENSG00000035141,0.22700957213700845,FAM136A
2109_DDX1_P1P2_ENSG00000079785,0.22614846422942378,DDX1
3421_GMIP_P1P2_ENSG00000089639,0.2256179602506439,GMIP
11107_non-targeting_non-targeting_non-targeting,0.22488755622188908,non-targeting
3658_HCFC1_P1P2_ENSG00000172534,0.22462614846422943,HCFC1
5114_MLLT6_P1P2_ENSG00000275023,0.2244031830238727,MLLT6
6846_PSMA6_P1P2_ENSG00000100902,0.22430323299888516,PSMA6
3710_HEXIM1_P1P2_ENSG00000186834,0.22331910967593127,HEXIM1
4901_MCM4_P1P2_ENSG00000104738,0.2226963441356245,MCM4
