perturbation,spearman_rho,target_gene
6558_POLR3D_P1P2_ENSG00000168495,0.32368675460563534,POLR3D
8214_SNIP1_P1P2_ENSG00000163877,0.3212489431412159,SNIP1
8238_SNW1_P1_ENSG00000100603,0.32008452727729586,SNW1
2044_DBR1_P1P2_ENSG00000138231,0.3176900821766416,DBR1
7186_RBMX2_P1P2_ENSG00000134597,0.31403660899988745,RBMX2
7338_RNF113A_P1P2_ENSG00000125352,0.3116984882194818,RNF113A
978_C14orf178_P1P2_ENSG00000197734,0.3062306735905019,C14orf178
9473_U2AF1_P1P2_ENSG00000160201,0.3053511555663952,U2AF1
8126_SLU7_P1P2_ENSG00000164609,0.30489544628653986,SLU7
2217_DHX8_P1P2_ENSG00000067596,0.30391711352419565,DHX8
8621_SYMPK_P1P2_ENSG00000125755,0.3023325336559209,SYMPK
8460_SSU72_P1P2_ENSG00000160075,0.300533490042919,SSU72
8332_SPC25_P1P2_ENSG00000152253,0.29907214869752646,SPC25
2291_DNAJC17_P1P2_ENSG00000104129,0.29858831249674467,DNAJC17
7475_RPL5_P1P2_ENSG00000122406,0.29662500992084107,RPL5
1408_CDC5L_P1P2_ENSG00000096401,0.2947697668350345,CDC5L
1583_CHMP3_P1P2_ENSG00000115561,0.29234856410800064,CHMP3
5832_NSRP1_P1P2_ENSG00000126653,0.29153077106292874,NSRP1
4217_ISY1_P1P2_ENSG00000240682,0.2864134857695923,ISY1
1972_CWC22_P1P2_ENSG00000163510,0.2852447364911653,CWC22
5768_NPLOC4_P1P2_ENSG00000182446,0.28503885500137716,NPLOC4
7691_SCFD1_P1P2_ENSG00000092108,0.2849828790457706,SCFD1
2203_DHX15_P1P2_ENSG00000109606,0.28417377699373414,DHX15
2204_DHX16_P1P2_ENSG00000204560,0.28374434407349847,DHX16
3501_GPKOW_P1P2_ENSG00000068394,0.2837084141873237,GPKOW
1148_CACTIN_P1P2_ENSG00000105298,0.28006474153492145,CACTIN
937_BUD13_P1P2_ENSG00000137656,0.2794427797603977,BUD13
1971_CWC15_P1P2_ENSG00000150316,0.2778480550304658,CWC15
8216_SNRNP200_P1P2_ENSG00000144028,0.2771146306661625,SNRNP200
2112_DDX23_P1P2_ENSG00000174243,0.27699109613401796,DDX23
9837_WDR70_P1P2_ENSG00000082068,0.2766107403412752,WDR70
2490_EEF2_P1_ENSG00000167658,0.2763484096837944,EEF2
655_ATP5F1C_P1P2_ENSG00000165629,0.2760500101970157,ATP5F1C
6793_PRPF31_P1P2_ENSG00000105618,0.2756120292542048,PRPF31
5878_NUF2_P1P2_ENSG00000143228,0.27533536329101993,NUF2
6460_PLRG1_P1P2_ENSG00000171566,0.27501094116684627,PLRG1
1774_COPG1_P1_ENSG00000181789,0.2712002004840529,COPG1
7547_CNOT9_P1P2_ENSG00000144580,0.2707507416310701,CNOT9
1771_COPB1_P1P2_ENSG00000129083,0.2699795408466222,COPB1
8331_SPC24_P1P2_ENSG00000161888,0.26918131864522754,SPC24
9712_VCP_P1P2_ENSG00000165280,0.26845028450537584,VCP
8271_SON_P1_ENSG00000159140,0.26503065663219166,SON
9242_TRAPPC11_P1P2_ENSG00000168538,0.264050340406423,TRAPPC11
1588_CHMP6_P1P2_ENSG00000176108,0.2636665895686715,CHMP6
6802_PRPF6_P1P2_ENSG00000101161,0.2631661103981405,PRPF6
9534_UBL5_P1P2_ENSG00000198258,0.26259065631016576,UBL5
8426_SRRT_P1P2_ENSG00000087087,0.26200910886145773,SRRT
1458_CDT1_P1P2_ENSG00000167513,0.2613124359600574,CDT1
3336_GEMIN5_P1P2_ENSG00000082516,0.2589201214509693,GEMIN5
6792_PRPF19_P1P2_ENSG00000110107,0.2578184473383071,PRPF19
8557_STX5_P1P2_ENSG00000162236,0.2558519349748923,STX5
6862_PSMC5_P1P2_ENSG00000087191,0.2552600936530617,PSMC5
1478_CENPC_P1P2_ENSG00000145241,0.25433598294110304,CENPC
1839_CPSF1_P1P2_ENSG00000071894,0.2526883249085942,CPSF1
6791_PRPF18_P1P2_ENSG00000165630,0.2517698081675931,PRPF18
6857_PSMC1_P1P2_ENSG00000100764,0.25147211258453345,PSMC1
6515_POLD1_P1P2_ENSG00000062822,0.2509668820366965,POLD1
8433_SRSF3_P1P2_ENSG00000112081,0.25053027642943776,SRSF3
6533_POLR1A_P1P2_ENSG00000068654,0.24915306212459962,POLR1A
7431_RPL10A_P1P2_ENSG00000198755,0.24910836875332512,RPL10A
435_ARCN1_P1P2_ENSG00000095139,0.24839151486670683,ARCN1
7675_SCAF1_P1P2_ENSG00000126461,0.24834088318716965,SCAF1
7833_SF3A2_P1_ENSG00000104897,0.24788068946767353,SF3A2
9474_U2AF2_P1P2_ENSG00000063244,0.24737040171811675,U2AF2
6868_PSMD14_P1P2_ENSG00000115233,0.24734861986648005,PSMD14
6803_PRPF8_P1P2_ENSG00000174231,0.24643273297647614,PRPF8
3479_GOSR2_P1P2_ENSG00000108433,0.24624626727789456,GOSR2
6632_PPIL4_P1P2_ENSG00000131013,0.24581573086734776,PPIL4
1568_CHEK1_P1P2_ENSG00000149554,0.24545619842005886,CHEK1
7837_SF3B3_P1P2_ENSG00000189091,0.24475966244811315,SF3B3
1842_CPSF3_P1P2_ENSG00000119203,0.24472859557124796,CPSF3
9886_XAB2_P1P2_ENSG00000076924,0.24466936351375576,XAB2
5494_NCBP2_P1P2_ENSG00000114503,0.24317164122045531,NCBP2
7835_SF3B1_P1P2_ENSG00000115524,0.2430685011223846,SF3B1
7519_RPS28_P1P2_ENSG00000233927,0.24271906923604694,RPS28
5422_NAA10_P1P2_ENSG00000102030,0.24187073890891253,NAA10
7010_RAB18_P1P2_ENSG00000099246,0.24131714520564415,RAB18
7185_RBM8A_P1P2_ENSG00000265241,0.24128186774804747,RBM8A
6291_PHF5A_P1P2_ENSG00000100410,0.24078912710537442,PHF5A
8853_TFIP11_P1P2_ENSG00000100109,0.24008465123872572,TFIP11
7658_SART1_P1P2_ENSG00000175467,0.23855167967918686,SART1
5683_NKAP_P1P2_ENSG00000101882,0.2384706275103574,NKAP
3818_HMBOX1_P1P2_ENSG00000147421,0.23835969048804362,HMBOX1
9250_TRAPPC5_P1P2_ENSG00000181029,0.2381392501753533,TRAPPC5
7310_RINT1_P1P2_ENSG00000135249,0.2381385071316948,RINT1
2382_DSN1_P1P2_ENSG00000149636,0.2378837881409596,DSN1
7142_RBBP6_P1P2_ENSG00000122257,0.23771682683499637,RBBP6
9475_U2SURP_P1P2_ENSG00000163714,0.23682499724197906,U2SURP
7418_RPA1_P1P2_ENSG00000132383,0.23658401348374952,RPA1
5587_NEDD8-MDP1_P1P2_nan,0.23648835215030656,NEDD8-MDP1
9248_TRAPPC3_P1P2_ENSG00000054116,0.23629880755266308,TRAPPC3
7839_SF3B5_P1P2_ENSG00000169976,0.23619721797929974,SF3B5
6858_PSMC2_P1P2_ENSG00000161057,0.23582129628448653,PSMC2
3583_GTF3A_P1P2_ENSG00000122034,0.23537568756558241,GTF3A
6797_PRPF3_P1P2_ENSG00000117360,0.23514211410725336,PRPF3
2929_CCNQ_P1P2_ENSG00000262919,0.23453400838534233,CCNQ
3072_FGFR1OP_P1P2_ENSG00000213066,0.23448628645671726,FGFR1OP
3570_GTF2E2_P1P2_ENSG00000197265,0.23286450809114337,GTF2E2
9253_TRAPPC8_P1P2_ENSG00000153339,0.23196949086096777,TRAPPC8
6512_POLA1_P1P2_ENSG00000101868,0.23161940654605195,POLA1
