perturbation,spearman_rho,target_gene
9512_UBE2M_P1P2_ENSG00000130725,0.23775130997210725,UBE2M
1146_CACNB3_P2_ENSG00000167535,0.22411499015057532,CACNB3
11133_non-targeting_non-targeting_non-targeting,0.21988896097504956,non-targeting
1768_COMTD1_P1P2_ENSG00000165644,0.21750346223305808,COMTD1
510_ARL4D_P1P2_ENSG00000175906,0.21707700098820906,ARL4D
8654_TAF13_P1P2_ENSG00000197780,0.2162509671812383,TAF13
10708_ZRSR2_P1P2_ENSG00000169249,0.21165816394856635,ZRSR2
11175_non-targeting_non-targeting_non-targeting,0.20859195453378906,non-targeting
3857_HNRNPA1_P1P2_ENSG00000135486,0.2023315224999247,HNRNPA1
1288_CCDC6_P1P2_ENSG00000108091,0.19904671824010547,CCDC6
2108_DDX19B_P2_ENSG00000157349,0.19705849065846606,DDX19B
3548_GSDMA_P1P2_ENSG00000167914,0.1886673599526882,GSDMA
9635_USP14_P1P2_ENSG00000101557,0.1864545268535496,USP14
3323_GCOM1_P1P2_ENSG00000137878,0.17829636618160657,GCOM1
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0.1778600922114205,ZNF407
7670_SBNO1_P1P2_ENSG00000139697,0.17580468830555684,SBNO1
6879_PSME2_P1P2_ENSG00000100911,0.17580424456463717,PSME2
7781_SEPSECS_P1P2_ENSG00000109618,0.17577361433915545,SEPSECS
5429_NAA35_P1P2_ENSG00000135040,0.17497582464172115,NAA35
6885_PSMG3_P2_ENSG00000157778,0.17433582921531846,PSMG3
2686_EPS8L1_P2_ENSG00000131037,0.17414587784664065,EPS8L1
6000_OTX1_P1P2_ENSG00000115507,0.1721842142100555,OTX1
8056_SLC35G2_P1P2_ENSG00000168917,0.17192673354142193,SLC35G2
10788_non-targeting_non-targeting_non-targeting,0.17021240705944768,non-targeting
2501_EFR3A_P1P2_ENSG00000132294,0.16853390257171527,EFR3A
4301_KCTD10_P1P2_ENSG00000110906,0.16819774663802567,KCTD10
5215_MRPL33_P1P2_ENSG00000243147,0.16750448818223437,MRPL33
8341_SPDYE2_ENST00000341656.4_ENSG00000205238,0.16696118188522174,SPDYE2
3022_FBXO42_P1P2_ENSG00000037637,0.16524130057373504,FBXO42
7656_SARS2_P1P2_ENSG00000104835,0.16494928072551837,SARS2
10785_non-targeting_non-targeting_non-targeting,0.16319236520027755,non-targeting
4628_LPA_P1P2_ENSG00000198670,0.16228326712715455,LPA
11238_non-targeting_non-targeting_non-targeting,0.16175622998586006,non-targeting
5428_NAA30_P1P2_ENSG00000139977,0.16108661081906162,NAA30
5224_MRPL41_P1P2_ENSG00000182154,0.16062394636618074,MRPL41
5242_MRPS11_P1P2_ENSG00000181991,0.15826087671067396,MRPS11
3605_GYG1_P1P2_ENSG00000163754,0.1573880221856664,GYG1
1440_CDK6_P1_ENSG00000105810,0.15435657583793622,CDK6
5771_NPM3_P1P2_ENSG00000107833,0.1530966904827999,NPM3
10544_ZNF676_ENST00000397121.2_ENSG00000196109,0.15291724367189297,ZNF676
3053_FDXR_P1P2_ENSG00000161513,0.15275961076119576,FDXR
3378_GJA3_P1P2_ENSG00000121743,0.150967587261193,GJA3
11067_non-targeting_non-targeting_non-targeting,0.15056041261031583,non-targeting
6251_PGAM5_P1P2_ENSG00000247077,0.1503417209490732,PGAM5
4330_KDM6A_P1P2_ENSG00000147050,0.15033334836472084,KDM6A
8894_THRAP3_P1P2_ENSG00000054118,0.1485054524453718,THRAP3
8429_SRSF11_P1_ENSG00000116754,0.14800741982418977,SRSF11
3050_FDPS_P1P2_ENSG00000160752,0.1463814683803745,FDPS
378_AP2S1_P1P2_ENSG00000042753,0.14495553113909249,AP2S1
1289_CCDC6_P1P2_ENSG00000108091,0.1436665807537183,CCDC6
1262_CCDC144NL_P2_ENSG00000205212,0.14311454284560923,CCDC144NL
