perturbation,spearman_rho,target_gene
8894_THRAP3_P1P2_ENSG00000054118,0.42603392414713165,THRAP3
3748_HIST1H2AB_P1P2_ENSG00000278463,0.42428054126167325,HIST1H2AB
9840_WDR74_P2_ENSG00000133316,0.3749571183533448,WDR74
4535_LCN10_P1P2_ENSG00000187922,0.37045931008195154,LCN10
6485_PNISR_P2_ENSG00000132424,0.35635601295978653,PNISR
11289_non-targeting_non-targeting_non-targeting,0.3414903754526395,non-targeting
378_AP2S1_P1P2_ENSG00000042753,0.34095673718315217,AP2S1
6511_POGZ_P1P2_ENSG00000143442,0.3318848866018677,POGZ
11085_non-targeting_non-targeting_non-targeting,0.3280731846769582,non-targeting
4896_MCL1_P1P2_ENSG00000143384,0.32121212121212117,MCL1
5209_MRPL27_P1P2_ENSG00000108826,0.31938250428816467,MRPL27
10380_ZNF468_P1P2_ENSG00000204604,0.3177053554412045,ZNF468
8925_TIMM8A_P1P2_ENSG00000126953,0.3177053554412045,TIMM8A
4473_KRT10_P2_ENSG00000186395,0.31610444063274246,KRT10
11010_non-targeting_non-targeting_non-targeting,0.31137793024585475,non-targeting
2427_DYNLL2_P1P2_ENSG00000264364,0.3102344196683819,DYNLL2
5290_MSRB1_P1P2_ENSG00000198736,0.30947207928340004,MSRB1
8080_SLC39A9_P1P2_ENSG00000029364,0.3052792071659996,SLC39A9
4185_IRF2BP2_P2_ENSG00000168264,0.2973508671621879,IRF2BP2
7656_SARS2_P1P2_ENSG00000104835,0.2968934629311987,SARS2
8491_STARD7_P1P2_ENSG00000084090,0.29132837812083084,STARD7
6081_PARS2_P1P2_ENSG00000162396,0.2907947398513435,PARS2
10876_non-targeting_non-targeting_non-targeting,0.2891175910043834,non-targeting
8418_SRP9_P1P2_ENSG00000143742,0.2779111873451495,SRP9
1669_CLOCK_P1P2_ENSG00000134852,0.2770726129216695,CLOCK
9655_USP39_P2_ENSG00000168883,0.2707451877263198,USP39
10869_non-targeting_non-targeting_non-targeting,0.2702877834953306,non-targeting
10708_ZRSR2_P1P2_ENSG00000169249,0.26853440060987227,ZRSR2
11294_non-targeting_non-targeting_non-targeting,0.264798932723461,non-targeting
3589_GTF3C6_P1P2_ENSG00000155115,0.2629693157995045,GTF3C6
6604_PPA2_P1P2_ENSG00000138777,0.260377358490566,PPA2
11234_non-targeting_non-targeting_non-targeting,0.2580903373356203,non-targeting
2005_CYP2A13_P1P2_ENSG00000197838,0.25511720983419095,CYP2A13
8941_TKT_P2_ENSG00000163931,0.2540499332952163,TKT
5004_METTL3_P1P2_ENSG00000165819,0.25130550790928147,METTL3
2730_ESF1_P2_ENSG00000089048,0.24886601867733937,ESF1
9550_UBTF_P1P2_ENSG00000108312,0.24749380598437198,UBTF
1290_CCDC6_P1P2_ENSG00000108091,0.2438345721364589,CCDC6
11256_non-targeting_non-targeting_non-targeting,0.24322469982847336,non-targeting
7831_SF3A1_P2_ENSG00000099995,0.24261482752048785,SF3A1
8841_TFB2M_P1P2_ENSG00000162851,0.24192872117400419,TFB2M
10788_non-targeting_non-targeting_non-targeting,0.24131884886601865,non-targeting
9483_UBA5_P1P2_ENSG00000081307,0.2400991042500476,UBA5
10951_non-targeting_non-targeting_non-targeting,0.24002287021154942,non-targeting
1323_CCND3_P1P2_ENSG00000112576,0.23956546598056028,CCND3
2501_EFR3A_P1P2_ENSG00000132294,0.23910806174957114,EFR3A
5242_MRPS11_P1P2_ENSG00000181991,0.23758338097960735,MRPS11
9147_TNNT2_P1P2_ENSG00000118194,0.23750714694110917,TNNT2
2684_EPS8L1_P2_ENSG00000131037,0.23621116828663996,EPS8L1
4991_METTL14_P1P2_ENSG00000145388,0.23270440251572322,METTL14
4628_LPA_P1P2_ENSG00000198670,0.2322469982847341,LPA
5145_MOK_P1P2_ENSG00000080823,0.23201829616923952,MOK
204_AHCY_P1P2_ENSG00000101444,0.23034114732227937,AHCY
3548_GSDMA_P1P2_ENSG00000167914,0.22553840289689342,GSDMA
8595_SUPT20H_P1P2_ENSG00000102710,0.2249285305889079,SUPT20H
9563_UCHL5_P1P2_ENSG00000116750,0.2243186582809224,UCHL5
7486_RPN2_P1P2_ENSG00000118705,0.22203163712597673,RPN2
4718_LURAP1_P1P2_ENSG00000171357,0.22043072231751473,LURAP1
6676_PPP1R8_P1P2_ENSG00000117751,0.2171526586620926,PPP1R8
9743_VPS18_P1P2_ENSG00000104142,0.21692395654659805,VPS18
1856_CRCP_P1P2_ENSG00000241258,0.21677148846960165,CRCP
3586_GTF3C3_P1P2_ENSG00000119041,0.2155517438536306,GTF3C3
