perturbation,spearman_rho,target_gene
9512_UBE2M_P1P2_ENSG00000130725,0.21804448085722872,UBE2M
1768_COMTD1_P1P2_ENSG00000165644,0.20995246578859034,COMTD1
1288_CCDC6_P1P2_ENSG00000108091,0.20906174485115578,CCDC6
510_ARL4D_P1P2_ENSG00000175906,0.20811142758403456,ARL4D
8654_TAF13_P1P2_ENSG00000197780,0.205537844229661,TAF13
11133_non-targeting_non-targeting_non-targeting,0.2054753972625366,non-targeting
11175_non-targeting_non-targeting_non-targeting,0.1987006345904006,non-targeting
10708_ZRSR2_P1P2_ENSG00000169249,0.19474059356244358,ZRSR2
1146_CACNB3_P2_ENSG00000167535,0.1932457348556896,CACNB3
9635_USP14_P1P2_ENSG00000101557,0.19200190824640762,USP14
3857_HNRNPA1_P1P2_ENSG00000135486,0.18066079013930855,HNRNPA1
2108_DDX19B_P2_ENSG00000157349,0.18015156628663154,DDX19B
7781_SEPSECS_P1P2_ENSG00000109618,0.1751252663000358,SEPSECS
5429_NAA35_P1P2_ENSG00000135040,0.17424450377250808,NAA35
5215_MRPL33_P1P2_ENSG00000243147,0.17248536798298533,MRPL33
5224_MRPL41_P1P2_ENSG00000182154,0.1718163314134848,MRPL41
3548_GSDMA_P1P2_ENSG00000167914,0.1691981384318139,GSDMA
6885_PSMG3_P2_ENSG00000157778,0.16394307173876785,PSMG3
3022_FBXO42_P1P2_ENSG00000037637,0.1627321276697938,FBXO42
3605_GYG1_P1P2_ENSG00000163754,0.156991205839968,GYG1
11238_non-targeting_non-targeting_non-targeting,0.15599233566549642,non-targeting
4301_KCTD10_P1P2_ENSG00000110906,0.1543618743129771,KCTD10
5242_MRPS11_P1P2_ENSG00000181991,0.15304681890132366,MRPS11
6000_OTX1_P1P2_ENSG00000115507,0.15282677451467072,OTX1
5428_NAA30_P1P2_ENSG00000139977,0.1526811127405452,NAA30
2501_EFR3A_P1P2_ENSG00000132294,0.15209720106790636,EFR3A
3021_FBXO42_P1P2_ENSG00000037637,0.1519704891147064,FBXO42
2686_EPS8L1_P2_ENSG00000131037,0.14886960294527654,EPS8L1
7656_SARS2_P1P2_ENSG00000104835,0.14795587750614986,SARS2
6879_PSME2_P1P2_ENSG00000100911,0.1479446733412314,PSME2
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0.14642026953746515,ZNF407
7670_SBNO1_P1P2_ENSG00000139697,0.1461906497762356,SBNO1
3323_GCOM1_P1P2_ENSG00000137878,0.1446495480737309,GCOM1
"891_BRD4_ENST00000263377.2,ENST00000371835.4_ENSG00000141867",0.14461952227500938,BRD4
6081_PARS2_P1P2_ENSG00000162396,0.1416783109703785,PARS2
