perturbation,spearman_rho,target_gene
11133_non-targeting_non-targeting_non-targeting,0.2123351408530039,non-targeting
510_ARL4D_P1P2_ENSG00000175906,0.20861859816469,ARL4D
11175_non-targeting_non-targeting_non-targeting,0.1969620063887643,non-targeting
10708_ZRSR2_P1P2_ENSG00000169249,0.19310846006630394,ZRSR2
5215_MRPL33_P1P2_ENSG00000243147,0.1884939221050292,MRPL33
5224_MRPL41_P1P2_ENSG00000182154,0.18710088986069287,MRPL41
9512_UBE2M_P1P2_ENSG00000130725,0.1856695891267697,UBE2M
6081_PARS2_P1P2_ENSG00000162396,0.17843334077315579,PARS2
6885_PSMG3_P2_ENSG00000157778,0.17815833983785306,PSMG3
2108_DDX19B_P2_ENSG00000157349,0.17809289356393185,DDX19B
1768_COMTD1_P1P2_ENSG00000165644,0.1769994409810971,COMTD1
6879_PSME2_P1P2_ENSG00000100911,0.17629075978968983,PSME2
1146_CACNB3_P2_ENSG00000167535,0.17507086085726767,CACNB3
8654_TAF13_P1P2_ENSG00000197780,0.17205242155962153,TAF13
7781_SEPSECS_P1P2_ENSG00000109618,0.16977925629843896,SEPSECS
7670_SBNO1_P1P2_ENSG00000139697,0.16653135496203508,SBNO1
3378_GJA3_P1P2_ENSG00000121743,0.16565105215928164,GJA3
9974_ZBTB17_P1P2_ENSG00000116809,0.16373204351753728,ZBTB17
11240_non-targeting_non-targeting_non-targeting,0.16233230384991643,non-targeting
1288_CCDC6_P1P2_ENSG00000108091,0.15861803674795852,CCDC6
4301_KCTD10_P1P2_ENSG00000110906,0.15853096334234262,KCTD10
9635_USP14_P1P2_ENSG00000101557,0.15746632983828376,USP14
111_ACTR1B_P1P2_ENSG00000115073,0.15278251762573922,ACTR1B
3605_GYG1_P1P2_ENSG00000163754,0.15185291683475152,GYG1
10788_non-targeting_non-targeting_non-targeting,0.1496790288436854,non-targeting
7656_SARS2_P1P2_ENSG00000104835,0.14962521661186418,SARS2
9147_TNNT2_P1P2_ENSG00000118194,0.14932538870457834,TNNT2
2686_EPS8L1_P2_ENSG00000131037,0.1489508025709698,EPS8L1
2684_EPS8L1_P2_ENSG00000131037,0.14552264302204695,EPS8L1
3878_HNRNPU_P1P2_ENSG00000153187,0.14440093263650186,HNRNPU
3857_HNRNPA1_P1P2_ENSG00000135486,0.14153583366561354,HNRNPA1
5242_MRPS11_P1P2_ENSG00000181991,0.1415187946357557,MRPS11
2104_DDX17_P1P2_ENSG00000100201,0.1406089078426293,DDX17
6877_PSMD9_P1P2_ENSG00000110801,0.13937303603786358,PSMD9
7623_S100A1_P2_ENSG00000160678,0.13815400220438667,S100A1
2915_FAM229A_P1P2_ENSG00000225828,0.13783394980006355,FAM229A
1332_CCNK_P2_ENSG00000090061,0.13769684186355016,CCNK
6865_PSMD11_P1P2_ENSG00000108671,0.13764711269358873,PSMD11
9840_WDR74_P2_ENSG00000133316,0.13708550892289936,WDR74
3548_GSDMA_P1P2_ENSG00000167914,0.13669197233528124,GSDMA
5218_MRPL36_P1P2_ENSG00000171421,0.13607336880219062,MRPL36
4360_KIAA1143_P1P2_ENSG00000163807,0.13596589615828408,KIAA1143
4628_LPA_P1P2_ENSG00000198670,0.13506438133455506,LPA
9655_USP39_P2_ENSG00000168883,0.13360621944935025,USP39
378_AP2S1_P1P2_ENSG00000042753,0.131880808667652,AP2S1
10023_ZC3H18_P1P2_ENSG00000158545,0.1315204193890267,ZC3H18
4330_KDM6A_P1P2_ENSG00000147050,0.1313312031012669,KDM6A
10544_ZNF676_ENST00000397121.2_ENSG00000196109,0.13120614227773722,ZNF676
4508_LAMTOR4_P1P2_ENSG00000188186,0.12937330877483838,LAMTOR4
6868_PSMD14_P1P2_ENSG00000115233,0.1290734432545549,PSMD14
1920_CT45A5_P1P2_ENSG00000228836,0.12852838783507267,CT45A5
6845_PSMA5_P1P2_ENSG00000143106,0.12794026826880714,PSMA5
11165_non-targeting_non-targeting_non-targeting,0.1262265575229229,non-targeting
304_ANAPC15_P1P2_ENSG00000110200,0.12598432332146434,ANAPC15
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0.1256357732467442,ZNF407
6000_OTX1_P1P2_ENSG00000115507,0.12484391022722924,OTX1
5217_MRPL35_P1P2_ENSG00000132313,0.12465946976435803,MRPL35
2312_DNM1_P1P2_ENSG00000106976,0.12442255096333577,DNM1
11085_non-targeting_non-targeting_non-targeting,0.12415471667182486,non-targeting
5226_MRPL43_P1P2_ENSG00000055950,0.12395364476721546,MRPL43
2207_DHX30_P1_ENSG00000132153,0.12355612838251283,DHX30
"891_BRD4_ENST00000263377.2,ENST00000371835.4_ENSG00000141867",0.12274950123562331,BRD4
7210_RCOR1_P1P2_ENSG00000089902,0.12201598520769709,RCOR1
4976_MEPCE_P1P2_ENSG00000146834,0.12143844446798012,MEPCE
430_AQP7_P1P2_ENSG00000165269,0.12056681966765011,AQP7
6511_POGZ_P1P2_ENSG00000143442,0.12043787410533906,POGZ
3021_FBXO42_P1P2_ENSG00000037637,0.11989041658305434,FBXO42
6251_PGAM5_P1P2_ENSG00000247077,0.1192804301877183,PGAM5
8429_SRSF11_P1_ENSG00000116754,0.11906028678363423,SRSF11
8056_SLC35G2_P1P2_ENSG00000168917,0.11892750914073848,SLC35G2
8719_TBC1D3_ENST00000537432.1_ENSG00000274611,0.11873419440398351,TBC1D3
6875_PSMD7_P1P2_ENSG00000103035,0.11860785200304409,PSMD7
2271_DNAAF3_P2_ENSG00000167646,0.11860177716199222,DNAAF3
5482_NBPF15_P1P2_ENSG00000266338,0.11696401355509178,NBPF15
8925_TIMM8A_P1P2_ENSG00000126953,0.11678967047239965,TIMM8A
4896_MCL1_P1P2_ENSG00000143384,0.11678599739221393,MCL1
5429_NAA35_P1P2_ENSG00000135040,0.11660091135352907,NAA35
3053_FDXR_P1P2_ENSG00000161513,0.11625716685215931,FDXR
376_AP2M1_P2_ENSG00000161203,0.1159318154485617,AP2M1
10771_non-targeting_non-targeting_non-targeting,0.11564126359036143,non-targeting
3323_GCOM1_P1P2_ENSG00000137878,0.11525890490176303,GCOM1
3551_GSK3B_P1P2_ENSG00000082701,0.11428032754270266,GSK3B
2428_DYNLRB1_P2_ENSG00000125971,0.1142194396221566,DYNLRB1
11067_non-targeting_non-targeting_non-targeting,0.11374471743079531,non-targeting
9218_TPT1_P1P2_ENSG00000133112,0.11287911002621169,TPT1
6138_PCNX3_P1P2_ENSG00000197136,0.112697084659724,PCNX3
3871_HNRNPL_P2_ENSG00000104824,0.11177713297037105,HNRNPL
1198_CASC3_P1P2_ENSG00000108349,0.11106133471594153,CASC3
10785_non-targeting_non-targeting_non-targeting,0.11006472944712223,non-targeting
8894_THRAP3_P1P2_ENSG00000054118,0.10997138390318513,THRAP3
11178_non-targeting_non-targeting_non-targeting,0.10927923909521302,non-targeting
8422_SRPRB_P1P2_ENSG00000144867,0.10919622515784926,SRPRB
4701_LST1_P2_ENSG00000204482,0.1087495294368231,LST1
2501_EFR3A_P1P2_ENSG00000132294,0.10807494289828287,EFR3A
9673_USP5_P2_ENSG00000111667,0.10803035661263449,USP5
11238_non-targeting_non-targeting_non-targeting,0.10609147189520274,non-targeting
1262_CCDC144NL_P2_ENSG00000205212,0.1057869604858406,CCDC144NL
3022_FBXO42_P1P2_ENSG00000037637,0.10573565464740621,FBXO42
6648_PPP1CA_P1_ENSG00000172531,0.10504713846789532,PPP1CA
454_ARGFX_P1P2_ENSG00000186103,0.10480606206289077,ARGFX
