perturbation,spearman_rho,target_gene
376_AP2M1_P2_ENSG00000161203,0.28939788151111634,AP2M1
6000_OTX1_P1P2_ENSG00000115507,0.2806071960795642,OTX1
11133_non-targeting_non-targeting_non-targeting,0.2725516127897336,non-targeting
3857_HNRNPA1_P1P2_ENSG00000135486,0.27223958948088545,HNRNPA1
8894_THRAP3_P1P2_ENSG00000054118,0.26542441096709185,THRAP3
3548_GSDMA_P1P2_ENSG00000167914,0.26482150761262346,GSDMA
10947_non-targeting_non-targeting_non-targeting,0.26112634861899564,non-targeting
1768_COMTD1_P1P2_ENSG00000165644,0.2538436690627184,COMTD1
1332_CCNK_P2_ENSG00000090061,0.24746929555197916,CCNK
3050_FDPS_P1P2_ENSG00000160752,0.24249358093901294,FDPS
9147_TNNT2_P1P2_ENSG00000118194,0.24082027318759264,TNNT2
6251_PGAM5_P1P2_ENSG00000247077,0.24036622694898133,PGAM5
10785_non-targeting_non-targeting_non-targeting,0.23747344411643664,non-targeting
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0.23721694856960115,ZNF407
4701_LST1_P2_ENSG00000204482,0.23709799101790477,LST1
2108_DDX19B_P2_ENSG00000157349,0.2348550965692237,DDX19B
9974_ZBTB17_P1P2_ENSG00000116809,0.2338536747381567,ZBTB17
11010_non-targeting_non-targeting_non-targeting,0.2332112612453332,non-targeting
11209_non-targeting_non-targeting_non-targeting,0.23008184471928833,non-targeting
8422_SRPRB_P1P2_ENSG00000144867,0.22432916857477556,SRPRB
510_ARL4D_P1P2_ENSG00000175906,0.22161962735687268,ARL4D
2686_EPS8L1_P2_ENSG00000131037,0.21103496807568034,EPS8L1
1822_COX7B_P1P2_ENSG00000131174,0.20839846722165564,COX7B
1146_CACNB3_P2_ENSG00000167535,0.20790726009615898,CACNB3
8418_SRP9_P1P2_ENSG00000143742,0.20577520760318782,SRP9
6885_PSMG3_P2_ENSG00000157778,0.20562848617048513,PSMG3
11166_non-targeting_non-targeting_non-targeting,0.20541342287684372,non-targeting
5602_NEMF_P1P2_ENSG00000165525,0.20094258376156193,NEMF
10708_ZRSR2_P1P2_ENSG00000169249,0.19677373024430295,ZRSR2
3589_GTF3C6_P1P2_ENSG00000155115,0.19550385304073625,GTF3C6
378_AP2S1_P1P2_ENSG00000042753,0.1953977095879659,AP2S1
916_BTAF1_P1P2_ENSG00000095564,0.19503507058836003,BTAF1
2684_EPS8L1_P2_ENSG00000131037,0.1865467978914615,EPS8L1
8429_SRSF11_P1_ENSG00000116754,0.1861869352799563,SRSF11
2501_EFR3A_P1P2_ENSG00000132294,0.1855082151735091,EFR3A
7656_SARS2_P1P2_ENSG00000104835,0.18349341168571087,SARS2
4896_MCL1_P1P2_ENSG00000143384,0.18293279485769837,MCL1
"10585_ZNF718_ENST00000510175.1,ENST00000511079.1,ENST00000513304.1,ENST00000513889.1_ENSG00000250312",0.1824962612209526,ZNF718
2312_DNM1_P1P2_ENSG00000106976,0.18161999042272955,DNM1
11002_non-targeting_non-targeting_non-targeting,0.1805822619780389,non-targeting
