perturbation,spearman_rho,target_gene
510_ARL4D_P1P2_ENSG00000175906,0.1984210903644787,ARL4D
11133_non-targeting_non-targeting_non-targeting,0.1965365963797243,non-targeting
11175_non-targeting_non-targeting_non-targeting,0.1909963190228574,non-targeting
5224_MRPL41_P1P2_ENSG00000182154,0.185472737414502,MRPL41
10708_ZRSR2_P1P2_ENSG00000169249,0.18243765651536537,ZRSR2
5215_MRPL33_P1P2_ENSG00000243147,0.178905901960925,MRPL33
6081_PARS2_P1P2_ENSG00000162396,0.17488236798505738,PARS2
9512_UBE2M_P1P2_ENSG00000130725,0.17414124897229458,UBE2M
2108_DDX19B_P2_ENSG00000157349,0.17318779001949938,DDX19B
1768_COMTD1_P1P2_ENSG00000165644,0.17253184915963918,COMTD1
6885_PSMG3_P2_ENSG00000157778,0.17003570838081605,PSMG3
6879_PSME2_P1P2_ENSG00000100911,0.16831674632670854,PSME2
7781_SEPSECS_P1P2_ENSG00000109618,0.16771085936986624,SEPSECS
1146_CACNB3_P2_ENSG00000167535,0.16609917033991328,CACNB3
8654_TAF13_P1P2_ENSG00000197780,0.16591087416974432,TAF13
11240_non-targeting_non-targeting_non-targeting,0.16118444821128478,non-targeting
4301_KCTD10_P1P2_ENSG00000110906,0.15576721000691598,KCTD10
3378_GJA3_P1P2_ENSG00000121743,0.15481234927102258,GJA3
9635_USP14_P1P2_ENSG00000101557,0.15366621584992343,USP14
1288_CCDC6_P1P2_ENSG00000108091,0.15322554535778365,CCDC6
7670_SBNO1_P1P2_ENSG00000139697,0.1528125391606022,SBNO1
9974_ZBTB17_P1P2_ENSG00000116809,0.15221119968080776,ZBTB17
7656_SARS2_P1P2_ENSG00000104835,0.15055569432698843,SARS2
9147_TNNT2_P1P2_ENSG00000118194,0.14823085779796558,TNNT2
111_ACTR1B_P1P2_ENSG00000115073,0.1452434625083614,ACTR1B
10788_non-targeting_non-targeting_non-targeting,0.14326053855997248,non-targeting
2686_EPS8L1_P2_ENSG00000131037,0.14235918887449847,EPS8L1
3605_GYG1_P1P2_ENSG00000163754,0.14146809022822024,GYG1
2684_EPS8L1_P2_ENSG00000131037,0.14072359581082222,EPS8L1
2915_FAM229A_P1P2_ENSG00000225828,0.13874792237253802,FAM229A
6865_PSMD11_P1P2_ENSG00000108671,0.13789639104088916,PSMD11
5242_MRPS11_P1P2_ENSG00000181991,0.13659751662638706,MRPS11
3857_HNRNPA1_P1P2_ENSG00000135486,0.13533697281730817,HNRNPA1
5218_MRPL36_P1P2_ENSG00000171421,0.13530566325562557,MRPL36
2104_DDX17_P1P2_ENSG00000100201,0.1350870289965735,DDX17
7623_S100A1_P2_ENSG00000160678,0.134785342181658,S100A1
3878_HNRNPU_P1P2_ENSG00000153187,0.13418702385699646,HNRNPU
9840_WDR74_P2_ENSG00000133316,0.13375852187218978,WDR74
6877_PSMD9_P1P2_ENSG00000110801,0.13288655602491398,PSMD9
1332_CCNK_P2_ENSG00000090061,0.13276925086630026,CCNK
11165_non-targeting_non-targeting_non-targeting,0.13061011169725004,non-targeting
10544_ZNF676_ENST00000397121.2_ENSG00000196109,0.12834536167049387,ZNF676
378_AP2S1_P1P2_ENSG00000042753,0.12812663547930925,AP2S1
4508_LAMTOR4_P1P2_ENSG00000188186,0.12811537342922005,LAMTOR4
4360_KIAA1143_P1P2_ENSG00000163807,0.1280193053209285,KIAA1143
4628_LPA_P1P2_ENSG00000198670,0.12691507087887377,LPA
6845_PSMA5_P1P2_ENSG00000143106,0.12626481792554914,PSMA5
3548_GSDMA_P1P2_ENSG00000167914,0.12593746991739269,GSDMA
4976_MEPCE_P1P2_ENSG00000146834,0.12560184534908866,MEPCE
9655_USP39_P2_ENSG00000168883,0.1253148084895283,USP39
6868_PSMD14_P1P2_ENSG00000115233,0.12483221015310991,PSMD14
4330_KDM6A_P1P2_ENSG00000147050,0.1240317619259905,KDM6A
5217_MRPL35_P1P2_ENSG00000132313,0.12398783510359934,MRPL35
2207_DHX30_P1_ENSG00000132153,0.12350600278743076,DHX30
2312_DNM1_P1P2_ENSG00000106976,0.12320869402808528,DNM1
11085_non-targeting_non-targeting_non-targeting,0.12277474476935395,non-targeting
10023_ZC3H18_P1P2_ENSG00000158545,0.12215563036939142,ZC3H18
304_ANAPC15_P1P2_ENSG00000110200,0.12083340276756277,ANAPC15
5226_MRPL43_P1P2_ENSG00000055950,0.1207961307157718,MRPL43
6000_OTX1_P1P2_ENSG00000115507,0.1207140287721184,OTX1
"891_BRD4_ENST00000263377.2,ENST00000371835.4_ENSG00000141867",0.12008670403225152,BRD4
3021_FBXO42_P1P2_ENSG00000037637,0.11962510430476651,FBXO42
1920_CT45A5_P1P2_ENSG00000228836,0.11797833541432269,CT45A5
430_AQP7_P1P2_ENSG00000165269,0.1166785586580443,AQP7
7210_RCOR1_P1P2_ENSG00000089902,0.11629799504363068,RCOR1
8719_TBC1D3_ENST00000537432.1_ENSG00000274611,0.11623108712861317,TBC1D3
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0.1154959776635675,ZNF407
9218_TPT1_P1P2_ENSG00000133112,0.11495433464153001,TPT1
376_AP2M1_P2_ENSG00000161203,0.11481369060692434,AP2M1
5482_NBPF15_P1P2_ENSG00000266338,0.11436180027100429,NBPF15
6251_PGAM5_P1P2_ENSG00000247077,0.11388460385699395,PGAM5
6875_PSMD7_P1P2_ENSG00000103035,0.1138635683781815,PSMD7
8056_SLC35G2_P1P2_ENSG00000168917,0.11188853943520517,SLC35G2
8429_SRSF11_P1_ENSG00000116754,0.11171969091340038,SRSF11
3323_GCOM1_P1P2_ENSG00000137878,0.11148673003812963,GCOM1
4896_MCL1_P1P2_ENSG00000143384,0.1111783052528211,MCL1
1198_CASC3_P1P2_ENSG00000108349,0.11116796858818263,CASC3
3053_FDXR_P1P2_ENSG00000161513,0.11060887204459359,FDXR
6511_POGZ_P1P2_ENSG00000143442,0.1101783776390665,POGZ
2271_DNAAF3_P2_ENSG00000167646,0.11005298730408518,DNAAF3
2428_DYNLRB1_P2_ENSG00000125971,0.10935392736326259,DYNLRB1
3551_GSK3B_P1P2_ENSG00000082701,0.10858985806362763,GSK3B
3871_HNRNPL_P2_ENSG00000104824,0.10834377514989656,HNRNPL
8925_TIMM8A_P1P2_ENSG00000126953,0.10794527215624916,TIMM8A
10771_non-targeting_non-targeting_non-targeting,0.10744151705852145,non-targeting
5429_NAA35_P1P2_ENSG00000135040,0.10738780055555243,NAA35
3022_FBXO42_P1P2_ENSG00000037637,0.10695990571906208,FBXO42
10785_non-targeting_non-targeting_non-targeting,0.10671054211379219,non-targeting
11067_non-targeting_non-targeting_non-targeting,0.10600629928675073,non-targeting
2501_EFR3A_P1P2_ENSG00000132294,0.10535789929380149,EFR3A
9623_UROD_P1P2_ENSG00000126088,0.10524686540414402,UROD
11178_non-targeting_non-targeting_non-targeting,0.1050762624097403,non-targeting
6138_PCNX3_P1P2_ENSG00000197136,0.10394825732600496,PCNX3
1262_CCDC144NL_P2_ENSG00000205212,0.10307830355535127,CCDC144NL
5023_MFN2_P2_ENSG00000116688,0.10304272703286578,MFN2
454_ARGFX_P1P2_ENSG00000186103,0.10237946386354291,ARGFX
8422_SRPRB_P1P2_ENSG00000144867,0.10232481057456852,SRPRB
6874_PSMD6_P1P2_ENSG00000163636,0.10230209387778522,PSMD6
9673_USP5_P2_ENSG00000111667,0.10201188693632317,USP5
3616_H2AFZ_P1P2_ENSG00000164032,0.10115863570600078,H2AFZ
