contrast,threshold,n_degs,n_overlap,top_correlation,top_hit
H2O2_Stress,p < 0.05,5734,2816,0.296779707381906,SNIP1
H2O2_Stress,p < 0.01,3838,1813,0.32368675460563534,POLR3D
H2O2_Stress,FDR < 0.1,4933,2400,0.3076677401132509,SNIP1
H2O2_Stress,FDR < 0.05,3943,1866,0.32257273271763687,POLR3D
H2O2_Stress,Top 1000,1000,13,0.8901098901098902,ATF4
H2O2_Stress,Top 2000,2000,54,0.36740994854202397,POTEI
H2O2_Stress,Top 3000,3000,116,0.3707223311421212,RPL36AL
PRG4_Baseline,p < 0.05,4618,2868,0.21804448085722872,UBE2M
PRG4_Baseline,p < 0.01,2958,1901,0.23518898055437668,UBE2M
PRG4_Baseline,FDR < 0.1,3542,2256,0.22456721634624943,UBE2M
PRG4_Baseline,FDR < 0.05,2822,1812,0.23775130997210725,UBE2M
PRG4_Baseline,Top 1000,1000,54,0.42603392414713165,THRAP3
PRG4_Baseline,Top 2000,2000,151,0.33602997560125475,THRAP3
PRG4_Baseline,Top 3000,3000,365,0.29495857836302486,ARL4D
PRG4_Rescue,p < 0.05,5625,3671,0.1984210903644787,ARL4D
PRG4_Rescue,p < 0.01,3856,2648,0.2327173211719188,ARL4D
PRG4_Rescue,FDR < 0.1,4902,3274,0.2123351408530039,non-targeting
PRG4_Rescue,FDR < 0.05,3975,2712,0.2300140552396838,ARL4D
PRG4_Rescue,Top 1000,1000,43,0.49622470552703113,CCNK
PRG4_Rescue,Top 2000,2000,135,0.31784703931323777,CCNK
PRG4_Rescue,Top 3000,2999,304,0.28939788151111634,AP2M1
