Sample,Condition,Axis,Score
TS1,CTRL,Oxidative,-0.4852721840156225
TS1,CTRL,Inflammatory,-0.5108145064977654
TS1,CTRL,Senescence,-0.45719259029434833
TS11,PRG4,Oxidative,-0.20769192625527397
TS11,PRG4,Inflammatory,-0.4177469503551831
TS11,PRG4,Senescence,-0.1976735913743222
TS12,PRG4,Oxidative,-0.5074147732046087
TS12,PRG4,Inflammatory,-0.3749067462623764
TS12,PRG4,Senescence,-0.25599110948048415
TS13,H2O2+PRG4,Oxidative,0.5564837235243855
TS13,H2O2+PRG4,Inflammatory,0.467374721874582
TS13,H2O2+PRG4,Senescence,0.36901401279244156
TS15,H2O2+PRG4,Oxidative,0.8048645212693102
TS15,H2O2+PRG4,Inflammatory,0.6613867872703183
TS15,H2O2+PRG4,Senescence,0.5173075851752938
TS16,H2O2+PRG4,Oxidative,0.5643949464680685
TS16,H2O2+PRG4,Inflammatory,0.7238248066811169
TS16,H2O2+PRG4,Senescence,0.5663804842205777
TS2,CTRL,Oxidative,-0.3748420538573763
TS2,CTRL,Inflammatory,-0.47514024593333803
TS2,CTRL,Senescence,-0.3895505596612241
TS3,CTRL,Oxidative,-0.10078796645318414
TS3,CTRL,Inflammatory,-0.014658698650923438
TS3,CTRL,Senescence,-0.10535644254085937
TS5,H2O2,Oxidative,0.14775904380698013
TS5,H2O2,Inflammatory,-0.08725477265329151
TS5,H2O2,Senescence,-0.04341922309915455
TS6,H2O2,Oxidative,0.012866292627190218
TS6,H2O2,Inflammatory,-0.017322906470898233
TS6,H2O2,Senescence,-0.07354784035586263
TS7,H2O2,Oxidative,-0.2957790947586981
TS7,H2O2,Inflammatory,0.3841151476928018
TS7,H2O2,Senescence,0.15125840284326714
TS9,PRG4,Oxidative,-0.11458052915117042
TS9,PRG4,Inflammatory,-0.33885663669504296
TS9,PRG4,Senescence,-0.08122912822532508
