gene_symbol,ensembl_gene_id
A2M,ENSG00000175899
ABCA1,ENSG00000165029
ABI1,ENSG00000136754
ACKR3,ENSG00000144476
ACTN2,ENSG00000077522
ACVR1B,ENSG00000135503
ACVR2A,ENSG00000121989
ACVRL1,ENSG00000139567
ADAM9,ENSG00000168615
ADGRE1,ENSG00000174837
ADM,ENSG00000148926
ADORA2B,ENSG00000170425
ADRA2B,ENSG00000274286
ADRM1,ENSG00000130706
AHR,ENSG00000106546
AKAP10,ENSG00000108599
ANG,ENSG00000214274
ANXA5,ENSG00000164111
APLNR,ENSG00000134817
APOA4,ENSG00000110244
APOBEC3F,ENSG00000128394
APOBEC3G,ENSG00000239713
APOC1,ENSG00000130208
AQP9,ENSG00000103569
AREG,ENSG00000109321
ATF3,ENSG00000162772
ATOX1,ENSG00000177556
ATP2A2,ENSG00000174437
ATP2B1,ENSG00000070961
ATP2C1,ENSG00000017260
AXL,ENSG00000167601
B4GALT1,ENSG00000086062
B4GALT5,ENSG00000158470
BAK1,ENSG00000030110
BCL2A1,ENSG00000140379
BCL3,ENSG00000069399
BCL6,ENSG00000113916
BDKRB1,ENSG00000100739
BEST1,ENSG00000167995
BHLHE40,ENSG00000134107
BIRC2,ENSG00000110330
BIRC3,ENSG00000023445
BMP2,ENSG00000125845
BRPF3,ENSG00000096070
BST2,ENSG00000130303
BTG1,ENSG00000133639
BTG2,ENSG00000159388
BTG3,ENSG00000154640
C1QA,ENSG00000173372
C1QC,ENSG00000159189
C1R,ENSG00000159403
C1S,ENSG00000182326
C2,ENSG00000166278
C3,ENSG00000125730
C3AR1,ENSG00000171860
C4BPB,ENSG00000123843
C5AR1,ENSG00000197405
C9,ENSG00000113600
CA2,ENSG00000104267
CALCRL,ENSG00000064989
CALM1,ENSG00000198668
CALM3,ENSG00000160014
CASP1,ENSG00000137752
CASP10,ENSG00000003400
CASP3,ENSG00000164305
CASP4,ENSG00000196954
CASP5,ENSG00000137757
CASP7,ENSG00000165806
CASP9,ENSG00000132906
CBL,ENSG00000110395
CBLB,ENSG00000114423
CCL17,ENSG00000102970
CCL2,ENSG00000108691
CCL20,ENSG00000115009
CCL22,ENSG00000102962
CCL24,ENSG00000106178
CCL4,ENSG00000275302
CCL5,ENSG00000271503
CCL7,ENSG00000108688
CCN1,ENSG00000142871
CCND1,ENSG00000110092
CCNL1,ENSG00000163660
CCR1,ENSG00000163823
CCR7,ENSG00000126353
CCRL2,ENSG00000121797
CD14,ENSG00000170458
CD36,ENSG00000135218
CD38,ENSG00000004468
CD40,ENSG00000101017
CD40LG,ENSG00000102245
CD44,ENSG00000026508
CD46,ENSG00000117335
CD48,ENSG00000117091
CD55,ENSG00000196352
CD59,ENSG00000085063
CD69,ENSG00000110848
CD70,ENSG00000125726
CD80,ENSG00000121594
CD82,ENSG00000085117
CD83,ENSG00000112149
CD9,ENSG00000010278
CDA,ENSG00000158825
CDH13,ENSG00000140945
CDK5R1,ENSG00000176749
CDKN1A,ENSG00000124762
CEBPB,ENSG00000172216
CEBPD,ENSG00000221869
CFB,ENSG00000243649
CFH,ENSG00000000971
CFLAR,ENSG00000003402
CHST2,ENSG00000175040
CLCF1,ENSG00000175505
CLEC5A,ENSG00000258227
CLU,ENSG00000120885
CMKLR1,ENSG00000174600
CNTFR,ENSG00000122756
COL4A2,ENSG00000134871
CP,ENSG00000047457
CPM,ENSG00000135678
CPQ,ENSG00000104324
CR1,ENSG00000203710
CR2,ENSG00000117322
CRLF2,ENSG00000205755
CSF1,ENSG00000184371
CSF2,ENSG00000164400
CSF2RA,ENSG00000198223
CSF2RB,ENSG00000100368
CSF3,ENSG00000108342
CSF3R,ENSG00000119535
CSRP1,ENSG00000159176
CTSB,ENSG00000164733
CTSC,ENSG00000109861
CTSD,ENSG00000117984
CTSH,ENSG00000103811
CTSL,ENSG00000135047
CTSO,ENSG00000256043
CTSS,ENSG00000163131
CTSV,ENSG00000136943
CX3CL1,ENSG00000006210
CXCL1,ENSG00000163739
CXCL10,ENSG00000169245
CXCL11,ENSG00000169248
CXCL13,ENSG00000156234
CXCL2,ENSG00000081041
CXCL3,ENSG00000163734
CXCL6,ENSG00000124875
CXCL8,ENSG00000169429
CXCL9,ENSG00000138755
CXCR6,ENSG00000172215
CYBB,ENSG00000165168
DCBLD2,ENSG00000057019
DDX58,ENSG00000107201
DENND5A,ENSG00000184014
DGKG,ENSG00000058866
DGKH,ENSG00000102780
DNAJB4,ENSG00000162616
DNTT,ENSG00000107447
DOCK10,ENSG00000135905
DOCK4,ENSG00000128512
DOCK9,ENSG00000088387
DPP4,ENSG00000197635
DRAM1,ENSG00000136048
DUSP1,ENSG00000120129
DUSP2,ENSG00000158050
DUSP4,ENSG00000120875
DUSP5,ENSG00000138166
DUSP6,ENSG00000139318
DYRK2,ENSG00000127334
EBI3,ENSG00000105246
EDN1,ENSG00000078401
EFNA1,ENSG00000169242
EGR1,ENSG00000120738
EGR2,ENSG00000122877
EGR3,ENSG00000179388
EHD1,ENSG00000110047
EIF1,ENSG00000173812
EIF2AK2,ENSG00000055332
EMP3,ENSG00000142227
ERAP2,ENSG00000164308
EREG,ENSG00000124882
ETS2,ENSG00000157557
F10,ENSG00000126218
F2,ENSG00000180210
F2RL1,ENSG00000164251
F3,ENSG00000117525
F5,ENSG00000198734
F7,ENSG00000057593
F8,ENSG00000185010
FAS,ENSG00000026103
FCER1G,ENSG00000158869
FCN1,ENSG00000085265
FDX1,ENSG00000137714
FFAR2,ENSG00000126262
FJX1,ENSG00000179431
FN1,ENSG00000115414
FOS,ENSG00000170345
FOSB,ENSG00000125740
FOSL1,ENSG00000175592
FOSL2,ENSG00000075426
FPR1,ENSG00000171051
FUT4,ENSG00000196371
FYN,ENSG00000010810
FZD5,ENSG00000163251
G0S2,ENSG00000123689
GABBR1,ENSG00000204681
GADD45A,ENSG00000116717
GADD45B,ENSG00000099860
GATA3,ENSG00000107485
GCA,ENSG00000115271
GCH1,ENSG00000131979
GEM,ENSG00000164949
GFPT2,ENSG00000131459
GMFB,ENSG00000197045
GNA15,ENSG00000060558
GNAI2,ENSG00000114353
GNAI3,ENSG00000065135
GNB2,ENSG00000172354
GNB4,ENSG00000114450
GNG2,ENSG00000186469
GNGT2,ENSG00000167083
GP1BA,ENSG00000185245
GP9,ENSG00000169704
GPC3,ENSG00000147257
GPD2,ENSG00000115159
GPR132,ENSG00000183484
GPR183,ENSG00000169508
GRB2,ENSG00000177885
GZMA,ENSG00000145649
GZMB,ENSG00000100453
GZMK,ENSG00000113088
HAS2,ENSG00000170961
HAX1,ENSG00000143575
HBEGF,ENSG00000113070
HES1,ENSG00000114315
HIF1A,ENSG00000100644
HMOX1,ENSG00000100292
HNF4A,ENSG00000101076
HPCAL4,ENSG00000116983
HPN,ENSG00000105707
HRH1,ENSG00000196639
HSPA1A,ENSG00000204389
HSPA5,ENSG00000044574
ICAM1,ENSG00000090339
ICAM4,ENSG00000105371
ICOSLG,ENSG00000160223
ID2,ENSG00000115738
IER2,ENSG00000160888
IER3,ENSG00000137331
IER5,ENSG00000162783
IFIH1,ENSG00000115267
IFIT2,ENSG00000119922
IFITM1,ENSG00000185885
IFNAR1,ENSG00000142166
IFNGR1,ENSG00000027697
IFNGR2,ENSG00000159128
IL10,ENSG00000136634
IL10RA,ENSG00000110324
IL10RB,ENSG00000243646
IL12B,ENSG00000113302
IL12RB1,ENSG00000096996
IL13RA1,ENSG00000131724
IL15,ENSG00000164136
IL15RA,ENSG00000134470
IL17RA,ENSG00000177663
IL17RB,ENSG00000056736
IL18,ENSG00000150782
IL18R1,ENSG00000115604
IL18RAP,ENSG00000115607
IL1A,ENSG00000115008
IL1B,ENSG00000125538
IL1R1,ENSG00000115594
IL1R2,ENSG00000115590
IL23A,ENSG00000110944
IL2RA,ENSG00000134460
IL2RB,ENSG00000100385
IL2RG,ENSG00000147168
IL3RA,ENSG00000185291
IL4R,ENSG00000077238
IL6,ENSG00000136244
IL6ST,ENSG00000134352
IL7,ENSG00000104432
IL7R,ENSG00000168685
IL9R,ENSG00000124334
INHBA,ENSG00000122641
INHBE,ENSG00000139269
IRAK2,ENSG00000134070
IRF1,ENSG00000125347
IRF2,ENSG00000168310
IRF7,ENSG00000185507
IRF9,ENSG00000213928
IRS2,ENSG00000185950
ITGA4,ENSG00000115232
ITGA5,ENSG00000161638
ITGAM,ENSG00000169896
ITGB3,ENSG00000259207
ITGB8,ENSG00000105855
ITIH1,ENSG00000055957
JAG1,ENSG00000101384
JAK2,ENSG00000096968
JUN,ENSG00000177606
JUNB,ENSG00000171223
KCNA3,ENSG00000177272
KCNIP2,ENSG00000120049
KCNIP3,ENSG00000115041
KCNJ2,ENSG00000123700
KCNMB2,ENSG00000197584
KDM6B,ENSG00000132510
KIF1B,ENSG00000054523
KIF2A,ENSG00000068796
KLF10,ENSG00000155090
KLF2,ENSG00000127528
KLF4,ENSG00000136826
KLF6,ENSG00000067082
KLF9,ENSG00000119138
KLK1,ENSG00000167748
KLKB1,ENSG00000164344
KYNU,ENSG00000115919
L3MBTL4,ENSG00000154655
LAMB3,ENSG00000196878
LAMP2,ENSG00000005893
LAMP3,ENSG00000078081
LAP3,ENSG00000002549
LCK,ENSG00000182866
LCP2,ENSG00000043462
LDLR,ENSG00000130164
LEPR,ENSG00000116678
