gene_symbol,ensembl_gene_id
ABCB7,ENSG00000131269
ABCC1,ENSG00000103222
ACAA1,ENSG00000060971
ACAA2,ENSG00000167315
ACADM,ENSG00000117054
ACADSB,ENSG00000196177
ACADVL,ENSG00000072778
ACAT1,ENSG00000075239
ACO2,ENSG00000100412
AFG3L2,ENSG00000141385
AIFM1,ENSG00000156709
ALAS1,ENSG00000023330
ALDH6A1,ENSG00000119711
ATOX1,ENSG00000177556
ATP1B1,ENSG00000143153
ATP5F1A,ENSG00000152234
ATP5F1B,ENSG00000110955
ATP5F1C,ENSG00000165629
ATP5F1D,ENSG00000099624
ATP5F1E,ENSG00000124172
ATP5MC1,ENSG00000159199
ATP5MC2,ENSG00000135390
ATP5MC3,ENSG00000154518
ATP5ME,ENSG00000169020
ATP5MF,ENSG00000241468
ATP5MG,ENSG00000167283
ATP5PB,ENSG00000116459
ATP5PD,ENSG00000167863
ATP5PF,ENSG00000154723
ATP5PO,ENSG00000241837
ATP6AP1,ENSG00000071553
ATP6V0B,ENSG00000117410
ATP6V0C,ENSG00000185883
ATP6V0E1,ENSG00000113732
ATP6V1C1,ENSG00000155097
ATP6V1D,ENSG00000100554
ATP6V1E1,ENSG00000131100
ATP6V1F,ENSG00000128524
ATP6V1G1,ENSG00000136888
ATP6V1H,ENSG00000047249
BAX,ENSG00000087088
BCKDHA,ENSG00000248098
BDH2,ENSG00000164039
CASP7,ENSG00000165806
CAT,ENSG00000121691
CDKN2D,ENSG00000129355
COX10,ENSG00000006695
COX11,ENSG00000166260
COX15,ENSG00000014919
COX17,ENSG00000138495
COX4I1,ENSG00000131143
COX5A,ENSG00000178741
COX5B,ENSG00000135940
COX6A1,ENSG00000111775
COX6B1,ENSG00000126267
COX6C,ENSG00000164919
COX7A2,ENSG00000112695
COX7A2L,ENSG00000115944
COX7B,ENSG00000131174
COX7C,ENSG00000127184
COX8A,ENSG00000176340
CPT1A,ENSG00000110090
CS,ENSG00000062485
CYB5A,ENSG00000166347
CYB5R3,ENSG00000100243
CYC1,ENSG00000179091
CYCS,ENSG00000172115
DECR1,ENSG00000104325
DLAT,ENSG00000150768
DLD,ENSG00000091140
DLST,ENSG00000119689
ECH1,ENSG00000104823
ECHS1,ENSG00000127884
ECI1,ENSG00000167969
EGLN2,ENSG00000269858
ERCC2,ENSG00000104884
ETFA,ENSG00000140374
ETFB,ENSG00000105379
ETFDH,ENSG00000171503
FDX1,ENSG00000137714
FES,ENSG00000182511
FH,ENSG00000091483
FTL,ENSG00000087086
FXN,ENSG00000165060
G6PD,ENSG00000160211
GCLC,ENSG00000001084
GCLM,ENSG00000023909
GLRX,ENSG00000173221
GLRX2,ENSG00000023572
GLUD1,ENSG00000148672
GOT2,ENSG00000125166
GPI,ENSG00000105220
GPX3,ENSG00000211445
GPX4,ENSG00000167468
GRPEL1,ENSG00000109519
GSR,ENSG00000104687
HADHA,ENSG00000084754
HADHB,ENSG00000138029
HCCS,ENSG00000004961
HHEX,ENSG00000152804
HMOX2,ENSG00000103415
HSD17B10,ENSG00000072506
HSPA9,ENSG00000113013
HTRA2,ENSG00000115317
IDH1,ENSG00000138413
IDH2,ENSG00000182054
IDH3A,ENSG00000166411
IDH3B,ENSG00000101365
IDH3G,ENSG00000067829
IMMT,ENSG00000132305
IPCEF1,ENSG00000074706
ISCA1,ENSG00000135070
ISCU,ENSG00000136003
JUNB,ENSG00000171223
LAMTOR5,ENSG00000134248
LDHA,ENSG00000134333
LDHB,ENSG00000111716
LRPPRC,ENSG00000138095
LSP1,ENSG00000130592
MAOB,ENSG00000069535
MBP,ENSG00000197971
MDH1,ENSG00000014641
MDH2,ENSG00000146701
MFN2,ENSG00000116688
MGST1,ENSG00000008394
MGST3,ENSG00000143198
MPC1,ENSG00000060762
MPO,ENSG00000005381
MRPL11,ENSG00000174547
MRPL15,ENSG00000137547
MRPL34,ENSG00000130312
MRPL35,ENSG00000132313
MRPS11,ENSG00000181991
MRPS12,ENSG00000128626
MRPS15,ENSG00000116898
MRPS22,ENSG00000175110
MRPS30,ENSG00000112996
MSRA,ENSG00000175806
MTRF1,ENSG00000120662
MTRR,ENSG00000124275
MTX2,ENSG00000128654
NDUFA1,ENSG00000125356
NDUFA2,ENSG00000131495
NDUFA3,ENSG00000170906
NDUFA4,ENSG00000189043
NDUFA5,ENSG00000128609
NDUFA6,ENSG00000184983
NDUFA7,ENSG00000267855
NDUFA8,ENSG00000119421
NDUFA9,ENSG00000139180
NDUFAB1,ENSG00000004779
NDUFB1,ENSG00000183648
NDUFB2,ENSG00000090266
NDUFB3,ENSG00000119013
NDUFB4,ENSG00000065518
NDUFB5,ENSG00000136521
NDUFB6,ENSG00000165264
NDUFB7,ENSG00000099795
NDUFB8,ENSG00000166136
NDUFC1,ENSG00000109390
NDUFC2,ENSG00000151366
NDUFS1,ENSG00000023228
NDUFS2,ENSG00000158864
NDUFS3,ENSG00000213619
NDUFS4,ENSG00000164258
NDUFS6,ENSG00000145494
NDUFS7,ENSG00000115286
NDUFS8,ENSG00000110717
NDUFV1,ENSG00000167792
NDUFV2,ENSG00000178127
NNT,ENSG00000112992
NQO1,ENSG00000181019
NQO2,ENSG00000124588
OAT,ENSG00000065154
OGDH,ENSG00000105953
OPA1,ENSG00000198836
OXA1L,ENSG00000155463
OXSR1,ENSG00000172939
PDHA1,ENSG00000131828
PDHB,ENSG00000168291
PDHX,ENSG00000110435
PDK4,ENSG00000004799
PDLIM1,ENSG00000107438
PDP1,ENSG00000164951
PFKP,ENSG00000067057
PHB2,ENSG00000215021
PHYH,ENSG00000107537
PMPCA,ENSG00000165688
POLR2F,ENSG00000100142
POR,ENSG00000127948
PRDX1,ENSG00000117450
PRDX2,ENSG00000167815
PRDX3,ENSG00000165672
PRDX4,ENSG00000123131
PRDX6,ENSG00000117592
PRNP,ENSG00000171867
PTPA,ENSG00000119383
RETSAT,ENSG00000042445
RHOT1,ENSG00000126858
RHOT2,ENSG00000140983
SBNO2,ENSG00000064932
SCAF4,ENSG00000156304
SDHA,ENSG00000073578
SDHB,ENSG00000117118
SDHC,ENSG00000143252
SDHD,ENSG00000204370
SELENOS,ENSG00000131871
SLC25A11,ENSG00000108528
SLC25A12,ENSG00000115840
SLC25A20,ENSG00000178537
SLC25A3,ENSG00000075415
SLC25A4,ENSG00000151729
SLC25A5,ENSG00000005022
SLC25A6,ENSG00000169100
SOD1,ENSG00000142168
SRXN1,ENSG00000271303
STK25,ENSG00000115694
SUCLA2,ENSG00000136143
SUCLG1,ENSG00000163541
SUPV3L1,ENSG00000156502
SURF1,ENSG00000148290
TCIRG1,ENSG00000110719
TIMM10,ENSG00000134809
TIMM13,ENSG00000099800
TIMM17A,ENSG00000134375
TIMM50,ENSG00000105197
TIMM8B,ENSG00000150779
TIMM9,ENSG00000100575
TOMM22,ENSG00000100216
TOMM70,ENSG00000154174
TXN,ENSG00000136810
TXNRD1,ENSG00000198431
TXNRD2,ENSG00000184470
UQCR10,ENSG00000184076
UQCR11,ENSG00000127540
UQCRB,ENSG00000156467
UQCRC1,ENSG00000010256
UQCRC2,ENSG00000140740
UQCRFS1,ENSG00000169021
UQCRH,ENSG00000173660
UQCRQ,ENSG00000164405
VDAC1,ENSG00000213585
VDAC2,ENSG00000165637
VDAC3,ENSG00000078668
