gene_symbol,ensembl_gene_id
ACVR1B,ENSG00000135503
AMH,ENSG00000104899
ANAPC1,ENSG00000153107
ANAPC10,ENSG00000164162
ANAPC11,ENSG00000141552
ANAPC15,ENSG00000110200
ANAPC16,ENSG00000166295
ANAPC2,ENSG00000176248
ANAPC4,ENSG00000053900
ANAPC5,ENSG00000089053
ANAPC7,ENSG00000196510
ANG,ENSG00000214274
ANGPT1,ENSG00000154188
ANGPTL4,ENSG00000167772
AREG,ENSG00000109321
AXL,ENSG00000167601
BEX3,ENSG00000166681
BMP2,ENSG00000125845
BMP6,ENSG00000153162
C3,ENSG00000125730
CCL1,ENSG00000108702
CCL13,ENSG00000181374
CCL16,ENSG00000275152
CCL2,ENSG00000108691
CCL20,ENSG00000115009
CCL24,ENSG00000106178
CCL26,ENSG00000006606
CCL3,ENSG00000277632
CCL3L1,ENSG00000276085
CCL4,ENSG00000275302
CCL5,ENSG00000271503
CCL7,ENSG00000108688
CCL8,ENSG00000108700
CCNA1,ENSG00000133101
CCNA2,ENSG00000145386
CD55,ENSG00000196352
CD9,ENSG00000010278
CDC16,ENSG00000130177
CDC23,ENSG00000094880
CDC26,ENSG00000176386
CDC27,ENSG00000004897
CDK2,ENSG00000123374
CDK4,ENSG00000135446
CDK6,ENSG00000105810
CDKN1A,ENSG00000124762
CDKN1B,ENSG00000111276
CDKN2A,ENSG00000147889
CDKN2B,ENSG00000147883
CDKN2C,ENSG00000123080
CDKN2D,ENSG00000129355
CEBPB,ENSG00000172216
CSF1,ENSG00000184371
CSF2,ENSG00000164400
CSF2RB,ENSG00000100368
CST4,ENSG00000101441
CTNNB1,ENSG00000168036
CTSB,ENSG00000164733
CXCL1,ENSG00000163739
CXCL10,ENSG00000169245
CXCL12,ENSG00000107562
CXCL16,ENSG00000161921
CXCL2,ENSG00000081041
CXCL3,ENSG00000163734
CXCL8,ENSG00000169429
CXCR2,ENSG00000180871
DKK1,ENSG00000107984
EDN1,ENSG00000078401
EGF,ENSG00000138798
EGFR,ENSG00000146648
EHMT1,ENSG00000181090
EHMT2,ENSG00000204371
EREG,ENSG00000124882
ESM1,ENSG00000164283
ETS2,ENSG00000157557
FAS,ENSG00000026103
FBXO5,ENSG00000112029
FGF1,ENSG00000113578
FGF2,ENSG00000138685
FGF7,ENSG00000140285
FOS,ENSG00000170345
FZR1,ENSG00000105325
GDF15,ENSG00000130513
GEM,ENSG00000164949
GLB1,ENSG00000170266
GMFG,ENSG00000130755
H2AB1,ENSG00000274183
H2AC14,ENSG00000276368
H2AC18,ENSG00000288825
H2AC19,ENSG00000288859
H2AC20,ENSG00000184260
H2AC4,ENSG00000278463
H2AC6,ENSG00000180573
H2AC7,ENSG00000196866
H2AC8,ENSG00000277075
H2AJ,ENSG00000246705
H2AX,ENSG00000188486
H2AZ2,ENSG00000105968
H2BC1,ENSG00000146047
H2BC10,ENSG00000278588
