Perturbation,Gene_Target,Axis_Score
1583_CHMP3_P1P2_ENSG00000115561,CHMP3,0.9692868
3291_GATA1_P1P2_ENSG00000102145,GATA1,0.8731155
9747_VPS28_P1P2_ENSG00000160948,VPS28,0.63717216
1716_CNOT1_P1P2_ENSG00000125107,CNOT1,0.5453729
9341_TSG101_P1P2_ENSG00000074319,TSG101,0.5246927
4147_INTS2_P1P2_ENSG00000108506,INTS2,0.48244798
1581_CHMP2A_P1P2_ENSG00000130724,CHMP2A,0.42936653
6870_PSMD2_P1P2_ENSG00000175166,PSMD2,0.37730148
8599_SUPT6H_P1P2_ENSG00000109111,SUPT6H,0.36404073
2541_EIF2S1_P1P2_ENSG00000134001,EIF2S1,0.3547446
4153_INTS8_P1P2_ENSG00000164941,INTS8,0.34295723
4932_MED12_P1P2_ENSG00000184634,MED12,0.31822124
6861_PSMC4_P1P2_ENSG00000013275,PSMC4,0.3070797
4953_MED30_P1P2_ENSG00000164758,MED30,0.29802293
1588_CHMP6_P1P2_ENSG00000176108,CHMP6,0.29382193
6868_PSMD14_P1P2_ENSG00000115233,PSMD14,0.29307163
4150_INTS5_P1P2_ENSG00000185085,INTS5,0.28725812
7439_RPL15_P1P2_ENSG00000174748,RPL15,0.2789161
4959_MED9_P1P2_ENSG00000141026,MED9,0.27815247
6581_POT1_P1P2_ENSG00000128513,POT1,0.27411896
6855_PSMB6_P1_ENSG00000142507,PSMB6,0.27408776
6875_PSMD7_P1P2_ENSG00000103035,PSMD7,0.27332577
6276_PHB_P1P2_ENSG00000167085,PHB,0.27279133
431_AQR_P1P2_ENSG00000021776,AQR,0.2701977
1788_COPZ1_P1_ENSG00000111481,COPZ1,0.27018392
2543_EIF2S3_P1P2_ENSG00000130741,EIF2S3,0.26411858
4957_MED7_P1P2_ENSG00000155868,MED7,0.26201952
3980_HSPA9_P1P2_ENSG00000113013,HSPA9,0.2603282
6857_PSMC1_P1P2_ENSG00000100764,PSMC1,0.2582045
6874_PSMD6_P1P2_ENSG00000163636,PSMD6,0.24795692
4939_MED17_P1P2_ENSG00000042429,MED17,0.24066214
1771_COPB1_P1P2_ENSG00000129083,COPB1,0.2326246
2858_FAM136A_P1P2_ENSG00000035141,FAM136A,0.23181884
8216_SNRNP200_P1P2_ENSG00000144028,SNRNP200,0.22823656
4955_MED4_P1P2_ENSG00000136146,MED4,0.22573546
4944_MED21_P1P2_ENSG00000152944,MED21,0.22553745
8332_SPC25_P1P2_ENSG00000152253,SPC25,0.22266524
