Perturbation,Gene_Target,Axis_Score
7477_RPL7A_P1P2_ENSG00000148303,RPL7A,0.24322577
7441_RPL17_P1P2_ENSG00000265681,RPL17,0.22000654
9443_TWISTNB_P1P2_ENSG00000105849,TWISTNB,0.19560069
7449_RPL23A_P1P2_ENSG00000198242,RPL23A,0.18834682
7450_RPL23_P1P2_ENSG00000125691,RPL23,0.18619986
7459_RPL31_P1P2_ENSG00000071082,RPL31,0.18294212
7454_RPL27A_P1P2_ENSG00000166441,RPL27A,0.17797168
6534_POLR1B_P1P2_ENSG00000125630,POLR1B,0.17532642
7466_RPL36_P1P2_ENSG00000130255,RPL36,0.17076743
7453_RPL26_P1P2_ENSG00000161970,RPL26,0.16573633
9682_UTP15_P1P2_ENSG00000164338,UTP15,0.16479415
7444_RPL19_P1P2_ENSG00000108298,RPL19,0.16267084
7476_RPL6_P1P2_ENSG00000089009,RPL6,0.16092168
9482_UBA52_P1_ENSG00000221983,UBA52,0.16068101
3677_HEATR1_P1P2_ENSG00000119285,HEATR1,0.16000278
6704_PPRC1_P1P2_ENSG00000148840,PPRC1,0.1554182
7559_RRN3_P1P2_ENSG00000085721,RRN3,0.1544753
2988_FBL_P1P2_ENSG00000105202,FBL,0.15295477
7439_RPL15_P1P2_ENSG00000174748,RPL15,0.15215585
7438_RPL14_P1P2_ENSG00000188846,RPL14,0.15103287
7455_RPL27_P1P2_ENSG00000131469,RPL27,0.1501494
5733_NOL11_P1P2_ENSG00000130935,NOL11,0.14848611
7536_RPS6_P1P2_ENSG00000137154,RPS6,0.1482858
10231_ZNF236_P1P2_ENSG00000130856,ZNF236,0.1447251
9820_WDR43_P1P2_ENSG00000163811,WDR43,0.1446716
7461_RPL34_P1P2_ENSG00000109475,RPL34,0.14446889
7526_RPS4X_P1P2_ENSG00000198034,RPS4X,0.14271277
7443_RPL18_P1P2_ENSG00000063177,RPL18,0.14268278
6533_POLR1A_P1P2_ENSG00000068654,POLR1A,0.14227755
7481_RPL9_P1P2_ENSG00000163682,RPL9,0.14222729
7507_RPS18_P1P2_ENSG00000231500,RPS18,0.14081888
7513_RPS24_P1P2_ENSG00000138326,RPS24,0.14019066
1701_CMTR1_P1P2_ENSG00000137200,CMTR1,0.13930629
9686_UTP3_P1P2_ENSG00000132467,UTP3,0.13871759
7480_RPL8_P1P2_ENSG00000161016,RPL8,0.13826923
7432_RPL10_P1P2_ENSG00000147403,RPL10,0.13740171
7474_RPL4_P1P2_ENSG00000174444,RPL4,0.1369102
7458_RPL30_P1P2_ENSG00000156482,RPL30,0.13541412
7501_RPS13_P1P2_ENSG00000110700,RPS13,0.13438985
7469_RPL38_P1P2_ENSG00000172809,RPL38,0.13323498
7515_RPS26_P1P2_ENSG00000197728,RPS26,0.13180359
7538_RPS8_P1P2_ENSG00000142937,RPS8,0.13106556
7463_RPL35_P1P2_ENSG00000136942,RPL35,0.13093415
9841_WDR75_P1P2_ENSG00000115368,WDR75,0.13015977
7499_RPS11_P1P2_ENSG00000142534,RPS11,0.12939039
7509_RPS19_P1P2_ENSG00000105372,RPS19,0.12807897
4108_IMP4_P1P2_ENSG00000136718,IMP4,0.1279907
7445_RPL21_P1P2_ENSG00000122026,RPL21,0.12794454
7512_RPS23_P1P2_ENSG00000186468,RPS23,0.12747122
2124_DDX47_P1P2_ENSG00000213782,DDX47,0.12703562
7462_RPL35A_P1P2_ENSG00000182899,RPL35A,0.12687096
10703_ZNRD1_P1P2_ENSG00000066379,ZNRD1,0.12677203
5748_NOP2_P1P2_ENSG00000111641,NOP2,0.1265251
7527_RPS5_P1P2_ENSG00000083845,RPS5,0.12621108
7525_RPS3_P1_ENSG00000149273,RPS3,0.12525083
7504_RPS15_P1P2_ENSG00000115268,RPS15,0.12514164
7537_RPS7_P1P2_ENSG00000171863,RPS7,0.12506297
7508_RPS19BP1_P1P2_ENSG00000187051,RPS19BP1,0.12423887
7467_RPL37A_P1P2_ENSG00000197756,RPL37A,0.12317989
7516_RPS27A_P1P2_ENSG00000143947,RPS27A,0.12317063
7479_RPL7_P1P2_ENSG00000147604,RPL7,0.121895194
7475_RPL5_P1P2_ENSG00000122406,RPL5,0.1217895
7505_RPS16_P1P2_ENSG00000105193,RPS16,0.12101052
6536_POLR1C_P1_ENSG00000171453,POLR1C,0.11980969
5163_MPHOSPH10_P1P2_ENSG00000124383,MPHOSPH10,0.119716026
5735_NOL6_P1P2_ENSG00000165271,NOL6,0.118667684
7451_RPL24_P1P2_ENSG00000114391,RPL24,0.11667972
10040_ZCCHC9_P1P2_ENSG00000131732,ZCCHC9,0.11634374
7243_REXO2_P1P2_ENSG00000076043,REXO2,0.11621929
7433_RPL11_P1P2_ENSG00000142676,RPL11,0.11611447
7518_RPS27_P1P2_ENSG00000177954,RPS27,0.115615234
9684_UTP20_P1P2_ENSG00000120800,UTP20,0.11520623
9366_TSR2_P1P2_ENSG00000158526,TSR2,0.11492323
7437_RPL13_P1P2_ENSG00000167526,RPL13,0.11297031
6152_PDCD11_P1P2_ENSG00000148843,PDCD11,0.11176565
6565_POLRMT_P1P2_ENSG00000099821,POLRMT,0.11076692
7500_RPS12_P1P2_ENSG00000112306,RPS12,0.11059759
2321_DNTTIP2_P1P2_ENSG00000067334,DNTTIP2,0.11010921
8738_TBL3_P1P2_ENSG00000183751,TBL3,0.10924529
3042_FCF1_P1P2_ENSG00000119616,FCF1,0.108969375
7460_RPL32_P1P2_ENSG00000144713,RPL32,0.108968005
6493_PNO1_P1P2_ENSG00000115946,PNO1,0.10807843
1083_NEPRO_P1P2_ENSG00000163608,NEPRO,0.10786954
7487_RPP14_P1P2_ENSG00000163684,RPP14,0.10725075
4470_KRI1_P1P2_ENSG00000129347,KRI1,0.10671272
4653_LRPPRC_P1P2_ENSG00000138095,LRPPRC,0.10590027
9687_UTP6_P1P2_ENSG00000108651,UTP6,0.10486172
8811_TEFM_P1P2_ENSG00000172171,TEFM,0.10483426
5470_NAT10_P1P2_ENSG00000135372,NAT10,0.104002394
2731_ESF1_P1_ENSG00000089048,ESF1,0.103613056
7312_RIOK2_P1P2_ENSG00000058729,RIOK2,0.10347921
7497_RPS10-NUDT3_P1P2_ENSG00000270800,RPS10-NUDT3,0.10324111
2983_FAU_P1P2_ENSG00000149806,FAU,0.1029872
7561_RRP12_P1P2_ENSG00000052749,RRP12,0.10189549
8599_SUPT6H_P1P2_ENSG00000109111,SUPT6H,0.1018054
2105_DDX18_P1P2_ENSG00000088205,DDX18,0.10151715
7206_RCL1_P1P2_ENSG00000120158,RCL1,0.100447595
4713_LTV1_P1P2_ENSG00000135521,LTV1,0.10025018
32_ABCE1_P1P2_ENSG00000164163,ABCE1,0.100094676
5746_NOP14_P1P2_ENSG00000087269,NOP14,0.09995987
7539_RPS9_P1P2_ENSG00000170889,RPS9,0.099631645
8405_SRFBP1_P1P2_ENSG00000151304,SRFBP1,0.09712161
6963_PWP2_P1P2_ENSG00000241945,PWP2,0.09703876
4472_KRR1_P1P2_ENSG00000111615,KRR1,0.09675644
9364_TSR1_P1_ENSG00000167721,TSR1,0.09670209
7503_RPS15A_P1P2_ENSG00000134419,RPS15A,0.09564463
7506_RPS17_ENST00000330339.7_ENSG00000182774,RPS17,0.09445413
7471_RPL39_P1P2_ENSG00000198918,RPL39,0.09415472
7311_RIOK1_P1P2_ENSG00000124784,RIOK1,0.09394945
4945_MED22_P1P2_ENSG00000148297,MED22,0.09374984
6576_POP5_P1P2_ENSG00000167272,POP5,0.09343799
10702_ZNHIT6_P1P2_ENSG00000117174,ZNHIT6,0.09311979
2213_DHX37_P1P2_ENSG00000150990,DHX37,0.09281373
6574_POP1_P1P2_ENSG00000104356,POP1,0.09256306
2226_DIMT1_P1P2_ENSG00000086189,DIMT1,0.09234419
7498_RPS10_P1P2_ENSG00000124614,RPS10,0.09232243
9816_WDR36_P1P2_ENSG00000134987,WDR36,0.08980554
9818_WDR3_P1P2_ENSG00000065183,WDR3,0.08959714
8668_TAF6_P1P2_ENSG00000106290,TAF6,0.0895553
2113_DDX24_P1P2_ENSG00000089737,DDX24,0.08936448
9824_WDR46_P1P2_ENSG00000227057,WDR46,0.08935839
7540_RPSA_P1P2_ENSG00000168028,RPSA,0.088015236
7491_RPP30_P1P2_ENSG00000148688,RPP30,0.0880085
7521_RPS29_P1_ENSG00000213741,RPS29,0.08778885
2490_EEF2_P1_ENSG00000167658,EEF2,0.08778878
7502_RPS14_P1P2_ENSG00000164587,RPS14,0.08753128
7519_RPS28_P1P2_ENSG00000233927,RPS28,0.08739074
2235_DKC1_P1P2_ENSG00000130826,DKC1,0.08699747
8832_TFAM_P1P2_ENSG00000108064,TFAM,0.086000144
1979_CXXC1_P1P2_ENSG00000154832,CXXC1,0.08595014
5089_NIFK_P1P2_ENSG00000155438,NIFK,0.085217156
7510_RPS20_P1P2_ENSG00000008988,RPS20,0.08491537
2102_DDX10_P1P2_ENSG00000178105,DDX10,0.08411269
7493_RPP40_P1P2_ENSG00000124787,RPP40,0.083558284
16_AATF_P1P2_ENSG00000275700,AATF,0.083351165
7431_RPL10A_P1P2_ENSG00000198755,RPL10A,0.0829596
8597_SUPT4H1_P1P2_ENSG00000213246,SUPT4H1,0.082157955
7568_RRP9_P1P2_ENSG00000114767,RRP9,0.081925415
7511_RPS21_P1P2_ENSG00000171858,RPS21,0.08176909
6539_POLR1E_P1P2_ENSG00000137054,POLR1E,0.08011438
7523_RPS3A_P1P2_ENSG00000145425,RPS3A,0.07935067
6221_PET117_P1P2_ENSG00000232838,PET117,0.07913672
2128_DDX52_P1P2_ENSG00000278053,DDX52,0.07869685
6575_POP4_P1P2_ENSG00000105171,POP4,0.07851176
9685_UTP23_P1P2_ENSG00000147679,UTP23,0.07799998
5448_NAE1_P1P2_ENSG00000159593,NAE1,0.07796987
9683_UTP18_P1P2_ENSG00000011260,UTP18,0.0777046
5588_NEDD8_P1P2_ENSG00000129559,NEDD8,0.077633165
2111_DDX21_P1P2_ENSG00000165732,DDX21,0.076589845
2132_DDX56_P1P2_ENSG00000136271,DDX56,0.0765835
859_BMS1_P1P2_ENSG00000165733,BMS1,0.07530203
8660_TAF1D_P1_ENSG00000166012,TAF1D,0.0752807
6887_PSMG4_P1P2_ENSG00000180822,PSMG4,0.074475676
7484_RPLP2_P1P2_ENSG00000177600,RPLP2,0.07383401
5750_NOP58_P1P2_ENSG00000055044,NOP58,0.07328217
9925_YEATS2_P1P2_ENSG00000163872,YEATS2,0.07318422
8446_SSBP1_P1P2_ENSG00000106028,SSBP1,0.073125444
7522_RPS2_P1P2_ENSG00000140988,RPS2,0.07280486
3445_GNL2_P1P2_ENSG00000134697,GNL2,0.07214109
5731_NOC4L_P1P2_ENSG00000184967,NOC4L,0.071913
7169_RBM28_P1P2_ENSG00000106344,RBM28,0.07183992
6860_PSMC3_P1P2_ENSG00000165916,PSMC3,0.07145358
7482_RPLP0_P1P2_ENSG00000089157,RPLP0,0.07144557
9303_TRMT112_P1P2_ENSG00000173113,TRMT112,0.07096768
9839_WDR74_P1_ENSG00000133316,WDR74,0.07027907
3566_GTF2A1_P1P2_ENSG00000165417,GTF2A1,0.069947
62_ABT1_P1P2_ENSG00000146109,ABT1,0.0697417
7442_RPL18A_P1P2_ENSG00000105640,RPL18A,0.06924364
