Perturbation,Gene_Target,Axis_Score
8651_TAF10_P1P2_ENSG00000166337,TAF10,0.42809623
1716_CNOT1_P1P2_ENSG00000125107,CNOT1,0.26963848
3291_GATA1_P1P2_ENSG00000102145,GATA1,0.25745755
1583_CHMP3_P1P2_ENSG00000115561,CHMP3,0.2309333
8599_SUPT6H_P1P2_ENSG00000109111,SUPT6H,0.21573874
4940_MED18_P1P2_ENSG00000130772,MED18,0.21151268
5494_NCBP2_P1P2_ENSG00000114503,NCBP2,0.20298865
8426_SRRT_P1P2_ENSG00000087087,SRRT,0.1958539
2313_DNM2_P1P2_ENSG00000079805,DNM2,0.19386026
5493_NCBP1_P1P2_ENSG00000136937,NCBP1,0.18989295
1701_CMTR1_P1P2_ENSG00000137200,CMTR1,0.18075185
8598_SUPT5H_P1P2_ENSG00000196235,SUPT5H,0.1769394
8661_TAF1_P1P2_ENSG00000147133,TAF1,0.17600895
7455_RPL27_P1P2_ENSG00000131469,RPL27,0.17388892
4953_MED30_P1P2_ENSG00000164758,MED30,0.17298706
7403_RNMT_P1P2_ENSG00000101654,RNMT,0.1684247
4955_MED4_P1P2_ENSG00000136146,MED4,0.16698232
8666_TAF5_P1P2_ENSG00000148835,TAF5,0.15336196
4945_MED22_P1P2_ENSG00000148297,MED22,0.1505223
8669_TAF7_P1P2_ENSG00000178913,TAF7,0.14937286
9855_WDTC1_P1P2_ENSG00000142784,WDTC1,0.14906283
4951_MED28_P1P2_ENSG00000118579,MED28,0.14901656
4956_MED6_P1P2_ENSG00000133997,MED6,0.14886692
8653_TAF12_P1P2_ENSG00000120656,TAF12,0.14456265
9847_WDR82_P1P2_ENSG00000164091,WDR82,0.14439285
4942_MED1_P1P2_ENSG00000125686,MED1,0.14344564
8157_SMC3_P1P2_ENSG00000108055,SMC3,0.14205952
2793_EXOSC6_P1P2_ENSG00000223496,EXOSC6,0.1403392
6549_POLR2H_P1P2_ENSG00000163882,POLR2H,0.13969061
9831_WDR5_P1P2_ENSG00000196363,WDR5,0.13950598
2658_EP400_P1P2_ENSG00000183495,EP400,0.13893409
6870_PSMD2_P1P2_ENSG00000175166,PSMD2,0.13857894
6542_POLR2C_P1P2_ENSG00000102978,POLR2C,0.13846958
8229_SNRPD2_P1P2_ENSG00000125743,SNRPD2,0.13774984
2790_EXOSC3_P1P2_ENSG00000107371,EXOSC3,0.13669428
7950_SLBP_P1P2_ENSG00000163950,SLBP,0.13400422
4957_MED7_P1P2_ENSG00000155868,MED7,0.13339236
4944_MED21_P1P2_ENSG00000152944,MED21,0.1314938
4932_MED12_P1P2_ENSG00000184634,MED12,0.130684
4686_LSM11_P1P2_ENSG00000155858,LSM11,0.13036421
2789_EXOSC2_P1P2_ENSG00000130713,EXOSC2,0.12978789
4943_MED20_P1P2_ENSG00000124641,MED20,0.12895808
9747_VPS28_P1P2_ENSG00000160948,VPS28,0.12837675
2541_EIF2S1_P1P2_ENSG00000134001,EIF2S1,0.12826417
3566_GTF2A1_P1P2_ENSG00000165417,GTF2A1,0.1275871
1544_CHAF1A_P1P2_ENSG00000167670,CHAF1A,0.12714693
6541_POLR2B_P1P2_ENSG00000047315,POLR2B,0.12690018
4959_MED9_P1P2_ENSG00000141026,MED9,0.12681094
1410_CDC73_P1P2_ENSG00000134371,CDC73,0.12666902
4271_KANSL2_P1P2_ENSG00000139620,KANSL2,0.12589873
4939_MED17_P1P2_ENSG00000042429,MED17,0.12556452
893_BRD8_P1P2_ENSG00000112983,BRD8,0.12467793
2251_DMAP1_P1P2_ENSG00000178028,DMAP1,0.12446074
1545_CHAF1B_P1P2_ENSG00000159259,CHAF1B,0.122665
1581_CHMP2A_P1P2_ENSG00000130724,CHMP2A,0.12057791
4685_LSM10_P1P2_ENSG00000181817,LSM10,0.118460596
5732_NOL10_P1P2_ENSG00000115761,NOL10,0.1178547
8433_SRSF3_P1P2_ENSG00000112081,SRSF3,0.116557166
