Perturbation,Gene_Target,Axis_Score
1421_CDK11A_P1P2_ENSG00000008128,CDK11A,inf
8609_SUV39H2_P1P2_ENSG00000152455,SUV39H2,inf
8080_SLC39A9_P1P2_ENSG00000029364,SLC39A9,inf
3770_HIST1H2BN_P1P2_ENSG00000233822,HIST1H2BN,inf
982_C14orf93_P2_ENSG00000100802,C14orf93,inf
5490_NCAPG_P1P2_ENSG00000109805,NCAPG,inf
9088_TMEM63A_P2_ENSG00000196187,TMEM63A,inf
9048_TMEM223_P1P2_ENSG00000168569,TMEM223,inf
7100_RAP1A_P1P2_ENSG00000116473,RAP1A,inf
4360_KIAA1143_P1P2_ENSG00000163807,KIAA1143,inf
2599_ELOF1_P1P2_ENSG00000130165,ELOF1,inf
9955_YWHAQ_P1P2_ENSG00000134308,YWHAQ,inf
3296_GATA5_P1P2_ENSG00000130700,GATA5,inf
7118_RASA1_P1_ENSG00000145715,RASA1,inf
3310_GBX1_P2_ENSG00000164900,GBX1,inf
8940_TK1_P1P2_ENSG00000167900,TK1,inf
8954_TM2D3_P1P2_ENSG00000184277,TM2D3,inf
7336_RNF10_P1P2_ENSG00000022840,RNF10,inf
5727_NOBOX_ENST00000483238.1_ENSG00000106410,NOBOX,inf
3787_HIST2H2AC_P1P2_ENSG00000184260,HIST2H2AC,inf
5739_NOLC1_P1P2_ENSG00000166197,NOLC1,inf
1314_CCM2_P1P2_ENSG00000136280,CCM2,inf
5822_NSD1_P1P2_ENSG00000165671,NSD1,inf
580_ASH1L_P1P2_ENSG00000116539,ASH1L,inf
9692_VAC14_P1P2_ENSG00000103043,VAC14,inf
5476_NBAS_P1P2_ENSG00000151779,NBAS,inf
8258_SNX6_P1P2_ENSG00000129515,SNX6,inf
2598_ELMSAN1_P2_ENSG00000156030,ELMSAN1,inf
842_BLMH_P1P2_ENSG00000108578,BLMH,inf
3589_GTF3C6_P1P2_ENSG00000155115,GTF3C6,inf
9734_VMP1_P1P2_ENSG00000062716,VMP1,inf
5893_NUP214_P1P2_ENSG00000126883,NUP214,inf
9536_UBL7_P1_ENSG00000138629,UBL7,inf
5813_NRIP1_P1P2_ENSG00000180530,NRIP1,inf
1616_CIRBP_P1P2_ENSG00000099622,CIRBP,inf
2521_EHMT2_P1P2_ENSG00000204371,EHMT2,inf
2727_ESCO1_P1P2_ENSG00000141446,ESCO1,inf
5674_NIPA1_P1P2_ENSG00000170113,NIPA1,inf
136_ADAR_P1_ENSG00000160710,ADAR,inf
5672_NIN_P1P2_ENSG00000100503,NIN,inf
9722_VEZT_P1P2_ENSG00000028203,VEZT,inf
5938_OLIG2_P1P2_ENSG00000205927,OLIG2,inf
4968_MEIS3_P2_ENSG00000105419,MEIS3,inf
1337_CCNT1_P1P2_ENSG00000129315,CCNT1,inf
2060_DCAF8_P2_ENSG00000132716,DCAF8,inf
5477_NBEAL1_P1P2_ENSG00000144426,NBEAL1,inf
1481_CENPH_P1P2_ENSG00000153044,CENPH,inf
5527_NDRG3_P1P2_ENSG00000101079,NDRG3,inf
3657_HCFC1R1_P1P2_ENSG00000103145,HCFC1R1,inf
3965_HSFY1_ENST00000307393.2_ENSG00000172468,HSFY1,inf
7800_SERINC3_P1P2_ENSG00000132824,SERINC3,inf
7908_SIGIRR_P2_ENSG00000185187,SIGIRR,inf
7899_SHOX2_P1P2_ENSG00000168779,SHOX2,inf
8053_SLC35F6_P1P2_ENSG00000213699,SLC35F6,inf
798_BCL2L11_P2_ENSG00000153094,BCL2L11,inf
3827_HMGB1_P1_ENSG00000189403,HMGB1,inf
3025_FBXO46_P1P2_ENSG00000177051,FBXO46,inf
935_BUB1_P1P2_ENSG00000169679,BUB1,inf
9328_TRRAP_P1P2_ENSG00000196367,TRRAP,inf
1170_CAMTA2_P1P2_ENSG00000108509,CAMTA2,inf
6202_PDXK_P1P2_ENSG00000160209,PDXK,inf
9469_TYW3_P1P2_ENSG00000162623,TYW3,inf
3987_HSPG2_P1P2_ENSG00000142798,HSPG2,inf
2357_DPP7_P1_ENSG00000176978,DPP7,inf
2380_DSCR4_P1P2_ENSG00000184029,DSCR4,inf
4560_LGALS1_P1_ENSG00000100097,LGALS1,inf
1858_CREB3L1_P1P2_ENSG00000157613,CREB3L1,inf
7051_RABGGTB_P1P2_ENSG00000137955,RABGGTB,inf
3157_FOXF1_P1P2_ENSG00000103241,FOXF1,inf
232_AKAP8L_P1P2_ENSG00000011243,AKAP8L,inf
3173_FOXN2_P1P2_ENSG00000170802,FOXN2,inf
4425_KLF9_P1P2_ENSG00000119138,KLF9,inf
7175_RBM41_P1P2_ENSG00000089682,RBM41,inf
1884_CRY2_P1P2_ENSG00000121671,CRY2,inf
4528_LBX1_P1P2_ENSG00000138136,LBX1,inf
6898_PTBP3_P1P2_ENSG00000119314,PTBP3,inf
4680_LRRFIP1_P1P2_ENSG00000124831,LRRFIP1,inf
4589_LIMS1_P1P2_ENSG00000169756,LIMS1,inf
7181_RBM4_P2_ENSG00000173933,RBM4,inf
8587_SUMO1_P1P2_ENSG00000116030,SUMO1,inf
8672_TAF9_P1P2_ENSG00000273841,TAF9,inf
201_AHCTF1_P1P2_ENSG00000153207,AHCTF1,inf
2862_FAM156B_ENST00000509613.1_ENSG00000179304,FAM156B,inf
1250_CCDC125_P1P2_ENSG00000183323,CCDC125,inf
2819_FAF1_P1P2_ENSG00000185104,FAF1,inf
10182_ZNF169_P1P2_ENSG00000175787,ZNF169,inf
6101_PBK_P1P2_ENSG00000168078,PBK,inf
2485_EEF1D_P1P2_ENSG00000104529,EEF1D,inf
1648_CLEC16A_P1P2_ENSG00000038532,CLEC16A,inf
6897_PTBP2_P1P2_ENSG00000117569,PTBP2,inf
7502_RPS14_P1P2_ENSG00000164587,RPS14,inf
697_ATRIP_P1P2_ENSG00000164053,ATRIP,inf
1045_C1orf216_P1P2_ENSG00000142686,C1orf216,inf
8866_TGIF2_P1P2_ENSG00000118707,TGIF2,inf
8758_TBX5_P2_ENSG00000089225,TBX5,inf
8769_ELOB_P1P2_ENSG00000103363,ELOB,inf
8793_TCP1_P1P2_ENSG00000120438,TCP1,inf
6495_PNPLA4_P1P2_ENSG00000006757,PNPLA4,inf
6231_PEX2_P1P2_ENSG00000164751,PEX2,inf
6401_PKNOX1_P1P2_ENSG00000160199,PKNOX1,inf
632_ATMIN_P1P2_ENSG00000166454,ATMIN,inf
3089_FIZ1_P1P2_ENSG00000179943,FIZ1,inf
4165_IPO8_P1P2_ENSG00000133704,IPO8,inf
4890_MCAT_P1P2_ENSG00000100294,MCAT,inf
1703_CNBD2_P1P2_ENSG00000149646,CNBD2,inf
2915_FAM229A_P1P2_ENSG00000225828,FAM229A,inf
1680_CLSTN3_P2_ENSG00000139182,CLSTN3,inf
10515_ZNF627_P1P2_ENSG00000198551,ZNF627,inf
4119_ING1_P2_ENSG00000153487,ING1,inf
1976_CWF19L2_P1P2_ENSG00000152404,CWF19L2,inf
341_ANKRD46_P1P2_ENSG00000186106,ANKRD46,inf
3452_GNPTAB_P1P2_ENSG00000111670,GNPTAB,inf
3493_GPATCH8_P1P2_ENSG00000186566,GPATCH8,inf
8737_TBL2_P1_ENSG00000106638,TBL2,inf
