Perturbation,Gene_Target,Axis_Score
7454_RPL27A_P1P2_ENSG00000166441,RPL27A,0.3045966
6537_POLR1D_P1_ENSG00000186184,POLR1D,0.26096177
7441_RPL17_P1P2_ENSG00000265681,RPL17,0.26020482
5748_NOP2_P1P2_ENSG00000111641,NOP2,0.25433624
6534_POLR1B_P1P2_ENSG00000125630,POLR1B,0.2409512
6152_PDCD11_P1P2_ENSG00000148843,PDCD11,0.22794041
9804_WDR12_P1P2_ENSG00000138442,WDR12,0.22594336
7477_RPL7A_P1P2_ENSG00000148303,RPL7A,0.2205645
7455_RPL27_P1P2_ENSG00000131469,RPL27,0.21998085
7438_RPL14_P1P2_ENSG00000188846,RPL14,0.21995743
2132_DDX56_P1P2_ENSG00000136271,DDX56,0.2184105
7466_RPL36_P1P2_ENSG00000130255,RPL36,0.2182102
7501_RPS13_P1P2_ENSG00000110700,RPS13,0.2162703
2988_FBL_P1P2_ENSG00000105202,FBL,0.21572076
3677_HEATR1_P1P2_ENSG00000119285,HEATR1,0.21317697
9443_TWISTNB_P1P2_ENSG00000105849,TWISTNB,0.20024122
7536_RPS6_P1P2_ENSG00000137154,RPS6,0.1978796
1040_C1orf131_P1P2_ENSG00000143633,C1orf131,0.1942084
9686_UTP3_P1P2_ENSG00000132467,UTP3,0.19391994
7450_RPL23_P1P2_ENSG00000125691,RPL23,0.1855955
9210_TPP2_P1P2_ENSG00000134900,TPP2,0.18216865
7527_RPS5_P1P2_ENSG00000083845,RPS5,0.18128364
7505_RPS16_P1P2_ENSG00000105193,RPS16,0.17858692
7451_RPL24_P1P2_ENSG00000114391,RPL24,0.17556126
5659_NGDN_P1P2_ENSG00000129460,NGDN,0.17416175
5735_NOL6_P1P2_ENSG00000165271,NOL6,0.17406921
9680_UTP14A_P1P2_ENSG00000156697,UTP14A,0.17118692
7561_RRP12_P1P2_ENSG00000052749,RRP12,0.16824298
10703_ZNRD1_P1P2_ENSG00000066379,ZNRD1,0.16531278
7476_RPL6_P1P2_ENSG00000089009,RPL6,0.16295822
1701_CMTR1_P1P2_ENSG00000137200,CMTR1,0.16099441
7453_RPL26_P1P2_ENSG00000161970,RPL26,0.16078061
7507_RPS18_P1P2_ENSG00000231500,RPS18,0.16076764
5733_NOL11_P1P2_ENSG00000130935,NOL11,0.16062494
7169_RBM28_P1P2_ENSG00000106344,RBM28,0.15997553
7569_RRS1_P1P2_ENSG00000179041,RRS1,0.15989569
7516_RPS27A_P1P2_ENSG00000143947,RPS27A,0.15903595
5089_NIFK_P1P2_ENSG00000155438,NIFK,0.15872006
7526_RPS4X_P1P2_ENSG00000198034,RPS4X,0.15761088
5470_NAT10_P1P2_ENSG00000135372,NAT10,0.15532552
7469_RPL38_P1P2_ENSG00000172809,RPL38,0.1548234
7312_RIOK2_P1P2_ENSG00000058729,RIOK2,0.15435441
7478_RPL7L1_P1P2_ENSG00000146223,RPL7L1,0.15422165
7444_RPL19_P1P2_ENSG00000108298,RPL19,0.15412484
6536_POLR1C_P1_ENSG00000171453,POLR1C,0.15376844
6219_PES1_P1P2_ENSG00000100029,PES1,0.15332074
8744_TBRG4_P1P2_ENSG00000136270,TBRG4,0.14992861
4470_KRI1_P1P2_ENSG00000129347,KRI1,0.14926061
3042_FCF1_P1P2_ENSG00000119616,FCF1,0.14882326
7499_RPS11_P1P2_ENSG00000142534,RPS11,0.14820383
9396_TTF1_P1P2_ENSG00000125482,TTF1,0.14667717
10040_ZCCHC9_P1P2_ENSG00000131732,ZCCHC9,0.14650723
6704_PPRC1_P1P2_ENSG00000148840,PPRC1,0.14636871
2105_DDX18_P1P2_ENSG00000088205,DDX18,0.14634496
7479_RPL7_P1P2_ENSG00000147604,RPL7,0.14433657
2321_DNTTIP2_P1P2_ENSG00000067334,DNTTIP2,0.14424625
5747_NOP16_P1P2_ENSG00000048162,NOP16,0.14340734
1365_CD3EAP_P1P2_ENSG00000117877,CD3EAP,0.14332959
7491_RPP30_P1P2_ENSG00000148688,RPP30,0.14247213
8738_TBL3_P1P2_ENSG00000183751,TBL3,0.14222991
9482_UBA52_P1_ENSG00000221983,UBA52,0.14184378
4780_MAK16_P1P2_ENSG00000198042,MAK16,0.14176613
7493_RPP40_P1P2_ENSG00000124787,RPP40,0.14144261
7432_RPL10_P1P2_ENSG00000147403,RPL10,0.14103907
7431_RPL10A_P1P2_ENSG00000198755,RPL10A,0.14060126
6605_PPAN_P1P2_ENSG00000130810,PPAN,0.14057527
8599_SUPT6H_P1P2_ENSG00000109111,SUPT6H,0.14053102
8660_TAF1D_P1_ENSG00000166012,TAF1D,0.1403389
7449_RPL23A_P1P2_ENSG00000198242,RPL23A,0.14005987
2113_DDX24_P1P2_ENSG00000089737,DDX24,0.13998188
9366_TSR2_P1P2_ENSG00000158526,TSR2,0.13953178
4472_KRR1_P1P2_ENSG00000111615,KRR1,0.13950336
8517_STK24_P1P2_ENSG00000102572,STK24,0.13943142
2124_DDX47_P1P2_ENSG00000213782,DDX47,0.13913469
7525_RPS3_P1_ENSG00000149273,RPS3,0.1390853
7459_RPL31_P1P2_ENSG00000071082,RPL31,0.13810848
9841_WDR75_P1P2_ENSG00000115368,WDR75,0.1369237
7513_RPS24_P1P2_ENSG00000138326,RPS24,0.13680682
4108_IMP4_P1P2_ENSG00000136718,IMP4,0.13630092
7461_RPL34_P1P2_ENSG00000109475,RPL34,0.13587299
9816_WDR36_P1P2_ENSG00000134987,WDR36,0.13561393
7206_RCL1_P1P2_ENSG00000120158,RCL1,0.13494964
1301_CCDC86_P1P2_ENSG00000110104,CCDC86,0.13405217
2580_EIF6_P1P2_ENSG00000242372,EIF6,0.13379598
2127_DDX51_P1P2_ENSG00000185163,DDX51,0.13296942
2111_DDX21_P1P2_ENSG00000165732,DDX21,0.1328736
2102_DDX10_P1P2_ENSG00000178105,DDX10,0.13011675
9684_UTP20_P1P2_ENSG00000120800,UTP20,0.13005371
874_BOP1_P1_ENSG00000261236,BOP1,0.12924504
6533_POLR1A_P1P2_ENSG00000068654,POLR1A,0.12895809
7458_RPL30_P1P2_ENSG00000156482,RPL30,0.12838994
8656_TAF1A_P1P2_ENSG00000143498,TAF1A,0.12837058
5731_NOC4L_P1P2_ENSG00000184967,NOC4L,0.12811686
4110_IMPA2_P1P2_ENSG00000141401,IMPA2,0.12719278
2731_ESF1_P1_ENSG00000089048,ESF1,0.12690617
9818_WDR3_P1P2_ENSG00000065183,WDR3,0.12645818
7576_RSL1D1_P1_ENSG00000171490,RSL1D1,0.12595724
7442_RPL18A_P1P2_ENSG00000105640,RPL18A,0.1258199
7475_RPL5_P1P2_ENSG00000122406,RPL5,0.12523627
6574_POP1_P1P2_ENSG00000104356,POP1,0.12460026
7522_RPS2_P1P2_ENSG00000140988,RPS2,0.12443689
7497_RPS10-NUDT3_P1P2_ENSG00000270800,RPS10-NUDT3,0.12433443
7508_RPS19BP1_P1P2_ENSG00000187051,RPS19BP1,0.12423541
9687_UTP6_P1P2_ENSG00000108651,UTP6,0.123915754
6576_POP5_P1P2_ENSG00000167272,POP5,0.12308742
5737_NOL8_P1P2_ENSG00000198000,NOL8,0.123025194
3385_GLB1_P1P2_ENSG00000170266,GLB1,0.122993514
7512_RPS23_P1P2_ENSG00000186468,RPS23,0.12224363
7445_RPL21_P1P2_ENSG00000122026,RPL21,0.12193305
9682_UTP15_P1P2_ENSG00000164338,UTP15,0.121794604
7713_SDAD1_P1P2_ENSG00000198301,SDAD1,0.12152997
1083_NEPRO_P1P2_ENSG00000163608,NEPRO,0.12143593
2128_DDX52_P1P2_ENSG00000278053,DDX52,0.12087062
4684_LSG1_P1P2_ENSG00000041802,LSG1,0.11946006
7484_RPLP2_P1P2_ENSG00000177600,RPLP2,0.11920834
9925_YEATS2_P1P2_ENSG00000163872,YEATS2,0.118648306
6539_POLR1E_P1P2_ENSG00000137054,POLR1E,0.118325144
8826_TEX10_P1P2_ENSG00000136891,TEX10,0.11827172
7498_RPS10_P1P2_ENSG00000124614,RPS10,0.11782306
3586_GTF3C3_P1P2_ENSG00000119041,GTF3C3,0.11682442
7311_RIOK1_P1P2_ENSG00000124784,RIOK1,0.116622865
7509_RPS19_P1P2_ENSG00000105372,RPS19,0.11645263
16_AATF_P1P2_ENSG00000275700,AATF,0.11639638
7566_RRP7A_P1P2_ENSG00000189306,RRP7A,0.11609184
5702_NLE1_P1P2_ENSG00000073536,NLE1,0.11575961
9_AAR2_P1P2_ENSG00000131043,AAR2,0.11483386
9685_UTP23_P1P2_ENSG00000147679,UTP23,0.114756696
8658_TAF1C_P1P2_ENSG00000103168,TAF1C,0.11443731
10231_ZNF236_P1P2_ENSG00000130856,ZNF236,0.11365995
5673_NIP7_P1P2_ENSG00000132603,NIP7,0.11345654
9679_UTP11_P1P2_ENSG00000183520,UTP11,0.11345596
7577_RSL24D1_P1P2_ENSG00000137876,RSL24D1,0.11326619
7487_RPP14_P1P2_ENSG00000163684,RPP14,0.11318804
8654_TAF13_P1P2_ENSG00000197780,TAF13,0.11299466
6887_PSMG4_P1P2_ENSG00000180822,PSMG4,0.1121697
7426_RPF1_P1P2_ENSG00000117133,RPF1,0.111100614
3445_GNL2_P1P2_ENSG00000134697,GNL2,0.11077794
4208_ISG20L2_P1P2_ENSG00000143319,ISG20L2,0.10999815
6963_PWP2_P1P2_ENSG00000241945,PWP2,0.10928132
1470_CEBPZ_P1P2_ENSG00000115816,CEBPZ,0.107472494
2622_EMG1_P1P2_ENSG00000126749,EMG1,0.10741497
8317_SPAG7_P1P2_ENSG00000091640,SPAG7,0.10725559
7648_SAP18_P1P2_ENSG00000150459,SAP18,0.106990926
8405_SRFBP1_P1P2_ENSG00000151304,SRFBP1,0.106904685
7483_RPLP1_P1P2_ENSG00000137818,RPLP1,0.10674502
2235_DKC1_P1P2_ENSG00000130826,DKC1,0.10632327
4932_MED12_P1P2_ENSG00000184634,MED12,0.10596143
6642_PPM1G_P1_ENSG00000115241,PPM1G,0.105876245
