Perturbation,Gene_Target,Axis_Score
1526_CERS6_P1P2_ENSG00000172292,CERS6,inf
408_APMAP_P1P2_ENSG00000101474,APMAP,inf
9955_YWHAQ_P1P2_ENSG00000134308,YWHAQ,inf
9954_YWHAH_P1P2_ENSG00000128245,YWHAH,inf
4209_ISL1_P1_ENSG00000016082,ISL1,inf
4079_IKBKE_P1P2_ENSG00000263528,IKBKE,inf
4179_IRAK1_P1_ENSG00000184216,IRAK1,inf
4119_ING1_P2_ENSG00000153487,ING1,inf
4165_IPO8_P1P2_ENSG00000133704,IPO8,inf
9927_YES1_P1P2_ENSG00000176105,YES1,inf
10101_ZFPL1_P1P2_ENSG00000162300,ZFPL1,inf
7460_RPL32_P1P2_ENSG00000144713,RPL32,inf
4210_ISL1_P2_ENSG00000016082,ISL1,inf
6495_PNPLA4_P1P2_ENSG00000006757,PNPLA4,inf
8233_SNRPG_P1P2_ENSG00000143977,SNRPG,inf
2357_DPP7_P1_ENSG00000176978,DPP7,inf
8258_SNX6_P1P2_ENSG00000129515,SNX6,inf
6687_PTPA_P1P2_ENSG00000119383,PTPA,inf
6681_PPP2R1A_P1_ENSG00000105568,PPP2R1A,inf
10310_ZNF354B_P1P2_ENSG00000178338,ZNF354B,inf
2226_DIMT1_P1P2_ENSG00000086189,DIMT1,inf
4680_LRRFIP1_P1P2_ENSG00000124831,LRRFIP1,inf
2380_DSCR4_P1P2_ENSG00000184029,DSCR4,inf
9469_TYW3_P1P2_ENSG00000162623,TYW3,inf
232_AKAP8L_P1P2_ENSG00000011243,AKAP8L,inf
2326_DOCK8_P1P2_ENSG00000107099,DOCK8,inf
2329_DOK1_P1P2_ENSG00000115325,DOK1,inf
4755_MAFG_P1P2_ENSG00000197063,MAFG,inf
6734_PRDX1_P1P2_ENSG00000117450,PRDX1,inf
8445_SS18_P1P2_ENSG00000141380,SS18,inf
2453_EBF2_P1P2_ENSG00000221818,EBF2,inf
2485_EEF1D_P1P2_ENSG00000104529,EEF1D,inf
6401_PKNOX1_P1P2_ENSG00000160199,PKNOX1,inf
3589_GTF3C6_P1P2_ENSG00000155115,GTF3C6,inf
4851_MARK2_P2_ENSG00000072518,MARK2,inf
8758_TBX5_P2_ENSG00000089225,TBX5,inf
341_ANKRD46_P1P2_ENSG00000186106,ANKRD46,inf
8769_ELOB_P1P2_ENSG00000103363,ELOB,inf
589_ASPM_P1P2_ENSG00000066279,ASPM,inf
5893_NUP214_P1P2_ENSG00000126883,NUP214,inf
4968_MEIS3_P2_ENSG00000105419,MEIS3,inf
755_BAIAP2_P1P2_ENSG00000175866,BAIAP2,inf
9800_WDFY2_P1P2_ENSG00000139668,WDFY2,inf
4360_KIAA1143_P1P2_ENSG00000163807,KIAA1143,inf
10182_ZNF169_P1P2_ENSG00000175787,ZNF169,inf
8737_TBL2_P1_ENSG00000106638,TBL2,inf
1703_CNBD2_P1P2_ENSG00000149646,CNBD2,inf
7336_RNF10_P1P2_ENSG00000022840,RNF10,inf
3906_HOXB7_P1P2_ENSG00000260027,HOXB7,inf
1481_CENPH_P1P2_ENSG00000153044,CENPH,inf
1680_CLSTN3_P2_ENSG00000139182,CLSTN3,inf
756_BAK1_P1P2_ENSG00000030110,BAK1,inf
5813_NRIP1_P1P2_ENSG00000180530,NRIP1,inf
"2888_FAM193A_ENST00000324666.5,ENST00000382839.3,ENST00000502458.1,ENST00000545951.1_ENSG00000125386",FAM193A,inf
8866_TGIF2_P1P2_ENSG00000118707,TGIF2,inf
2862_FAM156B_ENST00000509613.1_ENSG00000179304,FAM156B,inf
5822_NSD1_P1P2_ENSG00000165671,NSD1,inf
2915_FAM229A_P1P2_ENSG00000225828,FAM229A,inf
1762_COMMD5_ENST00000450361.2_ENSG00000170619,COMMD5,inf
1764_COMMD6_P2_ENSG00000188243,COMMD6,inf
4425_KLF9_P1P2_ENSG00000119138,KLF9,inf
4392_KIF3A_P1P2_ENSG00000131437,KIF3A,inf
9722_VEZT_P1P2_ENSG00000028203,VEZT,inf
9734_VMP1_P1P2_ENSG00000062716,VMP1,inf
7315_RIPK1_P1_ENSG00000137275,RIPK1,inf
1394_CDC25C_P1P2_ENSG00000158402,CDC25C,inf
7647_SAP130_P1P2_ENSG00000136715,SAP130,inf
7634_SAE1_P1P2_ENSG00000142230,SAE1,inf
1820_COX7A2L_P1P2_ENSG00000115944,COX7A2L,inf
719_AXIN1_P1P2_ENSG00000103126,AXIN1,inf
1838_CPQ_P1P2_ENSG00000104324,CPQ,inf
1421_CDK11A_P1P2_ENSG00000008128,CDK11A,inf
9321_RO60_P1P2_ENSG00000116747,RO60,inf
136_ADAR_P1_ENSG00000160710,ADAR,inf
7668_SBDS_P1P2_ENSG00000126524,SBDS,inf
1858_CREB3L1_P1P2_ENSG00000157613,CREB3L1,inf
1861_CREB3L4_P1P2_ENSG00000143578,CREB3L4,inf
3493_GPATCH8_P1P2_ENSG00000186566,GPATCH8,inf
4991_METTL14_P1P2_ENSG00000145388,METTL14,inf
9328_TRRAP_P1P2_ENSG00000196367,TRRAP,inf
8692_TARDBP_P1P2_ENSG00000120948,TARDBP,inf
