Perturbation,Gene_Target,Axis_Score
1774_COPG1_P1_ENSG00000181789,COPG1,0.39863
6867_PSMD13_P1P2_ENSG00000185627,PSMD13,0.28945163
6558_POLR3D_P1P2_ENSG00000168495,POLR3D,0.2608943
7163_RBM19_P1P2_ENSG00000122965,RBM19,0.2580875
6870_PSMD2_P1P2_ENSG00000175166,PSMD2,0.25596341
3583_GTF3A_P1P2_ENSG00000122034,GTF3A,0.2508637
8433_SRSF3_P1P2_ENSG00000112081,SRSF3,0.2500577
5588_NEDD8_P1P2_ENSG00000129559,NEDD8,0.24676794
5587_NEDD8-MDP1_P1P2_nan,NEDD8-MDP1,0.24226825
4945_MED22_P1P2_ENSG00000148297,MED22,0.23966704
6863_PSMC6_P1P2_ENSG00000100519,PSMC6,0.23008947
1979_CXXC1_P1P2_ENSG00000154832,CXXC1,0.22814982
8599_SUPT6H_P1P2_ENSG00000109111,SUPT6H,0.22438055
5470_NAT10_P1P2_ENSG00000135372,NAT10,0.22057387
4939_MED17_P1P2_ENSG00000042429,MED17,0.21809559
6886_PSMG3_P1_ENSG00000157778,PSMG3,0.21678178
8594_SUPT16H_P1P2_ENSG00000092201,SUPT16H,0.2147636
6858_PSMC2_P1P2_ENSG00000161057,PSMC2,0.21436526
6032_PAF1_P1P2_ENSG00000006712,PAF1,0.21403216
4953_MED30_P1P2_ENSG00000164758,MED30,0.2128209
6857_PSMC1_P1P2_ENSG00000100764,PSMC1,0.2074274
6866_PSMD12_P1P2_ENSG00000197170,PSMD12,0.20567676
6874_PSMD6_P1P2_ENSG00000163636,PSMD6,0.19432552
1701_CMTR1_P1P2_ENSG00000137200,CMTR1,0.19075385
6704_PPRC1_P1P2_ENSG00000148840,PPRC1,0.19066106
9253_TRAPPC8_P1P2_ENSG00000153339,TRAPPC8,0.18908088
8598_SUPT5H_P1P2_ENSG00000196235,SUPT5H,0.18771008
9480_UBA3_P1P2_ENSG00000144744,UBA3,0.18608445
7455_RPL27_P1P2_ENSG00000131469,RPL27,0.1818746
6854_PSMB6_P2_ENSG00000142507,PSMB6,0.17751583
9174_TOP1_P1P2_ENSG00000198900,TOP1,0.17648928
7444_RPL19_P1P2_ENSG00000108298,RPL19,0.17626204
3214_FTSJ3_P1P2_ENSG00000108592,FTSJ3,0.1749843
8873_THAP1_P1P2_ENSG00000131931,THAP1,0.17455322
6872_PSMD4_P1P2_ENSG00000159352,PSMD4,0.1742121
7433_RPL11_P1P2_ENSG00000142676,RPL11,0.17329717
7432_RPL10_P1P2_ENSG00000147403,RPL10,0.17282824
7438_RPL14_P1P2_ENSG00000188846,RPL14,0.17269915
7475_RPL5_P1P2_ENSG00000122406,RPL5,0.16962934
8458_SSRP1_P1P2_ENSG00000149136,SSRP1,0.16906774
7441_RPL17_P1P2_ENSG00000265681,RPL17,0.16884314
6862_PSMC5_P1P2_ENSG00000087191,PSMC5,0.16831946
6847_PSMA7_P1P2_ENSG00000101182,PSMA7,0.16722046
9250_TRAPPC5_P1P2_ENSG00000181029,TRAPPC5,0.16524494
6868_PSMD14_P1P2_ENSG00000115233,PSMD14,0.16461793
9328_TRRAP_P1P2_ENSG00000196367,TRRAP,0.16270228
4061_IGBP1_P1P2_ENSG00000089289,IGBP1,0.16240402
4950_MED27_P1P2_ENSG00000160563,MED27,0.16009648
7480_RPL8_P1P2_ENSG00000161016,RPL8,0.16006032
9242_TRAPPC11_P1P2_ENSG00000168538,TRAPPC11,0.15978512
6869_PSMD1_P1P2_ENSG00000173692,PSMD1,0.15955774
9820_WDR43_P1P2_ENSG00000163811,WDR43,0.15725717
2490_EEF2_P1_ENSG00000167658,EEF2,0.15717319
6555_POLR3A_P1P2_ENSG00000148606,POLR3A,0.15548109
8741_TBP_P1P2_ENSG00000112592,TBP,0.15373102
6861_PSMC4_P1P2_ENSG00000013275,PSMC4,0.15325372
857_BMP2K_P1P2_ENSG00000138756,BMP2K,0.15320286
9482_UBA52_P1_ENSG00000221983,UBA52,0.15273426
7463_RPL35_P1P2_ENSG00000136942,RPL35,0.1522464
4952_MED29_P1P2_ENSG00000063322,MED29,0.15175302
7469_RPL38_P1P2_ENSG00000172809,RPL38,0.15136285
3479_GOSR2_P1P2_ENSG00000108433,GOSR2,0.14935313
9857_WEE1_P1P2_ENSG00000166483,WEE1,0.14891759
10297_ZNF335_P1P2_ENSG00000198026,ZNF335,0.146094
6841_PSMA1_P1P2_ENSG00000129084,PSMA1,0.1458339
7482_RPLP0_P1P2_ENSG00000089157,RPLP0,0.14525497
7476_RPL6_P1P2_ENSG00000089009,RPL6,0.14507914
10994_non-targeting_non-targeting_non-targeting,non-targeting,0.14485309
8653_TAF12_P1P2_ENSG00000120656,TAF12,0.14413667
7443_RPL18_P1P2_ENSG00000063177,RPL18,0.1430628
8557_STX5_P1P2_ENSG00000162236,STX5,0.14304595
7458_RPL30_P1P2_ENSG00000156482,RPL30,0.1413585
6865_PSMD11_P1P2_ENSG00000108671,PSMD11,0.13983853
6791_PRPF18_P1P2_ENSG00000165630,PRPF18,0.13983484
4206_ISCU_P1P2_ENSG00000136003,ISCU,0.13842183
6850_PSMB2_P1P2_ENSG00000126067,PSMB2,0.1379398
7479_RPL7_P1P2_ENSG00000147604,RPL7,0.137903
7450_RPL23_P1P2_ENSG00000125691,RPL23,0.13770944
5448_NAE1_P1P2_ENSG00000159593,NAE1,0.13603508
7431_RPL10A_P1P2_ENSG00000198755,RPL10A,0.13587767
4998_METTL21A_P1P2_ENSG00000144401,METTL21A,0.13160476
6844_PSMA4_P1P2_ENSG00000041357,PSMA4,0.13115583
