Perturbation,Gene_Target,Axis_Score
3833_HMGCS1_P1P2_ENSG00000112972,HMGCS1,inf
10025_ZC3H4_P1_ENSG00000130749,ZC3H4,inf
9974_ZBTB17_P1P2_ENSG00000116809,ZBTB17,inf
9765_VPS54_P1P2_ENSG00000143952,VPS54,inf
9690_UXS1_P1P2_ENSG00000115652,UXS1,inf
9743_VPS18_P1P2_ENSG00000104142,VPS18,inf
9751_VPS35_P1P2_ENSG00000069329,VPS35,inf
9753_VPS37A_P1P2_ENSG00000155975,VPS37A,inf
8498_STAT5A_P1P2_ENSG00000126561,STAT5A,inf
8546_STT3B_P1P2_ENSG00000163527,STT3B,inf
4954_MED31_P1P2_ENSG00000108590,MED31,inf
8397_SRCAP_P1P2_ENSG00000080603,SRCAP,inf
8184_SMN2_ENST00000380743.4_ENSG00000205571,SMN2,inf
7976_SLC1A5_P1_ENSG00000105281,SLC1A5,inf
8221_SNRNP48_P1P2_ENSG00000168566,SNRNP48,inf
8207_SNAPC3_P1P2_ENSG00000164975,SNAPC3,inf
3548_GSDMA_P1P2_ENSG00000167914,GSDMA,inf
3587_GTF3C4_P1P2_ENSG00000125484,GTF3C4,inf
7457_RPL29_P1P2_ENSG00000162244,RPL29,inf
9482_UBA52_P1_ENSG00000221983,UBA52,inf
9616_UQCRQ_P1P2_ENSG00000164405,UQCRQ,inf
9675_USP7_P1P2_ENSG00000187555,USP7,inf
5789_NR2C2AP_P1P2_ENSG00000184162,NR2C2AP,inf
5741_NOMO1_P1P2_ENSG00000103512,NOMO1,inf
9477_UBA1_P2_ENSG00000130985,UBA1,inf
3664_HDAC3_P1P2_ENSG00000171720,HDAC3,inf
3637_HAUS4_P1P2_ENSG00000092036,HAUS4,inf
3616_H2AFZ_P1P2_ENSG00000164032,H2AFZ,inf
3617_H3F3A_P1P2_ENSG00000163041,H3F3A,inf
5746_NOP14_P1P2_ENSG00000087269,NOP14,inf
510_ARL4D_P1P2_ENSG00000175906,ARL4D,inf
2226_DIMT1_P1P2_ENSG00000086189,DIMT1,inf
2271_DNAAF3_P2_ENSG00000167646,DNAAF3,inf
2275_DNAJA1_P2_ENSG00000086061,DNAJA1,inf
1819_COX6C_P1P2_ENSG00000164919,COX6C,inf
8438_SRSF7_P1P2_ENSG00000115875,SRSF7,inf
8460_SSU72_P1P2_ENSG00000160075,SSU72,inf
8429_SRSF11_P1_ENSG00000116754,SRSF11,inf
8146_SMARCB1_P1_ENSG00000099956,SMARCB1,inf
8148_SMARCC1_P1P2_ENSG00000173473,SMARCC1,inf
6603_PPA1_P1P2_ENSG00000180817,PPA1,inf
2384_DSTYK_P1P2_ENSG00000133059,DSTYK,inf
2312_DNM1_P1P2_ENSG00000106976,DNM1,inf
7793_SERBP1_P1P2_ENSG00000142864,SERBP1,inf
7842_SFPQ_P1P2_ENSG00000116560,SFPQ,inf
5499_NCKAP1_P1P2_ENSG00000061676,NCKAP1,inf
9257_TREX2_P1P2_ENSG00000183479,TREX2,inf
9218_TPT1_P1P2_ENSG00000133112,TPT1,inf
9303_TRMT112_P1P2_ENSG00000173113,TRMT112,inf
5536_NDUFA3_P1P2_ENSG00000170906,NDUFA3,inf
8220_SNRNP40_P1P2_ENSG00000060688,SNRNP40,inf
6524_POLE_P1P2_ENSG00000177084,POLE,inf
4899_MCM3AP_P1P2_ENSG00000160294,MCM3AP,inf
8351_SPG7_P1P2_ENSG00000197912,SPG7,inf
4875_MBD3_P1P2_ENSG00000071655,MBD3,inf
8338_SPDL1_P1P2_ENSG00000040275,SPDL1,inf
8272_SON_P2_ENSG00000159140,SON,inf
9421_TUBB_P2_ENSG00000196230,TUBB,inf
9424_TUBG1_P1P2_ENSG00000131462,TUBG1,inf
