Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score
4908_MCOLN1_P1P2_ENSG00000090674,-0.014287221,-0.09669973,0.022865646
10623_ZNF774_P1P2_ENSG00000196391,-0.073790364,-0.08703027,-0.029196907
2367_DPY30_P1P2_ENSG00000162961,-0.030695217,-0.084503785,-0.1543211
4220_ITFG1_P1P2_ENSG00000129636,0.047395237,-0.07021743,-0.095091514
7541_RPTOR_P1P2_ENSG00000141564,-0.14043951,-0.065681346,-0.06698247
4578_LIG1_P1P2_ENSG00000105486,-0.028618062,-0.062142305,-0.08656346
9424_TUBG1_P1P2_ENSG00000131462,-0.022825412,-0.061797358,-0.029854672
3649_HBE1_P1P2_ENSG00000213931,0.025876908,-0.061748482,-0.064634375
10875_non-targeting_non-targeting_non-targeting,0.020707771,-0.060829464,-0.032705955
7758_SEH1L_P1P2_ENSG00000085415,-0.055856545,-0.06062281,-0.056560192
3635_HAUS2_P1P2_ENSG00000137814,0.039543275,-0.06042737,0.016005645
4926_MEAF6_P1P2_ENSG00000163875,-0.08958035,-0.05904019,0.013443289
4104_IMMP1L_P1P2_ENSG00000148950,-0.03295738,-0.058026355,0.03676609
10348_ZNF423_ENST00000262383.2_ENSG00000102935,0.018382119,-0.056732383,-0.084478445
957_C11orf74_P1P2_ENSG00000166352,-0.034958117,-0.056534138,0.029320972
2554_EIF3J_P1P2_ENSG00000104131,-0.009990718,-0.056274757,-0.024640257
4822_MAP7D1_P1P2_ENSG00000116871,0.014097325,-0.055897925,0.0059011877
10478_ZNF585A_P1P2_ENSG00000196967,0.034164656,-0.055871494,-0.07115884
2633_EN1_P1P2_ENSG00000163064,-0.013478276,-0.055818908,-0.025441663
8833_TFAP2A_P1_ENSG00000137203,-0.038042326,-0.055782005,-0.041997734
3722_HIC2_P1_ENSG00000169635,0.042417254,-0.055155683,-0.012209485
251_ALAS2_P1P2_ENSG00000158578,0.016680084,-0.05244073,0.0019687067
8102_SLC5A6_P1P2_ENSG00000138074,0.016023643,-0.052343193,-0.036567293
5339_MTOR_P1P2_ENSG00000198793,-0.182329,-0.05131666,-0.056029517
222_AIP_P1P2_ENSG00000110711,0.026504,-0.051301196,0.0277501
9605_UQCC1_P1P2_ENSG00000101019,-0.003330996,-0.049029406,-0.025191901
6845_PSMA5_P1P2_ENSG00000143106,-0.010070899,-0.048755005,-0.060543373
5969_ORC5_P1P2_ENSG00000164815,-0.055797312,-0.04848914,-0.0040406575
7376_RNF213_P2_ENSG00000173821,-0.010435325,-0.04794473,-0.022737762
10285_ZNF322_P1P2_ENSG00000181315,0.038912963,-0.04780878,-0.04746851
8603_SURF2_P1P2_ENSG00000148291,0.06575293,-0.047605272,0.046652414
569_ASB8_P1P2_ENSG00000177981,-0.016277494,-0.047344938,-0.051608264
5573_NDUFS8_P1P2_ENSG00000110717,-0.035330325,-0.046765365,-0.06807055
3514_GPR89B_P1P2_ENSG00000188092,0.027487338,-0.04634377,-0.022201084
7728_SDHD_P1P2_ENSG00000204370,-0.01910122,-0.046293553,-0.0023427017
10750_non-targeting_non-targeting_non-targeting,0.023328913,-0.046217434,-0.0036238404
308_ANAPC4_P1P2_ENSG00000053900,0.04752209,-0.04609975,0.08048428
938_BUD31_P1P2_ENSG00000106245,-0.05348972,-0.045881495,-0.009690258
6679_PPP2CB_P1P2_ENSG00000104695,-0.027093904,-0.04579788,-0.034585595
4458_KPNA1_P2_ENSG00000114030,-0.009023409,-0.045575313,-0.026290113
9454_TXNIP_P1_ENSG00000265972,-0.045054078,-0.0454276,-0.01843697
6610_PPARG_P2_ENSG00000132170,-0.0013106937,-0.04519476,0.012435532
3103_FKBPL_P1P2_ENSG00000204315,0.010119604,-0.044860285,-0.062314566
5530_NDUFA10_P1P2_ENSG00000130414,0.035844997,-0.0442651,-0.023871738
9911_XRN2_P1P2_ENSG00000088930,0.014343752,-0.044044342,0.031799573
6071_PARK7_P1P2_ENSG00000116288,0.030020101,-0.043805577,-0.036733992
5345_MTRNR2L8_P1P2_ENSG00000255823,0.008422858,-0.043634914,-0.04404379
10916_non-targeting_non-targeting_non-targeting,-0.0046889437,-0.043325756,-0.010744631
5138_MOB4_P1P2_ENSG00000115540,-0.032882623,-0.043325618,-0.0064383126
10016_ZBTB9_P1P2_ENSG00000213588,-0.041388042,-0.043050226,0.0055991276
3882_HOOK1_P1P2_ENSG00000134709,0.041397445,-0.042853825,0.008496619
5134_MOB2_P1P2_ENSG00000182208,0.002418588,-0.04279427,-0.03056029
3772_HIST1H3A_ENST00000357647.3_ENSG00000275714,-0.01407135,-0.042633496,-0.000644281
3816_HLX_P1P2_ENSG00000136630,0.014250119,-0.042310987,-0.025223823
912_BSDC1_P1P2_ENSG00000160058,0.020967219,-0.042202357,-0.013616601
1819_COX6C_P1P2_ENSG00000164919,-0.068398215,-0.041844033,-0.05360521
1440_CDK6_P1_ENSG00000105810,-0.0009351919,-0.041815333,-0.08799335
3518_GPS2_P1P2_ENSG00000132522,-0.072517425,-0.04147795,-0.00986593
3823_HMG20B_P1_ENSG00000064961,-0.06345891,-0.040990278,0.027327375
262_ALDOC_P1P2_ENSG00000109107,-0.018142551,-0.0407312,-0.026875453
9089_TMEM63A_P1_ENSG00000196187,0.008890661,-0.0406801,-0.035784725
8759_TBX5_P1_ENSG00000089225,-0.031327944,-0.04062763,-0.034324262
1935_CTNNA1_P1P2_ENSG00000044115,-0.004976907,-0.040403403,-0.010281521
5214_MRPL32_P1P2_ENSG00000106591,-0.05248947,-0.03997008,-0.067290805
8965_TMBIM1_P1P2_ENSG00000135926,-0.023748942,-0.039910235,-0.0054673757
6074_PARP12_P1P2_ENSG00000059378,-0.06877945,-0.039624643,-0.054294292
1624_CIT_P1P2_ENSG00000122966,-0.032595474,-0.039515994,0.010743379
10224_ZNF230_P1P2_ENSG00000159882,-0.03046708,-0.039303802,0.0051045725
5114_MLLT6_P1P2_ENSG00000275023,-9.914738e-05,-0.039184004,-0.0143806655
1252_CCDC12_P1_ENSG00000160799,0.003914825,-0.039086413,-0.033404376
3856_HNRNPA1L2_P2_ENSG00000139675,0.0135922935,-0.038794763,-0.05740686
6653_PPP1R11_P1P2_ENSG00000204619,-0.045536287,-0.038787547,0.039452493
11121_non-targeting_non-targeting_non-targeting,0.0034254517,-0.03871711,0.008578202
1719_CNOT4_P1P2_ENSG00000080802,-0.037683234,-0.038337577,-0.023714082
447_ARFGAP3_P1P2_ENSG00000242247,0.031509183,-0.03797253,-0.0015285872
6097_PAX9_P1_ENSG00000198807,0.029718101,-0.03796911,-0.014058773
6250_PGAM1_P1P2_ENSG00000171314,-0.08292037,-0.03782316,-0.047197413
5542_NDUFA9_ENST00000266544.5_ENSG00000139180,-0.021676315,-0.037822258,-0.06518683
4310_POGLUT2_P1P2_ENSG00000134901,-0.012834988,-0.037755333,-0.029134264
10366_ZNF442_P1P2_ENSG00000198342,9.155612e-05,-0.037593435,0.0209683
9175_TOP2A_P1P2_ENSG00000131747,0.009154074,-0.03752527,-0.06846724
10261_ZNF280C_P1P2_ENSG00000056277,0.024817828,-0.03741968,-0.02319168
10792_non-targeting_non-targeting_non-targeting,-0.021294247,-0.037390955,-0.06953075
261_ALDOA_P1P2_ENSG00000149925,-0.09245452,-0.037329927,-0.074803956
10801_non-targeting_non-targeting_non-targeting,-0.0101324,-0.03727735,0.009256875
5231_MRPL48_P1P2_ENSG00000175581,-0.02896396,-0.037252545,-0.024703149
8276_SOS1_P1P2_ENSG00000115904,0.01848453,-0.03721292,0.0021223926
8877_THAP4_P1P2_ENSG00000176946,0.030698752,-0.03718047,-0.024923176
2786_EXOG_P1P2_ENSG00000157036,0.024372725,-0.03711671,-0.021251513
10931_non-targeting_non-targeting_non-targeting,0.025047466,-0.03701751,-0.02482713
5724_NNT_P1P2_ENSG00000112992,0.009774463,-0.037002962,-0.012239893
6199_PDSS2_P1P2_ENSG00000164494,-0.007905038,-0.036960773,-0.022335298
8766_TCEAL1_P1P2_ENSG00000172465,0.00027366294,-0.036938045,-0.03957375
1591_CHORDC1_P1P2_ENSG00000110172,0.022322899,-0.036904775,-0.009825179
11077_non-targeting_non-targeting_non-targeting,0.0058089,-0.036862396,-0.0038691263
1395_CDC26_P1P2_ENSG00000176386,0.043573134,-0.036806755,-0.055614695
8835_TFAP2B_P1P2_ENSG00000008196,0.030446982,-0.036605444,0.010354848
3899_HOXB1_P1P2_ENSG00000120094,-0.0077850753,-0.036564156,-0.053532958
8499_STAT5B_P1P2_ENSG00000173757,-0.065136336,-0.036438417,-0.02294129
11018_non-targeting_non-targeting_non-targeting,-0.018224223,-0.03643649,-0.005440092
5066_MIEF1_P1P2_ENSG00000100335,-0.009222729,-0.036416367,-0.019731464
4095_IL23A_P1P2_ENSG00000110944,0.007236557,-0.03640933,-0.06406072
9548_UBR5_P1P2_ENSG00000104517,0.004880956,-0.03622082,0.015765421
8338_SPDL1_P1P2_ENSG00000040275,-0.011539241,-0.03603105,-0.045581613
8326_SPATA5_P1P2_ENSG00000145375,0.02406052,-0.03595655,-0.023938008
10315_ZNF362_P1P2_ENSG00000160094,0.034084618,-0.03584074,0.0043810112
6977_PYGL_P1P2_ENSG00000100504,0.008692982,-0.035825137,-0.041248694
8993_TMEM126B_P1P2_ENSG00000171204,-0.0095614465,-0.035746865,-0.02940511
9915_XYLT2_P1P2_ENSG00000015532,-0.004504142,-0.035519037,0.005058487
9447_TXN2_P1P2_ENSG00000100348,-0.004759745,-0.035497997,-0.03892405
7287_RHEB_P1P2_ENSG00000106615,-0.068860345,-0.035493605,-0.0012640263
10219_ZNF226_P1_ENSG00000167380,0.011429827,-0.035486486,-0.040008258
5060_MICB_P1_ENSG00000204516,0.00974426,-0.035458636,-0.00686055
10837_non-targeting_non-targeting_non-targeting,0.037214655,-0.03537892,0.0133435745
4455_KNSTRN_P1P2_ENSG00000128944,0.019363785,-0.03515633,0.0013530776
83_ACIN1_P2_ENSG00000100813,0.006446189,-0.03507392,-0.057522442
274_ALG9_P1P2_ENSG00000086848,-0.013721151,-0.03502468,-0.030660545
4896_MCL1_P1P2_ENSG00000143384,0.02653233,-0.034969904,0.0015842026
10214_ZNF221_P1P2_ENSG00000159905,-0.0025781547,-0.03485688,-0.009626707
7494_RPRD1A_P1P2_ENSG00000141425,-0.10086238,-0.034852196,-0.05025914
8382_SPTA1_P1P2_ENSG00000163554,-0.0014150535,-0.034639962,0.027812192
1879_CRTAP_P1P2_ENSG00000170275,0.0044734124,-0.034541726,-0.002047404
5046_MGST3_P1P2_ENSG00000143198,0.0052256156,-0.034494463,-0.02826386
3289_GAS8_P1_ENSG00000141013,0.014720158,-0.03438378,-0.057505466
5421_EEF1AKMT1_P1P2_ENSG00000150456,0.019760542,-0.034306858,0.017629122
5686_NKRF_P1P2_ENSG00000186416,0.008704921,-0.034201436,-0.013077764
5194_MRPL11_P1P2_ENSG00000174547,-0.11844923,-0.034101874,-0.026260931
