Perturbation,Oxidative_Score,Inflammatory_Score,Senescence_Score
8155_SMC1A_P1P2_ENSG00000072501,-0.021027748,-0.114425726,0.035637345
9635_USP14_P1P2_ENSG00000101557,0.02758707,-0.08995037,-0.05243087
8208_SNAPC4_P1P2_ENSG00000165684,0.05838812,-0.08719544,-0.051497888
6802_PRPF6_P1P2_ENSG00000101161,-0.017272253,-0.085566424,0.14679
9656_USP39_P1_ENSG00000168883,0.09637416,-0.08527075,0.111670814
1960_CUL1_P1P2_ENSG00000055130,0.05769195,-0.08455083,-0.061235905
8418_SRP9_P1P2_ENSG00000143742,-0.034624424,-0.07843475,0.019595291
5146_MON1A_P1P2_ENSG00000164077,0.03155473,-0.077805854,-0.062255234
888_BRD2_P1_ENSG00000204256,-0.035617016,-0.07480083,-0.044817902
3551_GSK3B_P1P2_ENSG00000082701,0.07189278,-0.072266385,-0.025869144
10173_ZNF143_P1P2_ENSG00000166478,0.039439403,-0.07093834,0.05849665
1591_CHORDC1_P1P2_ENSG00000110172,0.055208407,-0.06979826,-0.013127624
952_NKAPD1_P1P2_ENSG00000150776,0.0143885985,-0.069753274,-0.00464915
2218_DHX9_P1P2_ENSG00000135829,-0.0030031148,-0.06940464,-0.02128225
8413_SRP14_P1P2_ENSG00000140319,-0.07634439,-0.06924252,0.015183144
2334_DOLK_P1P2_ENSG00000175283,0.0020253975,-0.06664627,-0.036952343
3878_HNRNPU_P1P2_ENSG00000153187,-0.015165359,-0.06661407,-0.07513599
6554_POLR2M_P1P2_ENSG00000255529,0.10629953,-0.06596556,0.024506813
2112_DDX23_P1P2_ENSG00000174243,-0.044288043,-0.06506311,0.06409979
9907_XRCC5_P1P2_ENSG00000079246,-0.102162704,-0.06151905,0.053985707
11235_non-targeting_non-targeting_non-targeting,0.03636864,-0.06000564,0.00037227158
4333_KEAP1_P1P2_ENSG00000079999,0.055215593,-0.056327928,-0.013066793
1395_CDC26_P1P2_ENSG00000176386,0.04034866,-0.055386666,0.07447143
3072_FGFR1OP_P1P2_ENSG00000213066,0.011397396,-0.05531121,0.032005414
8231_SNRPE_P1P2_ENSG00000182004,0.0068201767,-0.054618064,0.10154914
7929_SIRT7_P1P2_ENSG00000187531,-0.1855451,-0.05309047,0.2093834
2579_EIF5_P2_ENSG00000100664,-0.018184252,-0.050314438,0.0513681
7658_SART1_P1P2_ENSG00000175467,-0.161316,-0.0501147,0.12554581
9909_XRCC6_P1P2_ENSG00000196419,-0.06674733,-0.049374938,0.015513079
4330_KDM6A_P1P2_ENSG00000147050,0.011643289,-0.04884639,-0.041814633
8855_TFPT_P1P2_ENSG00000105619,0.078649156,-0.048657548,0.12835677
1268_CCDC174_P1P2_ENSG00000154781,-0.056528457,-0.04815339,0.078131594
6819_PRRC2A_P1P2_ENSG00000204469,0.017505538,-0.048084773,-0.0067908447
4868_MAU2_P1P2_ENSG00000129933,0.06581681,-0.04689136,0.17768276
2599_ELOF1_P1P2_ENSG00000130165,-0.004530619,-0.046807066,0.01948606
6251_PGAM5_P1P2_ENSG00000247077,0.01481231,-0.046162028,-0.04076546
5220_MRPL38_P1P2_ENSG00000204316,0.017951213,-0.04537257,-0.052104916
8230_SNRPD3_P1P2_ENSG00000100028,0.020002745,-0.045372188,0.07131673
8575_SUDS3_P1P2_ENSG00000111707,0.11501185,-0.04453401,0.01520317
6801_PRPF4_P1P2_ENSG00000136875,0.005984327,-0.043979608,0.15196492
3871_HNRNPL_P2_ENSG00000104824,-0.01269584,-0.042600423,-0.033275604
8232_SNRPF_P1P2_ENSG00000139343,-0.005577102,-0.041999333,0.06944081
5426_NAA20_P1P2_ENSG00000173418,0.05631028,-0.041814156,0.038031712
1906_CSNK2B_P1P2_ENSG00000204435,0.06601133,-0.04127482,0.001361785
9677_USP9X_P1P2_ENSG00000124486,0.008670591,-0.04114486,-0.01828943
2036_DBF4_P1P2_ENSG00000006634,0.010412361,-0.040563185,-0.05458482
9512_UBE2M_P1P2_ENSG00000130725,0.022625996,-0.040324178,-0.030725088
7141_RBBP5_P1P2_ENSG00000117222,0.17403044,-0.03962861,0.145996
2217_DHX8_P1P2_ENSG00000067596,0.16265279,-0.03939059,-0.026264742
8891_THOC6_P1P2_ENSG00000131652,-0.010973694,-0.039385732,-0.01258118
1822_COX7B_P1P2_ENSG00000131174,-0.014771382,-0.039073784,-0.025449289
6676_PPP1R8_P1P2_ENSG00000117751,-0.008749336,-0.038963277,0.037171487
8974_TMED2_P1P2_ENSG00000086598,0.05435114,-0.037870504,-0.029115945
8422_SRPRB_P1P2_ENSG00000144867,0.0308438,-0.03785339,-0.010066271
2989_FBRSL1_P1P2_ENSG00000112787,-0.0144795235,-0.03752462,0.024661172
1570_CHERP_P1P2_ENSG00000085872,0.023589285,-0.03713733,0.068815045
8853_TFIP11_P1P2_ENSG00000100109,0.072821885,-0.035350505,0.06477214
10792_non-targeting_non-targeting_non-targeting,-0.022251867,-0.03492223,-0.0162429
10788_non-targeting_non-targeting_non-targeting,0.0019953412,-0.034767866,-0.026514793
5240_MRPL9_P1P2_ENSG00000143436,-0.0069093136,-0.03393641,-0.027166111
10836_non-targeting_non-targeting_non-targeting,0.028371632,-0.033841044,0.007812579
5430_NAA38_P1P2_ENSG00000183011,0.004211508,-0.03375437,0.16150795
6000_OTX1_P1P2_ENSG00000115507,0.018956468,-0.033281136,-0.010928584
5429_NAA35_P1P2_ENSG00000135040,0.05274745,-0.03298748,-0.044879097
3338_GEMIN7_P1P2_ENSG00000142252,0.025766997,-0.0319727,0.02160906
1516_CEP85_P1P2_ENSG00000130695,-0.0002712001,-0.030899856,0.0003760646
4687_LSM12_P1P2_ENSG00000161654,0.03146445,-0.03083385,0.013245538
9457_TXNL4A_P1P2_ENSG00000141759,-0.025651738,-0.030427389,0.025662428
5448_NAE1_P1P2_ENSG00000159593,0.09323244,-0.029930493,0.014720387
3421_GMIP_P1P2_ENSG00000089639,0.09489322,-0.029047802,-0.0059388094
3731_HINFP_P1P2_ENSG00000172273,0.05366722,-0.02897834,0.088776745
11133_non-targeting_non-targeting_non-targeting,-0.023924878,-0.028862763,-0.03515428
5224_MRPL41_P1P2_ENSG00000182154,-0.019221822,-0.028343698,-0.013216812
3518_GPS2_P1P2_ENSG00000132522,-0.03944309,-0.028124858,-0.0139669515
11294_non-targeting_non-targeting_non-targeting,0.00015949778,-0.028118256,0.02546484
11044_non-targeting_non-targeting_non-targeting,0.0021160496,-0.028015522,-0.034942515
1714_CNOT10_P1P2_ENSG00000182973,0.03303732,-0.027987236,-0.026412418
10336_ZNF407_ENST00000299687.5_ENSG00000215421,0.034183286,-0.02784107,0.0041197133
10844_non-targeting_non-targeting_non-targeting,-0.0040327483,-0.027677957,-0.004405632
3766_HIST1H2BJ_P1P2_ENSG00000124635,0.011193655,-0.027655631,-0.001105739
4331_KDM8_P1P2_ENSG00000155666,-0.010508517,-0.02745023,-0.02669412
1768_COMTD1_P1P2_ENSG00000165644,-0.030438723,-0.027291542,-0.020852523
2527_EIF1AX_P1P2_ENSG00000173674,-0.089425184,-0.02728737,0.18475498
10146_ZMYM4_P1P2_ENSG00000146463,0.043456685,-0.026742171,0.0005417708
2489_EEF2_P2_ENSG00000167658,0.025235562,-0.026297275,0.066911265
4998_METTL21A_P1P2_ENSG00000144401,0.07992463,-0.026029145,0.008533322
7271_RGP1_P1P2_ENSG00000107185,-0.0035238406,-0.025978915,-0.019852018
11208_non-targeting_non-targeting_non-targeting,0.0023280303,-0.025883209,-0.024903655
9430_TUFM_P1P2_ENSG00000178952,-0.014043952,-0.02579768,-0.024877166
7727_SDHC_P1P2_ENSG00000143252,0.024586005,-0.0253407,0.051817607
9793_WBP1_P1P2_ENSG00000239779,0.0037087994,-0.025198076,-0.030347703
7836_SF3B2_P1P2_ENSG00000087365,0.07073069,-0.025045741,-0.004196995
2562_EIF4B_P1P2_ENSG00000063046,-0.019741721,-0.025015734,0.024910407
5467_NARS2_P1P2_ENSG00000137513,-0.0005186742,-0.024688356,-0.016887276
2460_ECD_P1P2_ENSG00000122882,0.007892177,-0.024542132,0.036213294
7831_SF3A1_P2_ENSG00000099995,0.0052482374,-0.024195928,0.0047156424
376_AP2M1_P2_ENSG00000161203,-0.00033686432,-0.024193412,0.014946863
7829_SF1_P1P2_ENSG00000168066,0.015417315,-0.024175145,-0.030345503
10793_non-targeting_non-targeting_non-targeting,-0.0027428002,-0.024103621,-0.0011796594
6604_PPA2_P1P2_ENSG00000138777,0.021951124,-0.024037436,0.0013506204
37_ABCG1_P1P2_ENSG00000160179,0.037846573,-0.024012659,0.0065709683
11321_non-targeting_non-targeting_non-targeting,-0.001094264,-0.023964766,-0.022475442
7093_RANBP2_P1P2_ENSG00000153201,0.007762971,-0.02390874,0.009650046
3022_FBXO42_P1P2_ENSG00000037637,-0.014376318,-0.023385227,-0.028969884
5482_NBPF15_P1P2_ENSG00000266338,-0.0057947175,-0.02331174,0.0139284795
5954_OR4F4_ENST00000326183.3_ENSG00000177693,0.007165881,-0.023254227,0.0030678909
1238_CCAR1_P1P2_ENSG00000060339,0.0010321788,-0.02325076,-0.041075755
7728_SDHD_P1P2_ENSG00000204370,-0.03522113,-0.023108276,-0.013266183
4473_KRT10_P2_ENSG00000186395,-0.0028914788,-0.023099825,-0.012630668
7069_RAD51D_P1P2_ENSG00000185379,0.008685198,-0.02304638,-0.0064788433
4973_MEN1_P1P2_ENSG00000133895,0.008552577,-0.022609305,0.10488592
8576_SUGP1_P1P2_ENSG00000105705,0.058112834,-0.022226127,0.0548985
8728_TBCC_P1P2_ENSG00000124659,0.013582806,-0.02199358,0.08538764
1288_CCDC6_P1P2_ENSG00000108091,-0.017612068,-0.021938493,-0.023038832
1941_CTPS1_P1P2_ENSG00000171793,0.022385156,-0.021636484,0.016396398
10939_non-targeting_non-targeting_non-targeting,0.029932266,-0.021543203,-0.015304979
2820_FAF2_P1P2_ENSG00000113194,-0.016965404,-0.021465804,-0.03918713
4379_KIF18A_P1P2_ENSG00000121621,0.00011610065,-0.021232957,0.099110596
10589_ZNF720_P1P2_ENSG00000197302,0.007912574,-0.021003854,0.058871947
2133_DDX59_P1P2_ENSG00000118197,-0.0070329374,-0.02092106,0.05128791
