pathway,pvalue,overlap_count,overlap_genes
KEGG_CIRCADIAN_RHYTHM_MAMMAL,0.001862464428913228,2,"CSNK1E,CLOCK"
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,0.026921684496952758,2,"IMPDH2,UMPS"
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.029699542027515465,3,"UBE2M,KEAP1,UBR5"
KEGG_RNA_DEGRADATION,0.03521279349190089,2,"XRN2,CNOT4"
KEGG_PURINE_METABOLISM,0.04558838460406685,3,"GMPR2,IMPDH2,PFAS"
KEGG_LONG_TERM_DEPRESSION,0.047985067541176166,2,"GNAI2,ITPR2"
KEGG_SMALL_CELL_LUNG_CANCER,0.06625076914956421,2,"MAX,RB1"
KEGG_RIBOSOME,0.07183470183155682,2,"FAU,RPL41"
KEGG_GAP_JUNCTION,0.07468230430594047,2,"GNAI2,ITPR2"
KEGG_PYRIMIDINE_METABOLISM,0.08642057298944494,2,"CAD,UMPS"
KEGG_GNRH_SIGNALING_PATHWAY,0.09095738360058032,2,"MAP2K3,ITPR2"
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.11461369869273354,2,"GNAI2,ARHGAP5"
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.1266569966044435,1,TKT
KEGG_TIGHT_JUNCTION,0.14134219802297182,2,"GNAI2,SYMPK"
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.14830439984737168,1,CAD
KEGG_MAPK_SIGNALING_PATHWAY,0.1495657058877656,3,"MAP2K3,MKNK1,MAX"
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.1568138566751157,1,DNMT1
KEGG_BASAL_TRANSCRIPTION_FACTORS,0.16103696667874634,1,TAF7
KEGG_BASE_EXCISION_REPAIR,0.16103696667874634,1,POLB
KEGG_DNA_REPLICATION,0.16523913564103665,1,RNASEH1
KEGG_TRYPTOPHAN_METABOLISM,0.18184044952162837,1,GCDH
KEGG_FATTY_ACID_METABOLISM,0.19001810930045213,1,GCDH
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,0.19001810930045213,1,SLC9A3R2
KEGG_BLADDER_CANCER,0.19001810930045213,1,RB1
KEGG_LYSINE_DEGRADATION,0.19811484109839972,1,GCDH
KEGG_GLUTATHIONE_METABOLISM,0.2219273589464614,1,GSS
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.2335697297493233,1,MAP2K3
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.23741206328444486,1,RB1
KEGG_HEDGEHOG_SIGNALING_PATHWAY,0.24503961093204518,1,CSNK1E
KEGG_GLIOMA,0.27843943475323135,1,RB1
KEGG_LONG_TERM_POTENTIATION,0.2963583867321035,1,ITPR2
KEGG_PANCREATIC_CANCER,0.2963583867321035,1,RB1
KEGG_MELANOMA,0.29988895177609687,1,RB1
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.3068975524369646,1,RB1
KEGG_ADHERENS_JUNCTION,0.3068975524369646,1,NECTIN2
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,0.3172804173165092,1,ITPR2
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.32750927631597543,1,MAP2K3
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.34751399014779544,1,GNAI2
KEGG_PROSTATE_CANCER,0.36052200066070533,1,RB1
KEGG_MELANOGENESIS,0.3980252908124243,1,GNAI2
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.4010504413686719,1,MAP2K3
KEGG_OOCYTE_MEIOSIS,0.43048624128209967,1,ITPR2
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.4390343603155968,1,ITPR2
KEGG_LYSOSOME,0.4557513503446778,1,AP1S1
KEGG_CELL_CYCLE,0.4639239325526976,1,RB1
KEGG_AXON_GUIDANCE,0.47727575903595487,1,GNAI2
KEGG_PATHWAYS_IN_CANCER,0.48523772889055394,2,"MAX,RB1"
KEGG_CELL_ADHESION_MOLECULES_CAMS,0.48771973167003096,1,NECTIN2
KEGG_INSULIN_SIGNALING_PATHWAY,0.49795708022957386,1,MKNK1
KEGG_WNT_SIGNALING_PATHWAY,0.5298498508847352,1,CSNK1E
KEGG_ALZHEIMERS_DISEASE,0.5641633239904359,1,ITPR2
KEGG_CALCIUM_SIGNALING_PATHWAY,0.5898189812342256,1,ITPR2
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.61397862780019,1,GNAI2
KEGG_FOCAL_ADHESION,0.6330313675235585,1,ARHGAP5
