perturbation,spearman_rho,gene_symbol,ensembl_id
2222_DICER1_P1P2_ENSG00000100697,0.17953684132908665,DICER1,ENSG00000100697
7898_SHOC2_P1P2_ENSG00000108061,0.1663582806279807,SHOC2,ENSG00000108061
595_ASXL1_P1P2_ENSG00000171456,0.16538692502812674,ASXL1,ENSG00000171456
9898_XPO5_P1P2_ENSG00000124571,0.16323757803181832,XPO5,ENSG00000124571
9749_VPS33A_P1P2_ENSG00000139719,0.15430310534107466,VPS33A,ENSG00000139719
346_ANKS1A_P1P2_ENSG00000064999,0.14510392235682945,ANKS1A,ENSG00000064999
7495_RPRD1B_P1P2_ENSG00000101413,0.14464001334021565,RPRD1B,ENSG00000101413
9548_UBR5_P1P2_ENSG00000104517,0.1437148622093608,UBR5,ENSG00000104517
7473_RPL41_P1P2_ENSG00000229117,0.1435603408453269,RPL41,ENSG00000229117
3032_FBXO9_P1P2_ENSG00000112146,0.14330740904947967,FBXO9,ENSG00000112146
7142_RBBP6_P1P2_ENSG00000122257,0.1420451298566817,RBBP6,ENSG00000122257
1719_CNOT4_P1P2_ENSG00000080802,0.14037847677422782,CNOT4,ENSG00000080802
9444_TWSG1_P1P2_ENSG00000128791,0.1399038105448278,TWSG1,ENSG00000128791
1152_CAD_P1P2_ENSG00000084774,0.1385343378703501,CAD,ENSG00000084774
4238_ITPR2_P1P2_ENSG00000123104,0.1379825424734468,ITPR2,ENSG00000123104
841_BLCAP_P1P2_ENSG00000166619,0.137054886304236,BLCAP,ENSG00000166619
759_BANP_P1P2_ENSG00000172530,0.13595945808156468,BANP,ENSG00000172530
6124_PCGF5_ENST00000543648.1_ENSG00000180628,0.1354111687748834,PCGF5,ENSG00000180628
5439_NABP2_P1_ENSG00000139579,0.1341187780575707,NABP2,ENSG00000139579
8166_SMG5_P1P2_ENSG00000198952,0.13353060757678648,SMG5,ENSG00000198952
9512_UBE2M_P1P2_ENSG00000130725,0.1333810837642727,UBE2M,ENSG00000130725
2444_E2F7_P1P2_ENSG00000165891,0.1328632913726225,E2F7,ENSG00000165891
7136_RB1_P1P2_ENSG00000139687,0.13246538533121321,RB1,ENSG00000139687
5891_NUP205_P1P2_ENSG00000155561,0.13224159288039658,NUP205,ENSG00000155561
6665_PPP1R18_P1_ENSG00000146112,0.132221333864431,PPP1R18,ENSG00000146112
3858_HNRNPA2B1_P1P2_ENSG00000122566,0.1319793529401044,HNRNPA2B1,ENSG00000122566
2559_EIF4A2_P1_ENSG00000156976,0.13161383026839665,EIF4A2,ENSG00000156976
2376_DROSHA_P1P2_ENSG00000113360,0.13148089077327552,DROSHA,ENSG00000113360
8038_SLC35A2_P1P2_ENSG00000102100,0.13089720045724332,SLC35A2,ENSG00000102100
2771_EVL_P1_ENSG00000196405,0.12964457240644975,EVL,ENSG00000196405
